# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 23 2023 at 23:49:42+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.23-21.49.33-26795
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.23-21.49.33-26795
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
7680 5.625 1116.41268016497 1064.27138251417 26.5386080741882 18.1384539604187 21.2240500450134 0 5.31690526008606 45 196574.636834026 196574.636834026 3565560 3565560 129828.044062562 129828.044062562 2354880 2354880 163.701289029877 372801.461405368 6833.1175989885 365968.34380638 874 1981484 36524 1944960 0 0 0 0 26.3752429485321 1692827400.33477 9851
8192 6 1132.86652751115 1066.8472384951 27.4668309688568 19.0666768550873 22.0859487056732 0 5.43753790855408 48 199471.781522601 199471.781522601 3803264 3803264 131741.468064467 131741.468064467 2511872 2511872 177.666031933281 411658.886342078 7026.3570453279 404632.52929675 1020 2469199 37999 2431200 0 0 0 0 27.2925560474396 1692827401.263 10490
8704 6.375 1093.98927025537 1067.56969261451 29.3784220218658 20.9782679080963 23.930180311203 0 5.45060968399048 51 192626.389256876 192626.389256876 4040968 4040968 127220.417419209 127220.417419209 2668864 2668864 191.254363395935 453429.772611804 7194.06408186532 446235.708529939 1046 2470603 39403 2431200 0 0 0 0 29.1937062740326 1692827403.17459 11129
9216 6.75 1112.39828363722 1068.6988291811 30.2448480129242 21.8446938991547 24.7838764190674 0 5.46332573890686 54 195867.793787926 195867.793787926 4278672 4278672 129361.208403536 129361.208403536 2825856 2825856 195.569594465831 452646.741979155 7451.23817266773 445195.503806487 1072 2472095 40895 2431200 0 0 0 0 30.0494790077209 1692827404.04101 11768
9728 7.125 1122.83484674674 1070.38065945402 31.2441191673279 22.8439650535583 25.7702417373657 0 5.47624444961548 57 197705.432897101 197705.432897101 4516376 4516376 130574.880192936 130574.880192936 2982848 2982848 199.85832967538 451847.713370721 7701.85312685956 444145.860243861 1098 2473566 42366 2431200 0 0 0 0 31.0381331443787 1692827405.04029 12407
10240 7.5 1131.79820112916 1072.50811177016 32.2559969425201 23.8558428287506 26.7181751728058 0 5.59376263618469 60 199283.673778672 199283.673778672 4754080 4754080 131617.231993829 131617.231993829 3139840 3139840 213.080169255946 488851.052376797 7882.16049832378 480968.891878473 1244 2961294 43854 2917440 0 0 0 0 32.0385594367981 1692827406.05216 13046
10752 7.875 1099.34883456385 1073.47541401621 34.1881470680237 25.7879929542542 28.583322763443 0 5.60720348358154 63 193570.085460122 193570.085460122 4991784 4991784 127843.683137665 127843.683137665 3296832 3296832 225.876839522932 528573.393028354 8050.38615806809 520523.006870286 1270 2962772 45332 2917440 0 0 0 0 33.9597234725952 1692827407.98431 13685
11264 8.25 1111.91990559571 1074.36349866804 35.1107110977173 26.7105569839478 29.4931061267853 0 5.62121796607971 66 195783.562399794 195783.562399794 5229488 5229488 129305.577643912 129305.577643912 3453824 3453824 229.991251909913 527641.764655487 8303.00461519663 519338.76004029 1296 2964292 46852 2917440 0 0 0 0 34.8720614910126 1692827408.90688 14324
11776 8.625 1121.78997496926 1075.5717566319 36.0791320800781 27.6789779663086 30.4464092254639 0 5.63618206977844 69 197521.454970439 197521.454970439 5467192 5467192 130453.371666944 130453.371666944 3610816 3610816 233.989854288732 526491.729940278 8546.84337266171 517944.886567616 1322 2965793 48353 2917440 0 0 0 0 35.8298757076263 1692827409.8753 14963
12288 9 1129.69667667688 1077.12529932561 37.0804190635681 28.6802649497986 31.3827784061432 0 5.75197815895081 72 198913.643579853 198913.643579853 5704896 5704896 131372.844936931 131372.844936931 3767808 3767808 246.417786662338 561534.711008959 8716.414913826 552818.296095133 1468 3453539 49859 3403680 0 0 0 0 36.8204293251038 1692827410.87659 15602
