# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 08:36:23+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-06.36.18-6534
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-06.36.18-6534
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
17920 17.5 1702.86958890076 1666.79076414324 41.6003580093384 36.9963738918304 35.9281351566315 0 5.67519593238831 105 226413.540540245 226413.540540245 8376480 8376480 111163.326763441 111163.326763441 4112640 4112640 350.832478143966 943499.072404398 11293.1035439538 932205.968860445 1994 5351946 64266 5287680 0 0 0 0 41.2252247333527 1692859020.62333 22631
18432 18 1710.23097952449 1667.56685950192 42.4936029911041 37.8896188735962 36.7543995380402 0 5.79941511154175 108 227392.311037576 227392.311037576 8615808 8615808 111643.878343359 111643.878343359 4230144 4230144 361.722670572289 959843.12893788 11418.8319922712 948424.296945609 2140 5940936 65736 5875200 0 0 0 0 42.107736825943 1692859021.51657 23270
18944 18.5 1683.06828844889 1667.62854652622 44.1745710372925 39.5705869197845 38.3641896247864 0 5.81304907798767 111 223780.759632165 223780.759632165 8855136 8855136 109870.697869944 109870.697869944 4347648 4347648 372.09261260312 1022679.67937703 11524.0283289974 1011155.65104803 2166 5942366 67166 5875200 0 0 0 0 43.778199672699 1692859023.19754 23909
19456 19 1694.62185565499 1667.921811589 44.9669711589813 40.3629870414734 39.1395628452301 0 5.82986044883728 114 225316.921927888 225316.921927888 9094464 9094464 110624.914737158 110624.914737158 4465152 4465152 375.467082825974 1019944.83310437 11743.6425106013 1008201.19059377 2192 5943836 68636 5875200 0 0 0 0 44.5600955486298 1692859023.98994 24548
19968 19.5 1704.1269549203 1668.41438046705 45.7980980873108 41.1941139698029 39.9574551582336 0 5.843257188797 117 226580.719926203 226580.719926203 9333792 9333792 111245.407617197 111245.407617197 4582656 4582656 379.067857234995 1017878.00969702 11961.354400249 1005916.65529677 2218 5945270 70070 5875200 0 0 0 0 45.3804912567139 1692859024.82107 25187
20480 20 1710.73573945533 1669.11057362564 46.6911389827728 42.0871548652649 40.78591132164 0 5.95946669578552 120 227459.423917981 227459.423917981 9573120 9573120 111676.829071644 111676.829071644 4700160 4700160 389.485407165282 1033331.20248059 12080.1439154533 1021251.05856513 2364 6534257 71537 6462720 0 0 0 0 46.2627909183502 1692859025.71411 25826
20992 20.5 1686.18952498437 1669.29366925457 48.371306180954 43.767322063446 42.4010691642761 0 5.97272109985352 123 224195.759241922 224195.759241922 9812448 9812448 110074.45219098 110074.45219098 4817664 4817664 399.649125040549 1094676.47293452 12186.7858506707 1082489.68708384 2390 6535685 72965 6462720 0 0 0 0 47.93239402771 1692859027.39428 26465
21504 21 1695.4510572951 1669.57478877257 49.1938881874084 44.5899040699005 43.2103583812714 0 5.98598194122314 126 225427.172577957 225427.172577957 10051776 10051776 110679.045020224 110679.045020224 4935168 4935168 403.106540478181 1092491.09000766 12406.2221473121 1080084.86786034 2416 6537154 74434 6462720 0 0 0 0 48.7444195747375 1692859028.21686 27104
22016 21.5 1704.98424521323 1670.01275637156 50.0002980232239 45.3963139057159 44.0035452842712 0 5.99920892715454 129 226694.705243551 226694.705243551 10291104 10291104 111301.37152752 111301.37152752 5052672 5052672 406.553364150513 1090320.75935516 12617.4953835457 1077703.26397162 2442 6538593 75873 6462720 0 0 0 0 49.5402841567993 1692859029.02327 27743
22528 22 1709.01163508563 1670.64105996854 50.9465591907501 46.3425750732422 44.8857827186584 0 6.11516141891479 132 227230.187000985 227230.187000985 10530432 10530432 111564.27953839 111564.27953839 5170176 5170176 416.448290350646 1104707.29795605 12728.4021041245 1091978.89585193 2588 7127583 77343 7050240 0 0 0 0 50.4756090641022 1692859029.96953 28382
23040 22.5 1684.86564667031 1670.76145402721 52.6790339946747 48.0750498771667 46.553010225296 0 6.1288697719574 135 224019.736381285 224019.736381285 10769760 10769760 109988.029414638 109988.029414638 5287680 5287680 426.051236210714 1163693.33002491 12826.1010662009 1150867.22895871 2614 7129019 78779 7050240 0 0 0 0 52.1973848342896 1692859031.702 29021
23552 23 1694.89520343384 1670.98755829625 53.4565620422363 48.8525779247284 47.3153965473175 0 6.14401841163635 138 225353.266248563 225353.266248563 11009088 11009088 110642.758880161 110642.758880161 5405184 5405184 429.234483614066 1161064.4601419 13034.822146746 1148029.63799516 2640 7130483 80243 7050240 0 0 0 0 52.9644470214844 1692859032.47953 29660
24064 23.5 1703.97701768259 1671.35937019521 54.2525410652161 49.6485569477081 48.0955762863159 0 6.15938782691956 141 226560.784271077 226560.784271077 11248416 11248416 111235.61971432 111235.61971432 5522688 5522688 432.355892163399 1158316.03007383 13232.3316643292 1145083.6984095 2666 7131917 81677 7050240 0 0 0 0 53.749746799469 1692859033.27551 30299
24576 24 1710.78759976417 1671.89508143799 55.107038974762 50.503054857254 48.8861770629883 0 6.27621030807495 144 227466.319264644 227466.319264644 11487744 11487744 111680.214512605 111680.214512605 5640192 5640192 441.739430801237 1171655.64890699 13333.8436339523 1158321.80527304 2812 7720906 83146 7637760 0 0 0 0 54.5933990478516 1692859034.13001 30938
25088 24.5 1687.91125615847 1672.07830921107 56.8579161167145 52.2539319992065 50.5709474086761 0 6.28954291343689 147 224424.68061883 224424.68061883 11727072 11727072 110186.846802025 110186.846802025 5757696 5757696 450.773676728585 1228276.35361485 13420.6171397228 1214855.73647513 2838 7722341 84581 7637760 0 0 0 0 56.3337016105652 1692859035.88089 31577
25600 25 1696.91621115865 1672.31089839738 57.6413700580597 53.0373859405518 51.3395495414734 0 6.30523753166199 150 225621.979435654 225621.979435654 11966400 11966400 110774.690264437 110774.690264437 5875200 5875200 453.837108256657 1225615.99139035 13623.3648314862 1211992.62655887 2864 7723810 86050 7637760 0 0 0 0 57.1067705154419 1692859036.66434 32216
26112 25.5 1705.42904809529 1672.66418192317 58.4320809841156 53.8280968666077 52.1144545078278 0 6.34536647796631 153 226753.84623475 226753.84623475 12205728 12205728 111330.408259661 111330.408259661 5992704 5992704 456.817130742395 1222775.52004612 13815.1567408404 1208960.36330528 2890 7725245 87485 7637760 0 0 0 0 57.8869025707245 1692859037.45505 32855
26624 26 1710.45801948671 1673.16241670325 59.3261690139771 54.7221848964691 52.9130303859711 0 6.46711778640747 156 227422.498270953 227422.498270953 12445056 12445056 111658.699512092 111658.699512092 6110208 6110208 463.423632700121 1229044.69358878 13839.4014457155 1215205.29214307 3036 8314231 88951 8225280 0 0 0 0 58.7695512771606 1692859038.34914 33494
27136 26.5 1689.90932525175 1673.37675345341 61.0567171573639 56.452733039856 54.5788540840149 0 6.4805121421814 159 224690.343885472 224690.343885472 12684384 12684384 110317.280752434 110317.280752434 6227712 6227712 472.069255767557 1283673.01158482 13920.9487725987 1269752.06281222 3062 8315663 90383 8225280 0 0 0 0 60.4898073673248 1692859040.07969 34133
27648 27 1697.44110865627 1673.60851283546 61.8666481971741 57.2626640796661 55.3748149871826 0 6.49442839622498 162 225691.769806938 225691.769806938 12923712 12923712 110808.955573081 110808.955573081 6345216 6345216 475.058415742024 1281137.96688423 14118.3540974123 1267019.61278682 3088 8317131 91851 8225280 0 0 0 0 61.2891499996185 1692859040.88962 34772
28160 27.5 1705.1312157086 1673.92609644292 62.6640319824219 58.0600478649139 56.1576914787292 0 6.50876355171204 165 226714.246440615 226714.246440615 13163040 13163040 111310.965761457 111310.965761457 6462720 6462720 477.995272186407 1278500.10236614 14305.5839065255 1264194.51845962 3114 8318562 93282 8225280 0 0 0 0 62.0760288238525 1692859041.687 35411
28672 28 1710.55725339847 1674.36919748582 63.5321490764618 58.9281649589539 56.9606120586395 0 6.62852716445923 168 227435.69241186 227435.69241186 13402368 13402368 111665.177501852 111665.177501852 6580224 6580224 486.33980016126 1289706.04243947 14387.9582118421 1275318.08422762 3260 8907549 94749 8812800 0 0 0 0 62.9329447746277 1692859042.55512 36050
29184 28.5 1688.97301805577 1674.53082845997 65.350958108902 60.746973991394 58.7111737728119 0 6.66056442260742 171 224565.852480695 224565.852480695 13641696 13641696 110256.15861868 110256.15861868 6697728 6697728 494.293162830744 1341726.56054158 14454.535741219 1327272.02480036 3286 8908981 96181 8812800 0 0 0 0 64.7404215335846 1692859044.37393 36689
29696 29 1693.99554258059 1674.71290410988 66.2334260940552 61.6294419765472 59.5609967708588 0 6.6748571395874 174 225233.647341515 225233.647341515 13881024 13881024 110584.029019661 110584.029019661 6815232 6815232 495.771455907353 1335383.19679519 14604.8755677665 1320778.32122743 3312 8910448 97648 8812800 0 0 0 0 65.6123592853546 1692859045.2564 37328
30208 29.5 1701.92646224879 1674.9542334281 67.0038599967957 62.3998758792877 60.3178110122681 0 6.68844699859619 177 226288.1424206 226288.1424206 14120352 14120352 111101.759455601 111101.759455601 6932736 6932736 498.650250351938 1332876.26528355 14788.4049651464 1318087.8603184 3338 8911882 99082 8812800 0 0 0 0 66.3723037242889 1692859046.02683 37967
30720 30 1706.67535369648 1675.30824841038 67.8849120140076 63.2809278964996 61.1345064640045 0 6.80817008018494 180 226919.555027484 226919.555027484 14359680 14359680 111411.767089306 111411.767089306 7050240 7050240 506.636227211335 1343425.65536613 14865.4772304687 1328560.17813566 3484 9500865 100545 9400320 0 0 0 0 67.2415578365326 1692859046.90788 38606
31232 30.5 1690.03587865761 1675.46838218039 69.57301902771 64.969034910202 62.7543997764587 0 6.82107424736023 183 224707.170426315 224707.170426315 14599008 14599008 110325.542158769 110325.542158769 7167744 7167744 514.180345141965 1393551.19414482 14926.0423921345 1378625.15175269 3510 9502300 101980 9400320 0 0 0 0 68.9201126098633 1692859048.59599 39245
31744 31 1696.44371088485 1675.63656670351 70.3886601924896 65.7846760749817 63.5555200576782 0 6.8362340927124 186 225559.15579925 225559.15579925 14838336 14838336 110743.845446563 110743.845446563 7285248 7285248 516.89266286319 1390805.95633976 15110.4759982871 1375695.48034148 3536 9503769 103449 9400320 0 0 0 0 69.7240934371948 1692859049.41163 39884
32256 31.5 1702.78329060319 1675.87979854369 71.2008321285248 66.5968480110168 64.3535592556 0 6.84971380233765 189 226402.066318601 226402.066318601 15077664 15077664 111157.693210576 111157.693210576 7402752 7402752 519.622931060465 1388143.15953206 15287.1080125785 1372856.05151948 3562 9505201 104881 9400320 0 0 0 0 70.5255212783813 1692859050.2238 40523
32768 32 1707.45935841204 1676.22293703115 72.0726470947266 67.4686629772186 65.1615135669708 0 6.99144864082336 192 227023.796294465 227023.796294465 15316992 15316992 111462.946917138 111462.946917138 7520256 7520256 527.265170809588 1398032.45895866 15359.1302459569 1382673.3287127 3708 10094185 106345 9987840 0 0 0 0 71.3611967563629 1692859051.09562 41162
33280 32.5 1680.32206067641 1676.10776202652 74.2334930896759 69.629508972168 67.2311110496521 0 7.00583219528198 195 223415.621187536 223415.621187536 15556320 15556320 109691.424120956 109691.424120956 7637760 7637760 532.675877819903 1441711.1123468 15362.2009460704 1426348.91140073 3734 10095618 107778 9987840 0 0 0 0 73.5369231700897 1692859053.25646 41801
33792 33 1686.90737865908 1676.15251961645 75.0287160873413 70.4247319698334 68.0118746757507 0 7.03191828727722 198 224291.205066511 224291.205066511 15795648 15795648 110121.313678865 110121.313678865 7755264 7755264 535.283581270022 1438951.14735267 15541.4656828164 1423409.68166986 3760 10097087 109247 9987840 0 0 0 0 74.3215594291687 1692859054.05169 42440
34304 33.5 1691.7270010416 1676.25784384122 75.8920819759369 71.288097858429 68.7940044403076 0 7.10057163238525 201 224932.022058491 224932.022058491 16034976 16034976 110435.938627996 110435.938627996 7872768 7872768 532.8203279009 1422683.24758511 15564.2143165467 1407119.03326857 3786 10098521 110681 9987840 0 0 0 0 75.174427986145 1692859054.91505 43079
34816 34 1696.54456232552 1676.43582760329 76.7506301403046 72.1466460227966 69.584956407547 0 7.21910190582275 204 225572.565006802 225572.565006802 16274304 16274304 110750.42902861 110750.42902861 7990272 7990272 539.795718345032 1431171.63611822 15622.955241212 1415548.68087701 3932 10687504 112144 10575360 0 0 0 0 76.0220477581024 1692859055.7736 43718
35328 34.5 1679.29118831403 1676.33221273517 78.5637600421906 73.9597759246826 71.3337659835815 0 7.23251295089722 207 223278.556398234 223278.556398234 16513632 16513632 109624.12877314 109624.12877314 8107776 8107776 546.888416221011 1478386.83038371 15680.2341856711 1462706.59619803 3958 10688934 113574 10575360 0 0 0 0 77.8245768547058 1692859057.58673 44357
