# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 21 2023 at 00:11:56+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.20-22.11.50-5992
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.20-22.11.50-5992
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
7680 3.75 582.584651406865 580.358207873172 28.0703570842743 23.1725981235504 22.9878993034363 0 5.08668184280396 45 332218.250148486 332218.250148486 7698360 7698360 239330.953328175 239330.953328175 5545920 5545920 171.177024486085 710088.928550812 7058.98633044513 703029.942220366 874 3609202 36082 3573120 0 0 0 0 27.9118218421936 1692569539.41441 9851
8192 4 586.851779129888 580.394766947476 29.4354710578918 24.537712097168 24.2802953720093 0 5.21663475036621 48 334651.574991286 334651.574991286 8211584 8211584 241083.927326817 241083.927326817 5915648 5915648 185.444698348109 784157.1745208 7244.75794341546 776912.416577384 1020 4503940 37540 4466400 0 0 0 0 29.2665193080902 1692569540.77952 10490
8704 4.25 567.828439936476 578.801395703759 31.8425171375275 26.9447581768036 26.6073408126831 0 5.23974537849426 51 323803.536953287 323803.536953287 8724808 8724808 233268.970489815 233268.970489815 6285376 6285376 199.038186174365 860551.721748156 7399.94177773023 853151.779970426 1046 4505345 38945 4466400 0 0 0 0 31.6635792255402 1692569543.18657 11129
9216 4.5 571.1138828456 578.255842008169 33.2633800506592 28.3656210899353 28.0044550895691 0 5.26330208778381 54 325677.057121723 325677.057121723 9238032 9238032 234618.65964082 234618.65964082 6655104 6655104 203.083331270546 856946.245353129 7647.19030934107 849299.055043788 1072 4506816 40416 4466400 0 0 0 0 33.0740473270416 1692569544.60743 11768
9728 4.75 576.193600205635 577.915367170408 34.5752840042114 29.6775250434875 29.2944512367249 0 5.28504586219788 57 328573.760302152 328573.760302152 9751256 9751256 236705.452685366 236705.452685366 7024832 7024832 207.164295513318 853664.033399343 7888.33917568398 845775.694223659 1098 4508262 41862 4466400 0 0 0 0 34.3753519058228 1692569545.91933 12407
10240 5 580.112691470396 577.836203235228 35.9262130260468 31.0284540653229 30.5719239711761 0 5.40955877304077 60 330808.617741336 330808.617741336 10264480 10264480 238315.450213296 238315.450213296 7394560 7394560 220.384067409771 922910.763569043 8055.41119614476 914855.352372898 1244 5403008 43328 5359680 0 0 0 0 35.7153220176697 1692569547.27026 13046
10752 5.25 568.365019241494 576.858303312131 38.1510369777679 33.2532780170441 32.7234437465668 0 5.43227124214172 63 324109.520705774 324109.520705774 10777704 10777704 233489.40203791 233489.40203791 7764288 7764288 233.252557085938 995696.023963829 8208.61072342005 987487.413240409 1270 5404440 44760 5359680 0 0 0 0 37.9300091266632 1692569549.49509 13685
11264 5.5 573.458995376682 576.570868975161 39.4250750541687 34.5273160934448 33.9735114574432 0 5.45575857162476 66 327014.354936891 327014.354936891 11290928 11290928 235582.052714033 235582.052714033 8134016 8134016 236.996226325976 991592.761248719 8447.30125273802 983145.459995981 1296 5405936 46256 5359680 0 0 0 0 39.1937170028687 1692569550.76912 14324
11776 5.75 577.487540118686 576.451902641079 40.7426881790161 35.8449292182922 35.2693808078766 0 5.47807025909424 69 329311.628099858 329311.628099858 11804152 11804152 237237.014703335 237237.014703335 8503744 8503744 240.805039919692 987922.773808012 8683.04971334096 979239.724094671 1322 5407414 47734 5359680 0 0 0 0 40.5012183189392 1692569552.08674 14963
12288 6 580.596853171195 576.474052444264 42.1008541584015 37.2030951976776 36.5537173748016 0 5.6028208732605 72 331084.710413259 331084.710413259 12317376 12317376 238514.348143644 238514.348143644 8873472 8873472 253.103547789003 1052922.47655909 8837.89275666371 1044084.58380243 1468 6302182 49222 6252960 0 0 0 0 41.8488938808441 1692569553.4449 15602
