# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 0.000280574332025219
512 0.25 0.000285467573407921
1024 0.5 0.000291899123268306
1536 0.75 0.00029233898690377
2048 1 0.000338469008473702
2560 1.25 0.00038255930369506
3072 1.5 0.000421944751072476
3584 1.75 0.000454670252581738
4096 2 0.000484593760132684
4608 2.25 0.00051419045671347
5120 2.5 0.00054394318192548
5632 2.75 0.00057256096682444
6144 3 0.000598226472045257
6656 3.25 0.000620211999710657
7168 3.5 0.000639577445072662
7680 3.75 0.000658418530089425
8192 4 0.000678300701232731
8704 4.25 0.000699161493930817
9216 4.5 0.000719557536666401
9728 4.75 0.000738022773024302
10240 5 0.000754395926096565
10752 5.25 0.000770028418989627
11264 5.5 0.000786724762061333
11776 5.75 0.000805302647420195
12288 6 0.000824972309643207
12800 6.25 0.000844040642120181
13312 6.5 0.000861352177767782
13824 6.75 0.000877288102797719
14336 7 0.000893525980281598
14848 7.25 0.000911764872082638
15360 7.5 0.000932393145759144
15872 7.75 0.000954029150721375
16384 8 0.000974189947116413
16896 8.25 0.000990735804639875
17408 8.5 0.00100405377847904
17920 8.75 0.00101774149013022
18432 9 0.00103669891951151
18944 9.25 0.00106404492822966
19456 9.5 0.00109650120173604
19968 9.75 0.00112444604304256
20480 10 0.00113981078052658
20992 10.25 0.00114557257475312
21504 10.5 0.00115488707923089
22016 10.75 0.00117769178603601
22528 11 0.00120948621442843
23040 11.25 0.00123692650062314
23552 11.5 0.00125339847836403
24064 11.75 0.00126400036203866
24576 12 0.00127539770488158
25088 12.25 0.00128815464727634
25600 12.5 0.00130197121845631
26112 12.75 0.00132058734672831
26624 13 0.0013450138781682
27136 13.25 0.00136801019850484
27648 13.5 0.0013833024426675
28160 13.75 0.00139554765143647
28672 14 0.00141243118286311
29184 14.25 0.00143156902998011
29696 14.5 0.00144611691416718
30208 14.75 0.0014597534135827
30720 15 0.00148268163881923
31232 15.25 0.00151327397056265
31744 15.5 0.00153756756436135
32256 15.75 0.00154936721120139
32768 16 0.00155813811035001
33280 16.25 0.00157335393447935
33792 16.5 0.00159311285809829
34304 16.75 0.00161291186093977
34816 17 0.00163391454200164
35328 17.25 0.00165611678138422
35840 17.5 0.00167350795359311
36352 17.75 0.00168332846383092
36864 18 0.0016922731819901
37376 18.25 0.001707218336436
37888 18.5 0.00172678849445497
38400 18.75 0.0017471917333827
38912 19 0.00176860532297882
39424 19.25 0.00178999827601133
39936 19.5 0.00180546279867608
40448 19.75 0.00181319053401001
40960 20 0.00182235686556428
41472 20.25 0.0018432938862299
41984 20.5 0.00187386602509175
42496 20.75 0.00190171056479436
43008 21 0.00191822259869459
43520 21.25 0.00192617225472767
44032 21.5 0.00193527699564515
44544 21.75 0.00195335665546957
45056 22 0.00198013126416585
45568 22.25 0.00200744105009244
46080 22.5 0.00202700699426278
46592 22.75 0.00203895949665768
47104 23 0.00205086671219369
47616 23.25 0.00206850445665985
48128 23.5 0.00209067901296923
48640 23.75 0.00211292043511001
49152 24 0.00213200412006703
49664 24.25 0.00214614990029714
50176 24.5 0.00215546739484543
50688 24.75 0.00216432940177627
51200 25 0.00217946688942622
51712 25.25 0.00220273853114998
52224 25.5 0.00222794128455248
52736 25.75 0.00224722084920959
53248 26 0.00225949722038249
53760 26.25 0.00227100481778861
54272 26.5 0.00228821699145133
54784 26.75 0.00231097959121337
55296 27 0.00233229689667692
55808 27.25 0.00234553653767451
56320 27.5 0.00235283600938978
56832 27.75 0.00236465270250845
57344 28 0.00238821532571319
57856 28.25 0.00241765598022878
58368 28.5 0.00243969904966955
58880 28.75 0.00244935687868975
59392 29 0.00245558977123464
59904 29.25 0.00246969448054823
60416 29.5 0.00249210033605017
60928 29.75 0.0025138325049618
61440 30 0.00252825358668103
61952 30.25 0.00253738525929256
62464 30.5 0.00254775280061305
62976 30.75 0.0025637155834011
63488 31 0.00258488346602764
64000 31.25 0.00260687757698111
64512 31.5 0.00262394616750324
65024 31.75 0.00263362932808475
65536 32 0.00264022039941972
66048 32.25 0.00265153371698583
66560 32.5 0.00267056518142619
67072 32.75 0.00269176894632267
67584 33 0.00270733879200367
68096 33.25 0.00271628276001637
68608 33.5 0.00272543185173853
69120 33.75 0.0027414924963905
69632 34 0.00276333504666429
70144 34.25 0.00278262396143696
70656 34.5 0.00279216671281302
71168 34.75 0.00279410186697386
71680 35 0.00279930057202406
72192 35.25 0.00281671067522035
72704 35.5 0.00284284763619176
73216 35.75 0.00286445344155113
73728 36 0.00287338480752981
74240 36.25 0.00287649564499839
74752 36.5 0.00288671981477842
75264 36.75 0.00290717958892921
75776 37 0.0029283827587368
76288 37.25 0.00294160226521657
76800 37.5 0.00294994954324936
77312 37.75 0.00296313623383294
77824 38 0.00298463829048376
78336 38.25 0.00300838844194663
78848 38.5 0.00302714013440884
79360 38.75 0.00304001916453465
79872 39 0.00305120848729851
80384 39.25 0.00306461087008796
80896 39.5 0.00308176940262322
81408 39.75 0.00310270682365306
81920 40 0.00312577974361354
82432 40.25 0.00314722925868025
82944 40.5 0.00316378648705584
83456 40.75 0.00317654962873316
83968 41 0.00319009015229443
84480 41.25 0.0032065970770279
84992 41.5 0.00322338685862064
85504 41.75 0.00323834382404246
86016 42 0.00325492588335244
86528 42.25 0.00327716009531455
87040 42.5 0.00330090643246779
87552 42.75 0.00331638798083965
88064 43 0.00332135183112012
88576 43.25 0.00332624008700902
89088 43.5 0.00334220840348305
89600 43.75 0.00336753619768539
90112 44 0.00339038609007881
90624 44.25 0.00340290751460709
91136 44.5 0.00340840544021884
91648 44.75 0.00341578145106303
92160 45 0.00343049944840879
92672 45.25 0.00345024907854355
93184 45.5 0.00346686154619656
93696 45.75 0.00347396005636355
94208 46 0.00347516863568277
94720 46.25 0.00348207021833817
95232 46.5 0.00350029280768845
95744 46.75 0.00352061347641676
96256 47 0.00352979097088042
96768 47.25 0.00352921808588923
97280 47.5 0.00353323262471694
97792 47.75 0.0035508153169566
98304 48 0.00357436589207961
98816 48.25 0.00359065623105798
99328 48.5 0.00359744938259215
99840 48.75 0.00360333713709159
100352 49 0.00361449125595842
100864 49.25 0.00362875524648723
101376 49.5 0.003642777119965
101888 49.75 0.00365783634067014
102400 50 0.00367507727631057
102912 50.25 0.00368982081489282
103424 50.5 0.00369629334376717
103936 50.75 0.00369685406177261
104448 51 0.00370158875695585
104960 51.25 0.00371724051909179
105472 51.5 0.00373926965601835
105984 51.75 0.00375674092804346
106496 52 0.00376396809945878
107008 52.25 0.00376593479064399
107520 52.5 0.0037724560355596
108032 52.75 0.0037879055181794
108544 53 0.00380728669177761
109056 53.25 0.00382242525592753
109568 53.5 0.00383097097074564
110080 53.75 0.00383790291944548
110592 54 0.00384882947330688
111104 54.25 0.00386435308355225
111616 54.5 0.00388145818400477
112128 54.75 0.00389739364767053
112640 55 0.0039104204840307
113152 55.25 0.0039195700472329
113664 55.5 0.00392668250433793
114176 55.75 0.00393680915746204
114688 56 0.00395293141826912
115200 56.25 0.00397090609668727
115712 56.5 0.00398332137810779
116224 56.75 0.00398894530027556
116736 57 0.00399512353321393
117248 57.25 0.00400905029798322
117760 57.5 0.00402876192282935
118272 57.75 0.00404525741433628
118784 58 0.00405313066773715
119296 58.25 0.00405688760960744
119808 58.5 0.00406555881702199
120320 58.75 0.0040820645704619
120832 59 0.0040999876565659
121344 59.25 0.00411166156974434
121856 59.5 0.00411758317226084
122368 59.75 0.00412526456511816
122880 60 0.00413919040099871
123392 60.25 0.00415531729965249
123904 60.5 0.00416720870258394
124416 60.75 0.00417474667595992
124928 61 0.00418321632696567
125440 61.25 0.0041949608181673
125952 61.5 0.00420652781291959
126464 61.75 0.00421526358085107
126976 62 0.00422433212263043
127488 62.25 0.00423751853638762
128000 62.5 0.0042518425446806
128512 62.75 0.00426083618617487
129024 63 0.00426446769733918
129536 63.25 0.00427036538246832
130048 63.5 0.0042839700001957
130560 63.75 0.00430128811744247
131072 64 0.00431495776215003
131584 64.25 0.00432381886154566
132096 64.5 0.00433240455849661
132608 64.75 0.00434383055989412
133120 65 0.00435798728708792
133632 65.25 0.00437473384543739
134144 65.5 0.00439333965089674
134656 65.75 0.00440962638525658
135168 66 0.00441967214048314
135680 66.25 0.00442699719643162
136192 66.5 0.00444027894120139
136704 66.75 0.00446197112356406
137216 67 0.00448433508161067
137728 67.25 0.00449966481700205
138240 67.5 0.00451000288839808
138752 67.75 0.00452294509231663
139264 68 0.00454133275836816
139776 68.25 0.00456170592600959
140288 68.5 0.00458090370549706
140800 68.75 0.00459924287412691
141312 69 0.00461748518714863
141824 69.25 0.00463507891227898
142336 69.5 0.00465246107197208
142848 69.75 0.00467173912945051
143360 70 0.00469325631182314
143872 70.25 0.00471378730714773
144384 70.5 0.00473057309213396
144896 70.75 0.00474618227875151
145408 71 0.0047667460977715
145920 71.25 0.00479463811798886
146432 71.5 0.00482463792087866
146944 71.75 0.00484906092235313
147456 72 0.00486619163660962
147968 72.25 0.00488182677657893
148480 72.5 0.00490228181950994
148992 72.75 0.00492796642492273
149504 73 0.00495499355922793
150016 73.25 0.00498087583896122
150528 73.5 0.00500594909708754
151040 73.75 0.00503035891324816
151552 74 0.00505323102009832
152064 74.25 0.00507546055296811
152576 74.5 0.00510028765803365
153088 74.75 0.0051292948878081
153600 75 0.00515960078264598
154112 75.25 0.00518686903233234
154624 75.5 0.00521019035543745
155136 75.75 0.00523257400863888
155648 76 0.0052573254152844
156160 76.25 0.00528525620832905
156672 76.5 0.00531500636430472
157184 76.75 0.00534479362164308
157696 77 0.00537368183638731
