# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.25 -0.002680698343434 -0.002680698343434 -0.002680698343434
1024 0.5 -0.00533099463649753 -0.00533099463649753 -0.00533099463649753
1536 0.75 -0.00793484677170038 -0.00793484677170038 -0.00793484677170038
2048 1 -0.0104825960966709 -0.0104825960966709 -0.0104825960966708
2560 1.25 -0.0130038348594496 -0.0130038348594496 -0.0130038348594496
3072 1.5 -0.0155686911076025 -0.0155686911076025 -0.0155686911076025
3584 1.75 -0.0181702197374717 -0.0181702197374717 -0.0181702197374717
4096 2 -0.0207651838583682 -0.0207651838583682 -0.0207651838583682
4608 2.25 -0.0233409676419913 -0.0233409676419913 -0.0233409676419913
5120 2.5 -0.0258935932040317 -0.0258935932040317 -0.0258935932040317
5632 2.75 -0.0284198094058011 -0.028419809405801 -0.028419809405801
6144 3 -0.0309166901487618 -0.0309166901487614 -0.0309166901487615
6656 3.25 -0.0333807945072218 -0.0333807945072209 -0.0333807945072211
7168 3.5 -0.0358074742758603 -0.0358074742758584 -0.0358074742758586
7680 3.75 -0.0381920730432373 -0.0381920730432318 -0.0381920730432326
8192 4 -0.0405325940157542 -0.0405325940157428 -0.0405325940157439
8704 4.25 -0.0428273609070252 -0.042827360907012 -0.0428273609070096
9216 4.5 -0.0450745530642647 -0.0450745530642574 -0.0450745530642484
9728 4.75 -0.0472721703173458 -0.0472721703173418 -0.0472721703173311
10240 5 -0.0494188201451277 -0.0494188201451199 -0.0494188201451159
10752 5.25 -0.0515744988478846 -0.0515744988479009 -0.0515744988478835
11264 5.5 -0.0536887455992591 -0.0536887455992551 -0.05368874559926
11776 5.75 -0.0557521127292701 -0.0557521127292642 -0.0557521127292592
12288 6 -0.0577648922751733 -0.0577648922751522 -0.0577648922751308
12800 6.25 -0.059825507144735 -0.0598255071446775 -0.0598255071447012
13312 6.5 -0.0619616954615679 -0.0619616954614785 -0.0619616954614877
13824 6.75 -0.0640490559672562 -0.0640490559671412 -0.0640490559671461
14336 7 -0.0660863811093104 -0.0660863811091548 -0.0660863811092182
14848 7.25 -0.0680725778207353 -0.0680725778204852 -0.068072577820684
15360 7.5 -0.0700068591758669 -0.0700068591754598 -0.0700068591758065
15872 7.75 -0.0718888240941208 -0.0718888240935475 -0.0718888240939694
16384 8 -0.0737989049379743 -0.0737989049372889 -0.0737989049377276
16896 8.25 -0.0756987107091867 -0.0756987107083736 -0.0756987107085972
17408 8.5 -0.0775639918234657 -0.077563991822431 -0.0775639918224422
17920 8.75 -0.0795136043743301 -0.079513604373192 -0.0795136043727117
18432 9 -0.0814194567464653 -0.081419456745458 -0.0814194567443677
18944 9.25 -0.0832819385109887 -0.0832819385103009 -0.0832819385086602
19456 9.5 -0.0851017329702951 -0.0851017329698134 -0.085101732967949
19968 9.75 -0.0868794566802556 -0.0868794566795488 -0.0868794566778339
20480 10 -0.0886154698438887 -0.0886154698425739 -0.0886154698412123
20992 10.25 -0.090310242103256 -0.0903102421014005 -0.090310242100422
21504 10.5 -0.0919646498758278 -0.091964649874041 -0.0919646498732404
22016 10.75 -0.0935797631636605 -0.093579763162345 -0.0935797631612593
22528 11 -0.0951567407148689 -0.0951567407127794 -0.0951567407110257
