# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 0.125439999260025
512 0.25 0.125372209006545
1024 0.5 0.125305221469647
1536 0.75 0.125240169616137
2048 1 0.125178393754433
2560 1.25 0.125120167368295
3072 1.5 0.12506836557851
3584 1.75 0.125028160039478
4096 2 0.124997581294158
4608 2.25 0.124976186951554
5120 2.5 0.124963854940987
5632 2.75 0.124960245947876
6144 3 0.124964833036129
6656 3.25 0.124976928871045
7168 3.5 0.124995723365037
7680 3.75 0.125020330929872
8192 4 0.125049842476905
8704 4.25 0.125083368729847
9216 4.5 0.125120067764363
9728 4.75 0.12515915603306
10240 5 0.125199912675785
10752 5.25 0.125241689316325
11264 5.5 0.125283922548998
11776 5.75 0.125326149610331
12288 6 0.125368014501072
12800 6.25 0.125409259084758
13312 6.5 0.125449705425719
13824 6.75 0.125489240654363
14336 7 0.125527811603175
14848 7.25 0.125565426819693
15360 7.5 0.125602157582948
15872 7.75 0.125638135417421
16384 8 0.125673529266923
16896 8.25 0.125708516324542
17408 8.5 0.125742471851648
17920 8.75 0.125774675462466
18432 9 0.125805715878675
18944 9.25 0.125836114338126
19456 9.5 0.125866314644815
19968 9.75 0.125896770686927
20480 10 0.125928006175247
20992 10.25 0.125960545764203
21504 10.5 0.125994756438172
22016 10.75 0.126030754513889
22528 11 0.126068468432076
23040 11.25 0.126107770807309
23552 11.5 0.126148534134256
24064 11.75 0.126190591395077
24576 12 0.126233704099129
25088 12.25 0.126277596496157
25600 12.5 0.126322005235044
26112 12.75 0.126366690276779
26624 13 0.126411428286093
27136 13.25 0.126456026165255
27648 13.5 0.126500346820038
28160 13.75 0.126544327647148
28672 14 0.126587994051708
29184 14.25 0.126631460800837
29696 14.5 0.126674900582213
30208 14.75 0.126718498280726
30720 15 0.126762436248878
31232 15.25 0.12680690767608
31744 15.5 0.126852108108502
32256 15.75 0.126898200388549
32768 16 0.126945304804318
33280 16.25 0.126993523248691
33792 16.5 0.127042941627641
34304 16.75 0.127093593077981
34816 17 0.12714543599134
35328 17.25 0.127198372665711
35840 17.5 0.127252265155496
36352 17.75 0.127306927405421
36864 18 0.12736213608004
37376 18.25 0.12741767669684
37888 18.5 0.127473374136736
38400 18.75 0.127529078132458
38912 19 0.127584645465682
39424 19.25 0.127639949184396
39936 19.5 0.127694886838957
40448 19.75 0.12774937237503
40960 20 0.127803348559855
41472 20.25 0.127856833131302
41984 20.5 0.127909943020913
42496 20.75 0.12796285298964
43008 21 0.128015727999466
43520 21.25 0.128068697164562
44032 21.5 0.128121881550038
44544 21.75 0.128175435009871
45056 22 0.128229554552771
45568 22.25 0.128284440588441
46080 22.5 0.128340223630244
46592 22.75 0.128396912230485
47104 23 0.128454410894761
47616 23.25 0.128512592745718
48128 23.5 0.128571362580114
48640 23.75 0.128630670802542
49152 24 0.128690491617523
49664 24.25 0.128750792770356
50176 24.5 0.128811512106579
50688 24.75 0.128872554878713
51200 25 0.128933817006058
51712 25.25 0.128995207306515
52224 25.5 0.129056632609855
52736 25.75 0.129117956532024
53248 26 0.129178989713636
53760 26.25 0.129239547884742
54272 26.5 0.129299545293122
54784 26.75 0.129359051123383
55296 27 0.129418260902601
55808 27.25 0.129477399560951
56320 27.5 0.129536628796037
56832 27.75 0.129596027779029
57344 28 0.129655642002401
57856 28.25 0.129715522098459
58368 28.5 0.129775695779426
58880 28.75 0.129836113061293
59392 29 0.129896649815859
59904 29.25 0.129957183786273
60416 29.5 0.130017665868359
60928 29.75 0.130078116693945
61440 30 0.130138564050487
61952 30.25 0.130198987407896
62464 30.5 0.130259307746188
62976 30.75 0.130319411728707
63488 31 0.130379182749772
64000 31.25 0.130438519939037
64512 31.5 0.130497338432884
65024 31.75 0.130555560497567
65536 32 0.13061311970505
66048 32.25 0.13066998547903
66560 32.5 0.13072617991921
67072 32.75 0.130781751444137
67584 33 0.130836713122049
68096 33.25 0.130890998861821
68608 33.5 0.130944478125028
69120 33.75 0.130997012447443
69632 34 0.131048502557376
70144 34.25 0.131098895184709
70656 34.5 0.131148159211356
71168 34.75 0.131196259480156
71680 35 0.131243148610263
72192 35.25 0.131288776407056
72704 35.5 0.131333097090006
73216 35.75 0.131376055693567
73728 36 0.131417513733037
74240 36.25 0.131456832130869
74752 36.5 0.131493808000071
75264 36.75 0.13152850464647
75776 37 0.13156110339256
76288 37.25 0.131591816000388
76800 37.5 0.131620809051068
77312 37.75 0.131648209852446
77824 38 0.131674161680995
78336 38.25 0.131698847051897
78848 38.5 0.131722455321586
79360 38.75 0.131745143992891
79872 39 0.13176703700821
80384 39.25 0.131788249436013
80896 39.5 0.131808906667404
81408 39.75 0.13182914798733
81920 40 0.131849120822503
82432 40.25 0.131868966362191
82944 40.5 0.131888797492815
83456 40.75 0.131908688304849
83968 41 0.131928694882347
84480 41.25 0.131948890482586
84992 41.5 0.131969372469893
85504 41.75 0.131990233516751
86016 42 0.132011544379908
86528 42.25 0.132033381268433
87040 42.5 0.132055856013055
87552 42.75 0.132079087886984
88064 43 0.132103139196274
88576 43.25 0.13212800832166
89088 43.5 0.132153703361063
89600 43.75 0.132180304634031
90112 44 0.132207941004528
90624 44.25 0.132236708993346
91136 44.5 0.132266627863519
91648 44.75 0.132297669730397
92160 45 0.132329824207441
92672 45.25 0.132363139857619
93184 45.5 0.132397713512008
93696 45.75 0.132433635485594
94208 46 0.132470938861938
94720 46.25 0.132509613210931
95232 46.5 0.132549673549193
95744 46.75 0.132591185851839
96256 47 0.132634014639276
96768 47.25 0.132676602876853
97280 47.5 0.13271866433475
97792 47.75 0.132760418542312
98304 48 0.132802200026667
98816 48.25 0.132844402460036
99328 48.5 0.132887440139864
99840 48.75 0.132931805602934
100352 49 0.132977950936649
100864 49.25 0.133026197636077
101376 49.5 0.133076685984499
101888 49.75 0.133129375066295
102400 50 0.133184105350423
102912 50.25 0.133240665233411
103424 50.5 0.133298823224789
103936 50.75 0.133358401009931
104448 51 0.133419215108164
104960 51.25 0.133481052531654
105472 51.5 0.133543692300836
105984 51.75 0.13360691000581
106496 52 0.133670437076841
107008 52.25 0.133733971015541
107520 52.5 0.133797255893402
108032 52.75 0.133860154690034
108544 53 0.133922647543386
109056 53.25 0.133984794516802
109568 53.5 0.134046671501046
110080 53.75 0.134108325705377
110592 54 0.134169775507615
111104 54.25 0.134231035110339
111616 54.5 0.134292131019253
112128 54.75 0.134353099995733
112640 55 0.134413976327298
113152 55.25 0.134474774321983
113664 55.5 0.134535473650008
114176 55.75 0.134596023331121
114688 56 0.134656366755446
115200 56.25 0.134716460211028
115712 56.5 0.134776257897102
116224 56.75 0.134835678981909
116736 57 0.134894602097666
117248 57.25 0.134952904285873
117760 57.5 0.135010507001155
118272 57.75 0.135067380114616
118784 58 0.135123502795457
119296 58.25 0.13517883151964
119808 58.5 0.135233316726566
120320 58.75 0.135286946754887
120832 59 0.135339758409173
121344 59.25 0.135391793824859
121856 59.5 0.135443055150387
122368 59.75 0.135493514184004
122880 60 0.135543162350185
123392 60.25 0.135592036200552
123904 60.5 0.135640192748863
124416 60.75 0.135687675551191
124928 61 0.135734511431603
125440 61.25 0.135780722320552
125952 61.5 0.13582631792136
126464 61.75 0.135871276288609
126976 62 0.135915550673471
127488 62.25 0.135959119168975
128000 62.5 0.136002000405716
128512 62.75 0.136043810620524
129024 63 0.136083941012925
129536 63.25 0.136122331067957
130048 63.5 0.136158983829933
130560 63.75 0.136193978183914
131072 64 0.136227425536302
131584 64.25 0.136259405672058
132096 64.5 0.136289952212264
132608 64.75 0.136319081965313
133120 65 0.136346815680118
133632 65.25 0.136373177172919
134144 65.5 0.136398193980382
134656 65.75 0.136421897410273
135168 66 0.136444303693855
135680 66.25 0.136465398708583
136192 66.5 0.136485167505979
136704 66.75 0.136503648625278
137216 67 0.136520946483021
137728 67.25 0.136537178799934
138240 67.5 0.136552453851049
138752 67.75 0.136566807733515
139264 68 0.136580235414943
139776 68.25 0.136592719060953
140288 68.5 0.136604218002705
140800 68.75 0.136614664610575
141312 69 0.136623979362095
141824 69.25 0.136632082037717
142336 69.5 0.136638893803184
142848 69.75 0.136644350239963
143360 70 0.136648424532341
143872 70.25 0.136651129446177
144384 70.5 0.136652485405668
144896 70.75 0.13665248857583
145408 71 0.136651117574778
145920 71.25 0.136648368555616
146432 71.5 0.136644270440049
146944 71.75 0.13663885703137
147456 72 0.136632130190751
147968 72.25 0.136624063232381
148480 72.5 0.136614644249717
148992 72.75 0.136603908998286
149504 73 0.136591928448985
150016 73.25 0.136578773310721
150528 73.5 0.136564496625844
151040 73.75 0.136549137425978
151552 74 0.136532719562058
152064 74.25 0.136515242583177
152576 74.5 0.136496689469325
153088 74.75 0.136477056416751
153600 75 0.136456372956241
154112 75.25 0.136434687686835
154624 75.5 0.1364120373966
155136 75.75 0.136388434496104
155648 76 0.136363880820691
156160 76.25 0.136338387279221
156672 76.5 0.136311979950086
157184 76.75 0.136284690692888
157696 77 0.136256542419306
158208 77.25 0.136227541651145
158720 77.5 0.136197684505276
159232 77.75 0.13616696893959
159744 78 0.136135400119809
160256 78.25 0.136102987644955
160768 78.5 0.136069746772832
161280 78.75 0.136035708013126
161792 79 0.136000920269452
162304 79.25 0.135965433091193
162816 79.5 0.135929267938627
163328 79.75 0.135892406390756
163840 80 0.135854811875585
164352 80.25 0.13581647113315
164864 80.5 0.135777420944161
165376 80.75 0.135737734771252
165888 81 0.135697477928808
166400 81.25 0.135656670909682
166912 81.5 0.135615296666217
167424 81.75 0.135573351393793
167936 82 0.135530909155967
168448 82.25 0.13548809935675
168960 82.5 0.135445036720106
169472 82.75 0.135401787305702
169984 83 0.1353583713912
170496 83.25 0.135314793119877
171008 83.5 0.135271066411256
171520 83.75 0.135227216107382
172032 84 0.135183260703824
172544 84.25 0.135139199464498
173056 84.5 0.135095015833885
173568 84.75 0.135050686196862
174080 85 0.135006178955196
174592 85.25 0.134961448429861
175104 85.5 0.134916440729454
175616 85.75 0.134871112963684
176128 86 0.134825445444789
176640 86.25 0.134779432482564
177152 86.5 0.134733063639119
177664 86.75 0.134686316837083
178176 87 0.134639167456291
178688 87.25 0.134591601012039
179200 87.5 0.134543619315215
179712 87.75 0.134495237974695
180224 88 0.13444647527978
