# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.25 1.0003526303407
1024 0.5 1.00031812011179
1536 0.75 1.00028596439152
2048 1 1.00025613926885
2560 1.25 1.00022857070878
3072 1.5 1.00020315656112
3584 1.75 1.0002566420708
4096 2 1.00032842178494
4608 2.25 1.00040715211121
5120 2.5 1.00049293193237
5632 2.75 1.00058598445771
6144 3 1.0006865430144
6656 3.25 1.00079469720172
7168 3.5 1.00091002937004
7680 3.75 1.00103216313659
8192 4 1.00116316419193
8704 4.25 1.00130170543369
9216 4.5 1.00144547290563
9728 4.75 1.00159475883877
10240 5 1.0017570447473
10752 5.25 1.00192366638439
11264 5.5 1.00209389403793
11776 5.75 1.00225910409175
12288 6 1.00242469421317
12800 6.25 1.00259054431646
13312 6.5 1.00275595911802
13824 6.75 1.00292030912466
14336 7 1.00308300266277
14848 7.25 1.00325600567979
15360 7.5 1.00342740309349
15872 7.75 1.00358653003161
16384 8 1.0037871424617
16896 8.25 1.00398785370179
17408 8.5 1.00418815663429
17920 8.75 1.00439189327299
18432 9 1.0046231585977
18944 9.25 1.00485272578335
19456 9.5 1.00507976354401
19968 9.75 1.00530283211224
20480 10 1.00551899222715
20992 10.25 1.00581032372243
21504 10.5 1.00610414711412
22016 10.75 1.00639958894643
22528 11 1.00669595075673
23040 11.25 1.00699253658244
23552 11.5 1.00728849127308
24064 11.75 1.00758284259558
24576 12 1.00787473819173
25088 12.25 1.00816359237298
25600 12.5 1.00844916937793
26112 12.75 1.00873086636176
26624 13 1.00900816137782
27136 13.25 1.00928046221174
27648 13.5 1.00954734079253
28160 13.75 1.00980840786695
28672 14 1.01006276248157
29184 14.25 1.01030924564146
29696 14.5 1.01054827267858
30208 14.75 1.01078031945069
30720 15 1.0110056620594
31232 15.25 1.01122436983394
31744 15.5 1.01143651487643
32256 15.75 1.0116422708199
32768 16 1.01184181598797
33280 16.25 1.0120353000883
33792 16.5 1.01222287770397
34304 16.75 1.012404913315
34816 17 1.01258133299026
35328 17.25 1.01275885583041
35840 17.5 1.01301009957258
36352 17.75 1.01325667499072
36864 18 1.01349859033102
37376 18.25 1.01373576078995
37888 18.5 1.01396811705047
38400 18.75 1.01419553187238
38912 19 1.01441794001277
39424 19.25 1.01463451726526
39936 19.5 1.01484439847527
40448 19.75 1.01504703621384
40960 20 1.01524212903657
41472 20.25 1.01542972337719
41984 20.5 1.01561029539385
42496 20.75 1.01578345411863
43008 21 1.01594935040277
43520 21.25 1.01610836782206
44032 21.5 1.01626145788315
44544 21.75 1.01640840752356
45056 22 1.01654957371374
45568 22.25 1.01668518005242
46080 22.5 1.01681535127297
46592 22.75 1.01694086967557
47104 23 1.01707190560337
47616 23.25 1.01719593430061
48128 23.5 1.01731056009139
48640 23.75 1.01757275174459
49152 24 1.01806221067357
49664 24.25 1.01856840331065
50176 24.5 1.0190822605451
50688 24.75 1.01959860001985
51200 25 1.02011842332694
51712 25.25 1.02066290273183
52224 25.5 1.0212036098189
52736 25.75 1.02174398103175
53248 26 1.02206603331778
53760 26.25 1.02253810905619
54272 26.5 1.02217407834671
54784 26.75 1.02178121827613
55296 27 1.02135871670272
55808 27.25 1.02086408042414
56320 27.5 1.02056028001239
56832 27.75 1.02027638053004
57344 28 1.02039680038905
57856 28.25 1.02052277943016
58368 28.5 1.02065192018618
58880 28.75 1.02080956134141
59392 29 1.02104562613956
59904 29.25 1.0212844220788
60416 29.5 1.02151368650375
60928 29.75 1.02173337124497
61440 30 1.02194464389365
61952 30.25 1.02214799312323
62464 30.5 1.02234440756628
62976 30.75 1.02253479114608
63488 31 1.0227196465448
