# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
41472 20.25 0.000350066900702833 0.000350066933363171 0.000350066920024358
41984 20.5 0.000355662433850997 0.000355662437691013 0.00035566242863571
42496 20.75 0.000361430160916459 0.000361430141069958 0.000361430151014555
43008 21 0.000367239120337257 0.000367239089130321 0.000367239122420886
43520 21.25 0.000372963382028965 0.000372963353084992 0.000372963388636607
44032 21.5 0.000378513948001473 0.000378513929789306 0.000378513934607287
44544 21.75 0.000383748141329165 0.000383748139018122 0.00038374809484418
45056 22 0.000388407807451023 0.000388407836762782 0.000388407747026981
45568 22.25 0.000392268429290597 0.000392268510207416 0.000392268393379147
46080 22.5 0.000395422392745134 0.000395422516612025 0.000395422402385065
46592 22.75 0.000398353199237805 0.000398353321640363 0.000398353240661539
47104 23 0.000401609492455118 0.000401609575127795 0.000401609539127491
47616 23.25 0.000405379669064293 0.000405379712614769 0.000405379707992521
48128 23.5 0.000409435287387345 0.000409435308189974 0.000409435313321052
48640 23.75 0.00041345750824182 0.000413457502044216 0.000413457506012906
49152 24 0.000417310201216089 0.000417310153225249 0.000417310154557221
49664 24.25 0.000420991240143663 0.000420991163410967 0.000420991155332209
50176 24.5 0.000424447812641024 0.000424447750899327 0.000424447717022089
50688 24.75 0.000427527217780765 0.000427527202813556 0.000427527135525974
51200 25 0.000430078317008831 0.000430078340995628 0.000430078261518186
51712 25.25 0.0004320643426751 0.000432064385128624 0.000432064331196739
52224 25.5 0.000433594079605138 0.000433594142259568 0.000433594130165816
52736 25.75 0.000434864059275993 0.000434864147648806 0.000434864157430244
53248 26 0.000436087090163929 0.000436087172962901 0.000436087175427085
53760 26.25 0.000437505446726704 0.000437505472604259 0.000437505459128937
54272 26.5 0.000439440882298776 0.0004394408435081 0.000439440828007922
54784 26.75 0.000442199315268025 0.000442199264879936 0.000442199272037202
55296 27 0.000445827458272827 0.000445827456592003 0.000445827505208784
55808 27.25 0.000450008880075446 0.00045000895047699 0.000450009023174311
56320 27.5 0.000454281094764974 0.000454281234156442 0.000454281265316676
56832 27.75 0.000458335189948848 0.000458335382032212 0.000458335312261025
57344 28 0.000462058362667575 0.000462058562552432 0.000462058414574669
57856 28.25 0.000465355726831944 0.000465355868186364 0.000465355734633731
58368 28.5 0.000468066013553698 0.000468066059168784 0.000468066005993263
58880 28.75 0.000470089799417968 0.000470089770870033 0.000470089788374048
59392 29 0.000471537034141022 0.00047153698930397 0.000471537042016854
59904 29.25 0.000472714011026838 0.000472714015209181 0.000472714086023771
60416 29.5 0.000473991446058853 0.000473991545059496 0.00047399160731886
60928 29.75 0.00047567160908477 0.000475671776105512 0.000475671780725582
61440 30 0.000477888297006904 0.000477888417770051 0.000477888363786278
61952 30.25 0.000480548328409721 0.000480548302876357 0.000480548287768483
62464 30.5 0.000483373279210904 0.000483373131117349 0.00048337326512688
62976 30.75 0.00048605530995989 0.000486055132754258 0.000486055415468842
63488 31 0.000488412649635646 0.000488412461661939 0.000488412810402878
64000 31.25 0.000490425624608313 0.000490425358317845 0.000490425747508118
64512 31.5 0.000493570624987634 0.000493569996592845 0.000493570677168199
65024 31.75 0.000496428754484623 0.000496428205564628 0.000496428952531086
65536 32 0.00049891669195275 0.000498916228206311 0.000498917047091138
66048 32.25 0.000501266741984126 0.000501266255404458 0.000501267116765912
66560 32.5 0.000503800148926268 0.0005037995320323 0.000503800333997656
67072 32.75 0.000506680897909354 0.000506680159535648 0.000506680831752589
67584 33 0.00050983466756426 0.000509833889348244 0.000509834505662686
68096 33.25 0.000513103071709759 0.000513102273162098 0.00051310299792101
68608 33.5 0.000516395587660478 0.000516394709294086 0.000516395640320381
69120 33.75 0.000519652732337968 0.000519651756864733 0.000519652866040515
69632 34 0.00052275370286601 0.000522752718231215 0.000522753922235421
70144 34.25 0.000525562106839044 0.000525561208630156 0.000525562443572307
70656 34.5 0.000528034796478153 0.000528033970357943 0.00052803521199153
71168 34.75 0.000530223768783311 0.000530222911191029 0.000530224184017857
71680 35 0.000532230079508982 0.000532229115396637 0.000532230470714091
72192 35.25 0.000534237966979036 0.000534236909978948 0.000534238339379337
72704 35.5 0.000536508104579243 0.000536507001704978 0.000536508412940396
73216 35.75 0.00053918122258517 0.000539180077247569 0.000539181424821568
73728 36 0.000542102462914242 0.000542101238800346 0.000542102615883498
74240 36.25 0.000544955490325178 0.000544954161332294 0.000544955690105897
74752 36.5 0.000547544875918889 0.000547543423378321 0.00054754513825394
75264 36.75 0.000549852327677161 0.000549850709485518 0.000549852607331401
75776 37 0.000552220021884255 0.000552216753123351 0.000552219915189763
76288 37.25 0.000554487647122507 0.000554484267817531 0.000554487490733769
76800 37.5 0.000556748794627804 0.000556745271104876 0.000556748625249732
77312 37.75 0.000559190960998999 0.000559187206611005 0.00055919079029953
77824 38 0.000561735620656873 0.0005617315031388 0.000561735353278382
78336 38.25 0.000564308577387243 0.000564304063022086 0.000564308122599535
78848 38.5 0.000566974613241442 0.000566969890867597 0.000566974013299296
79360 38.75 0.000569789151492346 0.00056978447166598 0.000569788570853615
79872 39 0.000572633860443335 0.000572629253021695 0.000572633490298551
80384 39.25 0.000575271743876497 0.000575267042135109 0.000575271660099256
80896 39.5 0.000577545318707132 0.000577540443687805 0.000577545328998268
81408 39.75 0.000579483075255046 0.000579478144758459 0.00057948280489412
81920 40 0.000581232246316734 0.000581227430416394 0.000581231555757539
82432 40.25 0.000582964131235278 0.000582959487758378 0.00058296332793982
82944 40.5 0.000584857711940727 0.000584853111889732 0.000584857124727377
83456 40.75 0.000587051199880253 0.000587046406342058 0.000587050703029074
83968 41 0.000589506049562228 0.000589500980340224 0.000589505262688126
84480 41.25 0.000591984834628074 0.000591979696417521 0.000591983597901466
84992 41.5 0.000594238841696572 0.000594233915500663 0.000594237254066629
85504 41.75 0.000596143804025311 0.000596139230881593 0.000596142013484207
86016 42 0.000597630319193284 0.000597626146903017 0.000597628471533564
86528 42.25 0.000598669775658115 0.000598666050115015 0.000598667983164853
87040 42.5 0.000599436021227465 0.000599432825950213 0.00059943427630343
87552 42.75 0.000600295288145161 0.000600292783004602 0.000600293503824366
88064 43 0.000601486634392818 0.00060148494612961 0.00060148472274357
88576 43.25 0.000602941079994279 0.000602940098061343 0.000602938932666308
89088 43.5 0.000604489643164649 0.000604489117548523 0.000604487177466079
89600 43.75 0.000606047569868921 0.000606047459944485 0.00060604483086829
90112 44 0.000607499081667037 0.00060749964832361 0.00060749616521353
90624 44.25 0.000608651370023301 0.000608652932603863 0.000608648263343568
91136 44.5 0.000609494298821728 0.000609497007278308 0.000609490900411358
91648 44.75 0.000610345376186697 0.00061034918888477 0.000610341646967986
92160 45 0.000611550250653245 0.000611555082378808 0.000611546307394511
92672 45.25 0.000613117162515733 0.000613123026740228 0.000613113201047042
93184 45.5 0.000614778845208601 0.000614785785415712 0.000614774886842037
93696 45.75 0.000616353128089175 0.000616361062133152 0.000616348885917152
94208 46 0.000617892585170565 0.000617901365982969 0.000617887761285224
94720 46.25 0.000619458259517289 0.000619467839468268 0.000619452913987954
95232 46.5 0.00062088845073605 0.000620898826799954 0.000620882848452399
95744 46.75 0.00062193634651615 0.000621947396191791 0.000621930516800638
96256 47 0.000622601916565814 0.000622613425075914 0.000622595612163811
96768 47.25 0.000623158817864014 0.000623170615174905 0.0006231518449204
97280 47.5 0.000623812848314945 0.000623824814600668 0.000623805215422955
97792 47.75 0.000624496318915712 0.000624508301258644 0.000624488093063457
98304 48 0.00062508730135734 0.000625099110424017 0.000625078478300101
98816 48.25 0.000625668859478578 0.000625680347084424 0.000625659400155278
99328 48.5 0.000626402277889753 0.000626413400444445 0.000626392207922158
99840 48.75 0.000627239401768273 0.000627250230862903 0.00062722880478972
100352 49 0.000627973630392432 0.000627984155662676 0.000627962434420344
100864 49.25 0.00062857384469206 0.000628583732946672 0.00062856171279971
101376 49.5 0.000629254315225242 0.000629263089954654 0.000629240986485422
101888 49.75 0.000630123444125528 0.000630131009944902 0.000630109150577332
102400 50 0.000630934834785521 0.000630941535958033 0.000630920114382203
102912 50.25 0.000631338114226142 0.000631344128763374 0.000631323196400227
103424 50.5 0.000631277185574797 0.000631282236490155 0.000631261786542311
103936 50.75 0.000631001963979387 0.000631005818342977 0.000630985682423995
104448 51 0.000630773986971486 0.000630776856061211 0.000630756708058103
104960 51.25 0.000630709874047528 0.000630712126522616 0.000630691780495935
105472 51.5 0.000630840260135761 0.000630842084703243 0.000630821609289666
105984 51.75 0.000631132567432715 0.000631134104403616 0.000631113571950036
106496 52 0.000631439598709648 0.000631441140199198 0.000631420510339318
107008 52.25 0.000631559657864213 0.000631561537478411 0.000631540806202072
107520 52.5 0.000631404787231498 0.000631407233338037 0.000631386422338734
108032 52.75 0.000631067549019091 0.00063107070287974 0.000631049741913462
108544 53 0.000630714082780675 0.000630717990737633 0.000630696881991523
109056 53.25 0.000630438254324851 0.000630442878418378 0.000630421859759613
109568 53.5 0.00063019329692533 0.000630198742086475 0.000630178009370816
110080 53.75 0.000629819029187187 0.000629825785336789 0.000629805150614224
110592 54 0.00062916731855237 0.00062917612419557 0.000629155192821077
111104 54.25 0.000628275252637886 0.000628286607647581 0.00062826525729456
111616 54.5 0.000628302570972154 0.000628308413822917 0.000628285495149428
112128 54.75 0.000628245630387851 0.000628252975007902 0.000628229132784415
112640 55 0.000627733375341107 0.00062774235806362 0.000627717731274193
113152 55.25 0.000626930176225067 0.000626940726277071 0.000626915531026671
113664 55.5 0.000626116927994248 0.000626129047771703 0.000626103312963812
114176 55.75 0.000625396041285758 0.000625410046773078 0.000625383729002424
114688 56 0.000624692600663223 0.000624708920740202 0.000624682203132172
115200 56.25 0.000623965721683855 0.000623984530598191 0.000623957784863214
115712 56.5 0.000623282940197759 0.000623304109690912 0.000623277636253233
116224 56.75 0.000622647607378188 0.000622670896102445 0.000622644965011763
116736 57 0.000621859195732722 0.000621884366147929 0.000621859415035655
117248 57.25 0.000620672025620981 0.000620698910500412 0.000620675360990083
117760 57.5 0.000619087592785759 0.000619116178348477 0.000619094033722495
118272 57.75 0.00061737590773005 0.000617406346574526 0.000617385130070684
118784 58 0.000615762066616397 0.000615794651650375 0.000615773690860372
119296 58.25 0.000614185047362085 0.000614220156552205 0.000614198968815378
119808 58.5 0.000612446232984514 0.000612484062381686 0.000612462826941338
120320 58.75 0.000610518707995019 0.00061055894475332 0.000610538739611409
120832 59 0.000608574294592373 0.000608616323286272 0.000608598464224478
121344 59.25 0.000606718509846962 0.000606762081125384 0.000606746947261411
121856 59.5 0.000604853189747531 0.000604898573522602 0.000604885413701212
122368 59.75 0.000602862761448261 0.000602910062015228 0.000602898049903638
122880 60 0.000600798241027675 0.000600846943164513 0.000600836055605863
123392 60.25 0.000598741599527343 0.000598791121147105 0.000598781885190961
123904 60.5 0.000596562103203378 0.000596612471886137 0.000596605288130697
124416 60.75 0.000593975102736808 0.00059402667270916 0.0005940216067432
124928 61 0.000590859407559483 0.00059091219008447 0.000590909100952091
125440 61.25 0.000587401238715208 0.000587454940634623 0.000587453624236321
125952 61.5 0.000583895417807967 0.000583949867579873 0.000583950304013776
126464 61.75 0.000580498495763008 0.000580553595387703 0.000580556106157453
126976 62 0.00057721242551455 0.000577267879471712 0.000577272789046991
127488 62.25 0.000574011006704455 0.000574066504346917 0.000574073661417119
128000 62.5 0.000570885871744343 0.000570941486551421 0.0005709503853718
128512 62.75 0.000567784466285929 0.000567840610479741 0.000567850958742915
129024 63 0.000564571124101296 0.000564628036844168 0.000564639972412731
129536 63.25 0.000561081200491425 0.000561138554808209 0.000561152323870438
130048 63.5 0.00055721458853272 0.000557271724564981 0.00055728730257231
130560 63.75 0.000552982593591958 0.0005530391889426 0.000553056188223892
131072 64 0.000548473565192847 0.000548529908741612 0.000548547787941417
131584 64.25 0.000543775324494051 0.000543831774421569 0.000543850215803197
132096 64.5 0.000538930343019435 0.000538986683309004 0.000539005842920435
132608 64.75 0.000533962256991479 0.000534017817938502 0.000534038173946936
133120 65 0.000528928657368875 0.000528982984406721 0.000529004875381937
133632 65.25 0.000523920577849149 0.000523973775774244 0.000523997051831672
134144 65.5 0.00051899454920463 0.000519046952564935 0.000519071095796015
134656 65.75 0.000514115443222755 0.000514167077291229 0.000514191688612475
135168 66 0.000509185150220736 0.000509235646094449 0.000509260747435621
