# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.25 -1.29750525951712e-07 -1.29750525951714e-07 -1.29750525951717e-07
1024 0.5 -5.95023287676262e-07 -5.95023287676273e-07 -5.95023287676273e-07
1536 0.75 -8.71152977074438e-07 -8.7115297707444e-07 -8.71152977074443e-07
2048 1 -8.78415241164315e-07 -8.7841524116431e-07 -8.78415241164311e-07
2560 1.25 -9.30392846710906e-07 -9.30392846710921e-07 -9.3039284671093e-07
3072 1.5 -1.3924124806519e-06 -1.39241248065193e-06 -1.39241248065199e-06
3584 1.75 -1.47047646273409e-06 -1.47047646273405e-06 -1.47047646273406e-06
4096 2 -1.74971125759927e-06 -1.74971125760144e-06 -1.7497112576042e-06
4608 2.25 -2.03220515367762e-06 -2.03220515368635e-06 -2.03220515369222e-06
5120 2.5 -2.49893950185818e-06 -2.49893950185773e-06 -2.49893950185748e-06
5632 2.75 -2.75887816661163e-06 -2.75887816661192e-06 -2.75887816661948e-06
6144 3 -3.07024965723778e-06 -3.0702496572376e-06 -3.07024965723612e-06
6656 3.25 -3.58975096261204e-06 -3.58975096262314e-06 -3.58975096261932e-06
7168 3.5 -4.11381838150414e-06 -4.11381838135868e-06 -4.11381838156056e-06
7680 3.75 -4.60658534136693e-06 -4.60658534134594e-06 -4.6065853414889e-06
8192 4 -5.10573560507257e-06 -5.10573560470414e-06 -5.10573560531242e-06
8704 4.25 -5.58369360333927e-06 -5.58369360328293e-06 -5.58369360448251e-06
9216 4.5 -6.12320132181669e-06 -6.12320132678979e-06 -6.12320132392289e-06
9728 4.75 -6.70461984679878e-06 -6.70461985851514e-06 -6.70461985168544e-06
10240 5 -7.40047477308769e-06 -7.400474774917e-06 -7.40047477357701e-06
10752 5.25 -8.2312233441778e-06 -8.23122333490638e-06 -8.23122332955321e-06
11264 5.5 -9.03172573681142e-06 -9.03172572329731e-06 -9.03172570714597e-06
11776 5.75 -9.58312484025621e-06 -9.58312482428012e-06 -9.58312479482831e-06
12288 6 -9.84794900623379e-06 -9.84794900820709e-06 -9.84794899465251e-06
12800 6.25 -1.00629567491183e-05 -1.00629567677352e-05 -1.00629567457554e-05
13312 6.5 -1.03203540995416e-05 -1.03203541253365e-05 -1.03203540944798e-05
13824 6.75 -1.05376391719441e-05 -1.05376392012025e-05 -1.05376391804777e-05
14336 7 -1.05971505658344e-05 -1.05971505871162e-05 -1.05971506013445e-05
14848 7.25 -1.0667351496427e-05 -1.06673515050756e-05 -1.06673513908068e-05
15360 7.5 -1.07432038625059e-05 -1.07432039374882e-05 -1.07432038123509e-05
15872 7.75 -1.09592657374451e-05 -1.09592658596993e-05 -1.09592656090658e-05
16384 8 -1.13787192809874e-05 -1.13787194997386e-05 -1.13787192685388e-05
16896 8.25 -1.13218091656064e-05 -1.13218092970181e-05 -1.13218097154093e-05
17408 8.5 -1.14564904701017e-05 -1.14564905751203e-05 -1.14564912599043e-05
17920 8.75 -1.1618649287745e-05 -1.16186488932309e-05 -1.16186502591065e-05
18432 9 -1.16264540443873e-05 -1.16264536527919e-05 -1.16264544733567e-05
18944 9.25 -1.16246300684604e-05 -1.16246296733944e-05 -1.16246304362151e-05
19456 9.5 -1.16776593751803e-05 -1.16776578543057e-05 -1.16776600747733e-05
19968 9.75 -1.17922731418592e-05 -1.17922719595136e-05 -1.17922740955276e-05
20480 10 -1.14389944394674e-05 -1.14389928936085e-05 -1.1438995597067e-05
20992 10.25 -1.10035977634142e-05 -1.10036022122287e-05 -1.10036085272727e-05
21504 10.5 -1.04048191140209e-05 -1.04048179242904e-05 -1.04048195074222e-05
22016 10.75 -9.90990421221038e-06 -9.90990497375385e-06 -9.90990390089746e-06
22528 11 -9.14977148970467e-06 -9.14977223461464e-06 -9.14977384786389e-06
23040 11.25 -8.50141793153695e-06 -8.50141814577096e-06 -8.50141946274205e-06
23552 11.5 -8.00053146846848e-06 -8.00052799752217e-06 -8.0005344457722e-06
24064 11.75 -7.48398059986885e-06 -7.48397197415134e-06 -7.48397357058713e-06
24576 12 -6.90349259788856e-06 -6.9034817129508e-06 -6.9034794241079e-06
25088 12.25 -6.42025101182074e-06 -6.42024404706939e-06 -6.42024367040225e-06
25600 12.5 -5.97813125292867e-06 -5.97813108414692e-06 -5.9781322282697e-06
26112 12.75 -5.60487229922755e-06 -5.60487441266475e-06 -5.60487581161337e-06
26624 13 -5.28661802023069e-06 -5.28661780374758e-06 -5.28661983314353e-06
27136 13.25 -5.02288570390746e-06 -5.02288542538953e-06 -5.02288687177218e-06
27648 13.5 -4.64292274614432e-06 -4.64292209338183e-06 -4.64292282434568e-06
28160 13.75 -4.30182909868864e-06 -4.3018275534655e-06 -4.30183048054027e-06
28672 14 -4.21700373521077e-06 -4.21699565898947e-06 -4.21702019480293e-06
29184 14.25 -4.19367838970978e-06 -4.19367049057438e-06 -4.19369614206923e-06
29696 14.5 -4.11211583087525e-06 -4.11210829715662e-06 -4.11213493784081e-06
30208 14.75 -4.30559566615804e-06 -4.30558678277417e-06 -4.30560864943525e-06
30720 15 -4.37350777337672e-06 -4.37349863352084e-06 -4.37352184565981e-06
31232 15.25 -4.29978289466242e-06 -4.2997732299742e-06 -4.29979784111126e-06
31744 15.5 -4.12805378592524e-06 -4.12805726523023e-06 -4.12805120350202e-06
32256 15.75 -4.32720582936303e-06 -4.3272091324966e-06 -4.32720313686359e-06
32768 16 -4.42134638585977e-06 -4.42134855486155e-06 -4.42134349788215e-06
33280 16.25 -4.64108278461847e-06 -4.64108689878035e-06 -4.64108970199917e-06
33792 16.5 -4.86561740261722e-06 -4.86561562239101e-06 -4.86562211859152e-06
34304 16.75 -5.14585106415659e-06 -5.14585280242687e-06 -5.14585501754869e-06
34816 17 -5.38907302143852e-06 -5.38907448747768e-06 -5.38907815961784e-06
35328 17.25 -5.54319115829149e-06 -5.54319135775111e-06 -5.54319675704416e-06
35840 17.5 -5.69048507067413e-06 -5.6904900068735e-06 -5.69049349516518e-06
36352 17.75 -5.82032124989656e-06 -5.82032737524341e-06 -5.8203271357997e-06
36864 18 -6.02299806680763e-06 -6.0230030816185e-06 -6.02300410549349e-06
