# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.00370720323063203
512 0.25 0.00370520693887819
1024 0.5 0.00370325215592213
1536 0.75 0.00370137166921559
2048 1 0.0036996031479319
2560 1.25 0.00369795235451598
3072 1.5 0.00369650244326217
3584 1.75 0.00369540528620605
4096 2 0.00369460216792412
4608 2.25 0.00369407935158773
5120 2.5 0.00369383190091532
5632 2.75 0.00369384772969469
6144 3 0.00369410890881165
6656 3.25 0.00369459306432539
7168 3.5 0.00369527481536939
7680 3.75 0.00369612702946416
8192 4 0.00369712193025222
8704 4.25 0.00369823205807522
9216 4.5 0.00369943115876165
9728 4.75 0.00370069492125575
10240 5 0.00370200151387573
10752 5.25 0.0037033319464434
11264 5.5 0.00370467012351921
11776 5.75 0.00370600286676435
12288 6 0.00370731988481081
12800 6.25 0.00370861368207584
13312 6.5 0.00370987941984611
13824 6.75 0.00371111471898488
14336 7 0.0037123194060255
14848 7.25 0.00371349525126804
15360 7.5 0.00371464581024102
15872 7.75 0.00371577654438107
16384 8 0.00371689452387436
16896 8.25 0.00371800749535902
17408 8.5 0.00371909888376973
17920 8.75 0.00372014704135903
18432 9 0.00372116593894635
18944 9.25 0.00372216584427794
19456 9.5 0.00372315653621341
19968 9.75 0.00372415300408705
20480 10 0.00372517688468072
20992 10.25 0.00372625023776435
21504 10.5 0.00372738614260951
22016 10.75 0.00372858492147725
22528 11 0.00372983940708373
23040 11.25 0.00373114312126073
23552 11.5 0.00373249313050231
24064 11.75 0.00373388692430501
24576 12 0.00373531937098882
25088 12.25 0.00373678330853148
25600 12.5 0.00373827108071073
26112 12.75 0.00373977417752881
26624 13 0.00374128292956994
27136 13.25 0.00374278892599476
27648 13.5 0.00374428819913629
28160 13.75 0.00374578140545219
28672 14 0.00374727147162349
29184 14.25 0.00374876234469678
29696 14.5 0.00375025955564723
30208 14.75 0.00375176977933584
30720 15 0.00375329848891732
31232 15.25 0.00375484874225968
31744 15.5 0.00375642311290713
32256 15.75 0.00375802626915374
32768 16 0.0037596648099685
33280 16.25 0.00376134469990185
33792 16.5 0.00376306915180697
34304 16.75 0.00376483822096648
34816 17 0.00376664924886913
35328 17.25 0.00376849756588133
35840 17.5 0.0037703776798149
36352 17.75 0.00377228452966912
36864 18 0.00377421376389335
37376 18.25 0.00377616099650717
37888 18.5 0.00377812110516828
38400 18.75 0.00378008819589823
38912 19 0.00378205604688655
39424 19.25 0.00378401902334423
39936 19.5 0.00378597367970437
40448 19.75 0.0037879202266716
40960 20 0.00378986227640759
41472 20.25 0.00379180476637942
41984 20.5 0.00379375217605459
42496 20.75 0.0037957088939417
43008 21 0.00379768094375566
43520 21.25 0.00379967663808863
