# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.66986122441249
512 0.25 0.669866073405861
1024 0.5 0.669880800753285
1536 0.75 0.669905487958356
2048 1 0.669939398102301
2560 1.25 0.669981244104405
3072 1.5 0.670029675289307
3584 1.75 0.670083607577042
4096 2 0.670142218481322
4608 2.25 0.670204747493017
5120 2.5 0.670270245145691
5632 2.75 0.67033747433485
6144 3 0.670405045269916
6656 3.25 0.670471666265258
7168 3.5 0.670536311532916
7680 3.75 0.670598188317707
8192 4 0.670656556652339
8704 4.25 0.670710574651946
9216 4.5 0.670759314432787
9728 4.75 0.670801945161014
10240 5 0.670837936666272
10752 5.25 0.67086711881475
11264 5.5 0.670889551493157
11776 5.75 0.670905315777047
12288 6 0.670914398744221
12800 6.25 0.670916762182614
13312 6.5 0.670912528597149
13824 6.75 0.670902116528851
14336 7 0.670886194832405
14848 7.25 0.670865473743954
15360 7.5 0.670840495777772
15872 7.75 0.670811622168819
16384 8 0.670779296114222
16896 8.25 0.670744448158565
17408 8.5 0.670708694401932
17920 8.75 0.670673934863716
18432 9 0.670641252851057
18944 9.25 0.670609726842171
19456 9.5 0.67057636563534
19968 9.75 0.670537904428821
20480 10 0.670493520298937
20992 10.25 0.670446037584554
21504 10.5 0.670399978754983
22016 10.75 0.6703578744797
22528 11 0.670318398754046
23040 11.25 0.67027816596804
23552 11.5 0.670235030817768
24064 11.75 0.670189373609235
24576 12 0.670142777872671
25088 12.25 0.670096512297294
25600 12.5 0.670051340603282
26112 12.75 0.670007575375433
26624 13 0.669964450505932
27136 13.25 0.669920055954267
27648 13.5 0.669872816937658
28160 13.75 0.669822859926762
28672 14 0.669771377143881
29184 14.25 0.669719133287908
29696 14.5 0.669666429568144
30208 14.75 0.669614033447568
30720 15 0.669562782599456
31232 15.25 0.669512108650484
31744 15.5 0.669460106039943
32256 15.75 0.66940556149363
32768 16 0.669349196074342
33280 16.25 0.669292595008704
33792 16.5 0.669236667546698
34304 16.75 0.669181475405626
34816 17 0.669126689597743
35328 17.25 0.669071570294662
35840 17.5 0.669015111460402
36352 17.75 0.66895693695153
36864 18 0.668897822883605
37376 18.25 0.668838929518843
37888 18.5 0.668780773793462
38400 18.75 0.668723137925642
38912 19 0.668665425852264
39424 19.25 0.66860671344241
39936 19.5 0.668546063705589
40448 19.75 0.668483560566853
40960 20 0.668420860110064
41472 20.25 0.668360103299837
41984 20.5 0.668302258459615
42496 20.75 0.668246946711891
43008 21 0.668193977668816
43520 21.25 0.66814481410316
44032 21.5 0.668102437925246
44544 21.75 0.668069772688782
45056 22 0.668047981428914
45568 22.25 0.66803591997944
46080 22.5 0.668031019647863
46592 22.75 0.668030607665613
47104 23 0.668032401621584
47616 23.25 0.668034080118703
48128 23.5 0.668032965627421
48640 23.75 0.668026489412766
49152 24 0.668013022189299
49664 24.25 0.667992445963243
50176 24.5 0.667966325755414
50688 24.75 0.667937571170269
51200 25 0.667909318998385
51712 25.25 0.667883387714995
52224 25.5 0.667859468299412
52736 25.75 0.667835786229213
53248 26 0.667810545487049
53760 26.25 0.667782806713035
54272 26.5 0.667752273770794
54784 26.75 0.667718660831696
55296 27 0.667681625985069
55808 27.25 0.667641505520186
56320 27.5 0.667599985452278
56832 27.75 0.667559541393932
57344 28 0.667521650944866
57856 28.25 0.667485427581695
58368 28.5 0.667448282519386
58880 28.75 0.667408058327211
59392 29 0.667364339340229
59904 29.25 0.667317691469412
60416 29.5 0.667268127590291
60928 29.75 0.667214823249783
61440 30 0.667157278680242
61952 30.25 0.667096349116815
62464 30.5 0.667033940161457
62976 30.75 0.666971737794162
63488 31 0.66691011778311
64000 31.25 0.666847996392462
64512 31.5 0.666783696025552
65024 31.75 0.666716292736366
65536 32 0.666646435662488
66048 32.25 0.666575840025635
66560 32.5 0.666505845388292
67072 32.75 0.666436482910475
67584 33 0.666366987034707
68096 33.25 0.666297031159225
68608 33.5 0.666227156260687
69120 33.75 0.666157890560327
69632 34 0.666088665365957
70144 34.25 0.666017956577351
70656 34.5 0.665944786325668
71168 34.75 0.66587014705602
71680 35 0.665796690328274
72192 35.25 0.665726609235306
72704 35.5 0.665659653689623
73216 35.75 0.665593393517816
73728 36 0.665525568296007
74240 36.25 0.665456023949271
74752 36.5 0.66538625275339
75264 36.75 0.665317435725081
75776 37 0.665249524775168
76288 37.25 0.665182221655399
76800 37.5 0.66511611041557
77312 37.75 0.665052192902442
77824 38 0.664990440483787
78336 38.25 0.664929337661105
78848 38.5 0.664867069309595
79360 38.75 0.664803017255355
79872 39 0.664738109339061
80384 39.25 0.664674012705394
80896 39.5 0.664612101383044
81408 39.75 0.664552795409385
81920 40 0.664495347797311
82432 40.25 0.664438195768949
82944 40.5 0.664379933711975
83456 40.75 0.664320292005506
83968 41 0.66426015286993
84480 41.25 0.664200562529583
84992 41.5 0.664141919353843
85504 41.75 0.664084191090796
86016 42 0.664027449536953
86528 42.25 0.66397161483033
87040 42.5 0.663915842337879
87552 42.75 0.663858990116262
88064 43 0.663801116239887
88576 43.25 0.663744017703744
89088 43.5 0.663689642978686
89600 43.75 0.66363800154765
90112 44 0.663587032358128
90624 44.25 0.663534541172715
91136 44.5 0.663479963379772
91648 44.75 0.66342421665133
92160 45 0.663368177560456
92672 45.25 0.663311569067872
93184 45.5 0.663253390168898
93696 45.75 0.663193448101894
94208 46 0.663133341847698
94720 46.25 0.66307551200909
95232 46.5 0.663020979162105
95744 46.75 0.66296823643122
96256 47 0.662914802207489
96768 47.25 0.662859756221028
97280 47.5 0.662804227043685
97792 47.75 0.662749364494405
98304 48 0.662694585514084
98816 48.25 0.662638334321894
99328 48.5 0.662580159380702
99840 48.75 0.662521384536993
100352 49 0.662463793975771
100864 49.25 0.662408183972557
101376 49.5 0.662354181978359
101888 49.75 0.662300766241098
102400 50 0.662246545887713
102912 50.25 0.662190086921981
103424 50.5 0.662130868452269
103936 50.75 0.662070166717342
104448 51 0.662010507803421
104960 51.25 0.661953734616131
105472 51.5 0.661899498449538
105984 51.75 0.661845722518864
106496 52 0.661790525622382
107008 52.25 0.661733652164069
107520 52.5 0.661676152156078
108032 52.75 0.661618953256057
108544 53 0.661561983780718
109056 53.25 0.661504668798147
109568 53.5 0.66144699092121
110080 53.75 0.661389768361105
110592 54 0.661333881004631
111104 54.25 0.661279410757262
111616 54.5 0.66122556359033
112128 54.75 0.661171241547818
112640 55 0.661115683006453
113152 55.25 0.661058903199784
113664 55.5 0.661001800088982
114176 55.75 0.660945633565798
114688 56 0.660891006113056
115200 56.25 0.66083731567059
115712 56.5 0.660783477709367
116224 56.75 0.660729236129284
116736 57 0.660675477574026
117248 57.25 0.660623087387546
117760 57.5 0.660571730643263
118272 57.75 0.660520089319576
118784 58 0.66046731351275
119296 58.25 0.660413982113939
119808 58.5 0.660361472791938
120320 58.75 0.660310505608884
120832 59 0.660260526982879
121344 59.25 0.660210549866336
121856 59.5 0.660160361384776
122368 59.75 0.660110676767309
122880 60 0.660062209299569
123392 60.25 0.660014959194111
123904 60.5 0.659968599730373
124416 60.75 0.659923281223653
124928 61 0.659879641799309
125440 61.25 0.659838017892894
125952 61.5 0.659798003262527
126464 61.75 0.659758916727199
126976 62 0.659720348580852
127488 62.25 0.659681944712833
128000 62.5 0.659642967420861
128512 62.75 0.659602678212913
129024 63 0.659561281471039
129536 63.25 0.659520067010293
130048 63.5 0.659480375393846
130560 63.75 0.659442692306438
131072 64 0.659406952323979
131584 64.25 0.659373395529466
132096 64.5 0.659342728119612
132608 64.75 0.659315541845208
133120 65 0.659291827439732
133632 65.25 0.659270855254193
134144 65.5 0.659251173088049
134656 65.75 0.65923095142093
135168 66 0.659209003204737
135680 66.25 0.659185692341683
136192 66.5 0.659162462164638
136704 66.75 0.659140280033357
137216 67 0.659118884766491
137728 67.25 0.659097755743859
138240 67.5 0.659077397737625
138752 67.75 0.659059208831018
139264 68 0.659044215421288
139776 68.25 0.659032297024995
140288 68.5 0.659022547349802
140800 68.75 0.659013964207599
141312 69 0.65900572782779
141824 69.25 0.658997234636667
142336 69.5 0.658988205898424
142848 69.75 0.658978725313087
143360 70 0.658969089392873
143872 70.25 0.658959789522069
144384 70.5 0.658951787970334
144896 70.75 0.658946550527383
145408 71 0.658945259647472
145920 71.25 0.658947660375346
146432 71.5 0.658951810621761
146944 71.75 0.658955317749981
147456 72 0.658957042343149
147968 72.25 0.658957666150618
148480 72.5 0.658958739849894
148992 72.75 0.658961380433662
149504 73 0.658965843713301
150016 73.25 0.658971944880555
150528 73.5 0.658979507774008
151040 73.75 0.658988468153297
151552 74 0.658998874514846
152064 74.25 0.659010875345406
152576 74.5 0.659024461590538
153088 74.75 0.659039084257627
153600 75 0.659053740928075
154112 75.25 0.659067722284168
154624 75.5 0.659081315833403
155136 75.75 0.659095680099197
155648 76 0.659112014471752
156160 76.25 0.659130849710243
156672 76.5 0.659151972712533
157184 76.75 0.659174769538167
157696 77 0.659198534747518
158208 77.25 0.659222602872475
158720 77.5 0.659246459422936
159232 77.75 0.659269963050469
159744 78 0.659293564898836
160256 78.25 0.659318232547705
160768 78.5 0.659344925751959
161280 78.75 0.659373906098925
161792 79 0.659404469320653
162304 79.25 0.659435437481264
162816 79.5 0.659466082363377
163328 79.75 0.659496713697966
163840 80 0.659528399134437
164352 80.25 0.659562001340988
164864 80.5 0.659597333442575
165376 80.75 0.65963321823252
165888 81 0.659668497607828
166400 81.25 0.659703130533734
166912 81.5 0.659738330878993
167424 81.75 0.659775555892123
167936 82 0.659815273001134
168448 82.25 0.65985663957587
168960 82.5 0.659898307996702
169472 82.75 0.659939504799891
169984 83 0.659980399030933
170496 83.25 0.660021603310346
171008 83.5 0.660063505518825
171520 83.75 0.660106140050743
172032 84 0.660149555815129
172544 84.25 0.660194039521161
173056 84.5 0.660239821905808
173568 84.75 0.660286660354931
174080 85 0.660333915331149
174592 85.25 0.660381090173203
175104 85.5 0.660428174052983
175616 85.75 0.660475408918605
176128 86 0.660522891919073
176640 86.25 0.660570595743541
177152 86.5 0.660618728758696
177664 86.75 0.660667842709446
178176 87 0.660718430726529
178688 87.25 0.660770421333236
179200 87.5 0.660823097753937
179712 87.75 0.660875527089438
180224 88 0.660927168495057
180736 88.25 0.660978245728426
181248 88.5 0.661029607745435
181760 88.75 0.661082109756573
182272 89 0.661135968362794
182784 89.25 0.661190674171283
