# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
107008 52.25 0.188268695725757
107520 52.5 0.188268697693608
108032 52.75 0.188268699669451
108544 53 0.188268701660991
109056 53.25 0.188268703656857
109568 53.5 0.188268705650029
110080 53.75 0.1882687076649
110592 54 0.188268709684016
111104 54.25 0.188268711703666
111616 54.5 0.188268713726141
112128 54.75 0.18826871574959
112640 55 0.188268717786836
113152 55.25 0.188268719838028
113664 55.5 0.188268721891841
114176 55.75 0.188268723949923
114688 56 0.188268726017745
115200 56.25 0.18826872809238
115712 56.5 0.188268730163756
116224 56.75 0.188268732242158
116736 57 0.188268734321059
117248 57.25 0.188268736394306
117760 57.5 0.188268738460695
118272 57.75 0.188268740529015
118784 58 0.188268742596594
119296 58.25 0.188268744672508
119808 58.5 0.188268746754556
120320 58.75 0.188268748834805
120832 59 0.188268750913189
121344 59.25 0.18826875299209
121856 59.5 0.188268755067205
122368 59.75 0.188268757144855
122880 60 0.188268759211523
123392 60.25 0.188268761270107
123904 60.5 0.188268763337347
124416 60.75 0.188268765414008
124928 61 0.188268767486593
125440 61.25 0.188268769541479
125952 61.5 0.188268771588634
126464 61.75 0.188268773639972
126976 62 0.188268775701407
127488 62.25 0.188268777772752
128000 62.5 0.188268779864234
128512 62.75 0.188268781972967
129024 63 0.188268784085904
129536 63.25 0.188268786199235
130048 63.5 0.188268788307445
130560 63.75 0.188268790409458
131072 64 0.188268792508584
131584 64.25 0.18826879461143
132096 64.5 0.188268796708121
132608 64.75 0.188268798803236
133120 65 0.188268800940888
133632 65.25 0.188268803092284
134144 65.5 0.18826880524351
134656 65.75 0.188268807399173
135168 66 0.188268809557408
135680 66.25 0.188268811710993
136192 66.5 0.188268813873133
136704 66.75 0.188268816024238
137216 67 0.188268818162992
137728 67.25 0.188268820309816
138240 67.5 0.1882688224479
138752 67.75 0.188268824602006
139264 68 0.18826882677119
139776 68.25 0.188268828941868
140288 68.5 0.18826883111702
140800 68.75 0.188268833278681
141312 69 0.188268835437182
141824 69.25 0.188268837598556
142336 69.5 0.188268839755972
142848 69.75 0.188268841909405
143360 70 0.188268844073457
143872 70.25 0.188268846245895
144384 70.5 0.18826884842119
144896 70.75 0.188268850596768
145408 71 0.188268852760949
145920 71.25 0.188268854926755
146432 71.5 0.188268857088826
146944 71.75 0.188268859246219
147456 72 0.188268861389755
147968 72.25 0.188268863534369
148480 72.5 0.188268865675915
148992 72.75 0.188268867818258
149504 73 0.188268869980645
150016 73.25 0.18826887215392
150528 73.5 0.1882688743228
151040 73.75 0.188268876485368
151552 74 0.188268878626417
152064 74.25 0.188268880760629
152576 74.5 0.18826888289146
153088 74.75 0.188268885024739
153600 75 0.188268887169683
154112 75.25 0.188268889303536
154624 75.5 0.188268891451945
155136 75.75 0.188268893617854
155648 76 0.188268895786437
156160 76.25 0.188268897962636
156672 76.5 0.188268900138894
157184 76.75 0.188268902324805
157696 77 0.188268904509742
158208 77.25 0.188268906681757
158720 77.5 0.18826890883859
159232 77.75 0.188268911001647
159744 78 0.188268913182943
160256 78.25 0.188268915370904
160768 78.5 0.188268917554214
161280 78.75 0.188268919740524
161792 79 0.188268921917896
162304 79.25 0.188268924094299
162816 79.5 0.188268926265381
163328 79.75 0.188268928415071
163840 80 0.188268930561568
164352 80.25 0.188268932722092
164864 80.5 0.188268934885451
165376 80.75 0.18826893705038
165888 81 0.188268939235058
166400 81.25 0.18826894143255
166912 81.5 0.188268943629608
167424 81.75 0.188268945813253
167936 82 0.188268947989483
168448 82.25 0.188268950173273
168960 82.5 0.188268952356902
169472 82.75 0.188268954535257
169984 83 0.188268956720321
170496 83.25 0.18826895892739
171008 83.5 0.188268961149439
171520 83.75 0.188268963383583
172032 84 0.188268965602694
172544 84.25 0.188268967828972
173056 84.5 0.18826897005977
173568 84.75 0.188268972299392
174080 85 0.188268974532928
174592 85.25 0.188268976764795
175104 85.5 0.188268978998489
175616 85.75 0.188268981213482
176128 86 0.188268983433917
176640 86.25 0.188268985674206
177152 86.5 0.188268987925948
177664 86.75 0.188268990179887
178176 87 0.188268992435196
178688 87.25 0.188268994688034
179200 87.5 0.18826899692452
179712 87.75 0.188268999129278
180224 88 0.188269001314662
180736 88.25 0.188269003500082
181248 88.5 0.188269005694092
181760 88.75 0.188269007905359
182272 89 0.188269010120115
182784 89.25 0.188269012341626
183296 89.5 0.188269014573629
183808 89.75 0.188269016797239
184320 90 0.188269019019992
184832 90.25 0.188269021253542
185344 90.5 0.188269023489287
185856 90.75 0.188269025734356
186368 91 0.188269027987093
186880 91.25 0.188269030239351
187392 91.5 0.188269032478203
187904 91.75 0.188269034724919
188416 92 0.18826903695861
188928 92.25 0.18826903916556
189440 92.5 0.188269041378637
189952 92.75 0.188269043582555
190464 93 0.188269045785225
190976 93.25 0.188269047992052
191488 93.5 0.188269050184305
192000 93.75 0.188269052392595
192512 94 0.188269054594859
193024 94.25 0.188269056803447
193536 94.5 0.188269059021515
194048 94.75 0.188269061248155
194560 95 0.188269063470686
195072 95.25 0.188269065674811
195584 95.5 0.18826906787562
196096 95.75 0.188269070068399
196608 96 0.188269072257425
197120 96.25 0.188269074439426
197632 96.5 0.18826907662393
198144 96.75 0.18826907880962
198656 97 0.188269081004139
199168 97.25 0.188269083196296
199680 97.5 0.188269085375995
200192 97.75 0.188269087550993
200704 98 0.18826908971791
201216 98.25 0.188269091885779
201728 98.5 0.188269094058551
202240 98.75 0.18826909623592
202752 99 0.188269098403388
203264 99.25 0.18826910055487
203776 99.5 0.188269102698944
204288 99.75 0.188269104837611
204800 100 0.188269106991626
205312 100.25 0.188269109157707
205824 100.5 0.18826911132752
206336 100.75 0.188269113486945
206848 101 0.188269115635374
207360 101.25 0.188269117785074
207872 101.5 0.188269119950162
208384 101.75 0.188269122114945
208896 102 0.188269124273869
209408 102.25 0.18826912644311
209920 102.5 0.188269128602234
210432 102.75 0.188269130764404
210944 103 0.188269132917429
211456 103.25 0.188269135070157
211968 103.5 0.188269137212969
212480 103.75 0.188269139354728
212992 104 0.188269141493719
213504 104.25 0.188269143649921
214016 104.5 0.188269145810337
214528 104.75 0.188269147965324
215040 105 0.188269150132935
215552 105.25 0.188269152293614
216064 105.5 0.188269154465458
216576 105.75 0.188269156629377
217088 106 0.188269158807139
217600 106.25 0.188269160990014
218112 106.5 0.188269163166849
218624 106.75 0.188269165339087
219136 107 0.18826916750449
219648 107.25 0.1882691696542
220160 107.5 0.188269171827472
220672 107.75 0.1882691740098
221184 108 0.18826917618412
221696 108.25 0.188269178345623
222208 108.5 0.188269180512316
222720 108.75 0.188269182683755
223232 109 0.188269184854227
223744 109.25 0.188269187013379
224256 109.5 0.188269189178255
224768 109.75 0.188269191327281
225280 110 0.188269193470778
225792 110.25 0.18826919563162
226304 110.5 0.18826919779659
226816 110.75 0.188269199971351
227328 111 0.188269202146763
227840 111.25 0.188269204319392
228352 111.5 0.1882692065025
228864 111.75 0.188269208687693
229376 112 0.188269210866499
229888 112.25 0.188269213067339
