# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 6.19405157526774e-08 6.19405160543617e-08 6.19405163352637e-08
1024 0.5 1.71867982634154e-07 1.71867983093828e-07 1.71867983696831e-07
1536 0.75 3.14095068919756e-07 3.14095068013941e-07 3.1409506771804e-07
2048 1 4.7234060771171e-07 4.72340608837085e-07 4.72340607956272e-07
2560 1.25 6.53581506115681e-07 6.53581505951283e-07 6.5358150707994e-07
3072 1.5 7.9104669989979e-07 7.91046702131268e-07 7.91046702903422e-07
3584 1.75 8.48665493309164e-07 8.48665496553267e-07 8.4866549358405e-07
4096 2 8.46607341992948e-07 8.46607343046184e-07 8.46607342883895e-07
4608 2.25 8.74196598683554e-07 8.74196594802971e-07 8.74196596741573e-07
5120 2.5 8.56235529497729e-07 8.56235536603934e-07 8.56235532294884e-07
5632 2.75 8.05719750613013e-07 8.05719762794336e-07 8.05719752022433e-07
6144 3 8.1398009868218e-07 8.13980121704968e-07 8.13980137212228e-07
6656 3.25 8.98759805290328e-07 8.98759806403275e-07 8.98759809218922e-07
7168 3.5 9.46301965102781e-07 9.46301954466734e-07 9.46301958051814e-07
7680 3.75 9.26060589113512e-07 9.2606057624599e-07 9.26060571809079e-07
8192 4 8.50925031129369e-07 8.50925006151895e-07 8.50925014267795e-07
8704 4.25 8.49084105143779e-07 8.49084116767176e-07 8.49084123588072e-07
9216 4.5 9.18756898762347e-07 9.18756907735605e-07 9.18756927759495e-07
9728 4.75 9.36957496539451e-07 9.36957485389152e-07 9.36957509562241e-07
10240 5 9.24708791059263e-07 9.24708768119906e-07 9.2470880343631e-07
10752 5.25 9.35584508898384e-07 9.35584482864474e-07 9.35584487421973e-07
11264 5.5 9.46433969052483e-07 9.4643397753992e-07 9.46433956905027e-07
11776 5.75 9.31321568245632e-07 9.3132159187938e-07 9.31321602719833e-07
12288 6 9.15660763506209e-07 9.15660754647738e-07 9.15660794255531e-07
12800 6.25 9.20280474042269e-07 9.2028046391424e-07 9.20280514473837e-07
13312 6.5 9.69738161430659e-07 9.69738145891758e-07 9.6973817861132e-07
13824 6.75 9.81982197637097e-07 9.81982210539366e-07 9.81982211003815e-07
14336 7 9.54595687952534e-07 9.54595680328508e-07 9.54595673029965e-07
14848 7.25 9.26690022424334e-07 9.26689994727001e-07 9.26690029354045e-07
15360 7.5 9.28108599678064e-07 9.28108585427172e-07 9.28108599931233e-07
15872 7.75 9.75017958602159e-07 9.7501789847521e-07 9.75017980830194e-07
16384 8 9.93712543764122e-07 9.93712525640606e-07 9.93712563749065e-07
16896 8.25 1.01471166244958e-06 1.01471163179117e-06 1.01471168564144e-06
