# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -7.21209509786699e-05
512 0.25 -7.6503422037966e-05
1024 0.5 -8.38783955246846e-05
1536 0.75 -8.60473481461404e-05
2048 1 -8.2049660729088e-05
2560 1.25 -7.83934873192503e-05
3072 1.5 -7.88806683119737e-05
3584 1.75 -8.39640031351305e-05
4096 2 -9.09028493921553e-05
4608 2.25 -9.01304715690808e-05
5120 2.5 -8.14852763394071e-05
5632 2.75 -8.47469471674318e-05
6144 3 -9.42570642644468e-05
6656 3.25 -0.00010103863731946
7168 3.5 -9.58675279160316e-05
7680 3.75 -0.000104754021297614
8192 4 -0.00011497656857984
8704 4.25 -0.000126087076740939
9216 4.5 -0.000136526670271698
9728 4.75 -0.00014499921631785
10240 5 -0.000151587066271613
10752 5.25 -0.000157720724275011
11264 5.5 -0.000165040587751204
11776 5.75 -0.000174091909026514
12288 6 -0.000183930375572771
12800 6.25 -0.000192946097161106
13312 6.5 -0.000200213132696895
13824 6.75 -0.000206265506358654
14336 7 -0.000212705905320623
14848 7.25 -0.000220994271571681
15360 7.5 -0.000231340497001925
15872 7.75 -0.000242473388171208
16384 8 -0.00025245394758355
16896 8.25 -0.000260062827552666
17408 8.5 -0.000265827873263327
17920 8.75 -0.000271900182334562
18432 9 -0.000280582373641213
18944 9.25 -0.000292182008150097
19456 9.5 -0.000305130873009122
19968 9.75 -0.000317166955853802
20480 10 -0.000326832934503323
20992 10.25 -0.000334294073472249
21504 10.5 -0.000341217761012285
22016 10.75 -0.000349656969441631
22528 11 -0.000360356048910853
23040 11.25 -0.000372078058562723
23552 11.5 -0.000382957335773449
24064 11.75 -0.000392053448909733
24576 12 -0.000399040533304852
25088 12.25 -0.000403732599293327
25600 12.5 -0.000407691537041514
26112 12.75 -0.000414857630131908
26624 13 -0.000427425608874673
27136 13.25 -0.000441715371708754
27648 13.5 -0.000451801880791705
28160 13.75 -0.000457119395992741
28672 14 -0.000462477206005624
29184 14.25 -0.000470642777946606
29696 14.5 -0.00047986762763523
30208 14.75 -0.000489275316059464
30720 15 -0.000500869695504239
31232 15.25 -0.000514329651916839
31744 15.5 -0.000525346230410639
32256 15.75 -0.000531764107482154
32768 16 -0.000536714056177824
33280 16.25 -0.000543493225990116
33792 16.5 -0.000552033962052152
34304 16.75 -0.00056212512917403
34816 17 -0.000574606638605658
35328 17.25 -0.000587124646887845
35840 17.5 -0.000594411234821471
36352 17.75 -0.000595829594130193
36864 18 -0.000597773222303608
37376 18.25 -0.00060574603439258
37888 18.5 -0.000618352406337712
38400 18.75 -0.000631118875136562
38912 19 -0.000641531535134487
39424 19.25 -0.000648418218050306
39936 19.5 -0.000651540137791121
40448 19.75 -0.000654318643643439
40960 20 -0.000662318699877378
41472 20.25 -0.00067637902903991
41984 20.5 -0.000690986553330984
42496 20.75 -0.000701260715590025
43008 21 -0.000707806504705496
43520 21.25 -0.000713514449810144
44032 21.5 -0.00072000974078956
44544 21.75 -0.000728809026801591
45056 22 -0.00074134903998445
45568 22.25 -0.000755433375342767
46080 22.5 -0.000765458856567462
46592 22.75 -0.000768949197877027
47104 23 -0.000770341867858583
47616 23.25 -0.000776119486609579
48128 23.5 -0.000787954372292152
48640 23.75 -0.000801935604069635
49152 24 -0.000812854766243426
49664 24.25 -0.000818485569434941
50176 24.5 -0.00082136182820483
50688 24.75 -0.00082679092379388
51200 25 -0.000837457751239773
51712 25.25 -0.000849991973159175
52224 25.5 -0.000858769719171596
52736 25.75 -0.000862832462526063
53248 26 -0.000866610753085186
53760 26.25 -0.000873838149707213
54272 26.5 -0.000883592021337841
54784 26.75 -0.000893014550493571
55296 27 -0.000901172538468698
55808 27.25 -0.000908758313783745
56320 27.5 -0.000916095209200825
56832 27.75 -0.000923324719390252
57344 28 -0.000931299780506876
57856 28.25 -0.000940443250674272
58368 28.5 -0.000949295275091629
58880 28.75 -0.000955832180027067
59392 29 -0.000960259400829859
59904 29.25 -0.000965266652326555
60416 29.5 -0.000973054025418062
60928 29.75 -0.000982769979395148
61440 30 -0.000991458740359022
61952 30.25 -0.00099735509721614
62464 30.5 -0.00100175189942536
62976 30.75 -0.00100740715744358
63488 31 -0.00101534719179066
64000 31.25 -0.0010237152641779
64512 31.5 -0.00103003393493283
65024 31.75 -0.00103427485455664
65536 32 -0.00103898657126543
66048 32.25 -0.00104612672877651
66560 32.5 -0.00105447533516559
67072 32.75 -0.00106111790441882
67584 33 -0.00106529677379712
68096 33.25 -0.00106950832749731
68608 33.5 -0.00107620808005238
69120 33.75 -0.00108454835441442
69632 34 -0.00109156660737981
70144 34.25 -0.00109599330531944
70656 34.5 -0.00109946931758033
71168 34.75 -0.00110409799863883
71680 35 -0.00111019883817224
72192 35.25 -0.00111683037566024
72704 35.5 -0.00112329727081976
73216 35.75 -0.00112936825224713
73728 36 -0.00113494698584306
74240 36.25 -0.00114006553047952
74752 36.5 -0.00114547667413597
75264 36.75 -0.00115222209137399
75776 37 -0.00116040413338159
76288 37.25 -0.00116879940324612
76800 37.5 -0.00117601277504557
77312 37.75 -0.00118207487797297
77824 38 -0.00118863616274735
78336 38.25 -0.00119720389996184
78848 38.5 -0.00120727664404972
79360 38.75 -0.00121679775597241
79872 39 -0.00122455524429907
80384 39.25 -0.0012314282684009
80896 39.5 -0.00123900617169886
81408 39.75 -0.00124786587246729
81920 40 -0.00125771596003756
82432 40.25 -0.00126814689686447
82944 40.5 -0.00127825621256032
83456 40.75 -0.00128654619728343
83968 41 -0.00129261578847379
84480 41.25 -0.00129836033073502
84992 41.5 -0.00130614381494408
85504 41.75 -0.00131624567592486
86016 42 -0.00132719128565174
86528 42.25 -0.00133748896197757
87040 42.5 -0.00134600439851651
87552 42.75 -0.00135169321545985
88064 43 -0.00135511640567179
88576 43.25 -0.00135953747234516
89088 43.5 -0.00136770045724919
89600 43.75 -0.00137791604342667
90112 44 -0.00138596882973435
90624 44.25 -0.00139065638293493
91136 44.5 -0.00139469489486396
91648 44.75 -0.00140016584537783
92160 45 -0.00140609834550121
92672 45.25 -0.00141127358665366
93184 45.5 -0.00141659508298578
93696 45.75 -0.00142312506110234
94208 46 -0.00142970435849229
94720 46.25 -0.0014343613691783
95232 46.5 -0.00143721564265702
95744 46.75 -0.00144041841578879
96256 47 -0.00144523830529436
96768 47.25 -0.00145042647631914
97280 47.5 -0.00145443722691644
97792 47.75 -0.001457675400993
98304 48 -0.00146253309474559
98816 48.25 -0.00147008493789478
99328 48.5 -0.00147774200923585
99840 48.75 -0.00148186151638793
100352 49 -0.00148250832909828
100864 49.25 -0.00148411123419789
101376 49.5 -0.00149018708885359
101888 49.75 -0.00149901423685657
102400 50 -0.00150557963157783
102912 50.25 -0.00150738295915557
103424 50.5 -0.00150699578949458
103936 50.75 -0.00150885450781
104448 51 -0.001514340243698
104960 51.25 -0.00152102271787236
105472 51.5 -0.0015262843475501
105984 51.75 -0.00152991065364973
106496 52 -0.00153277212056937
107008 52.25 -0.00153497453223235
107520 52.5 -0.00153685786915282
108032 52.75 -0.00154031359803806
108544 53 -0.00154677769601057
109056 53.25 -0.00155441255641504
109568 53.5 -0.00155955449284611
110080 53.75 -0.00156122617491181
110592 54 -0.00156247465106681
111104 54.25 -0.00156669906843216
111616 54.5 -0.00157385019177488
112128 54.75 -0.00158081854408582
112640 55 -0.00158491924841677
113152 55.25 -0.00158663254347345
113664 55.5 -0.00158901707727838
114176 55.75 -0.00159423766907471
114688 56 -0.00160087953072665
115200 56.25 -0.00160571033406524
115712 56.5 -0.00160809406616028
116224 56.75 -0.00161086473508717
116736 57 -0.00161606650933818
117248 57.25 -0.00162191022965091
117760 57.5 -0.00162571779377322
118272 57.75 -0.00162817760053458
118784 58 -0.00163210569416489
119296 58.25 -0.00163780941081577
