# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 9.15882054175913e-07
512 0.25 5.85356114466681e-06
1024 0.5 9.3327487812206e-06
1536 0.75 1.20029559635053e-05
2048 1 1.4108567545072e-05
2560 1.25 1.56378202883536e-05
3072 1.5 1.65399702656419e-05
3584 1.75 1.6897680140376e-05
4096 2 1.67991935787586e-05
4608 2.25 1.65813772563865e-05
5120 2.5 1.64531703042281e-05
5632 2.75 1.65652421954779e-05
6144 3 1.70210617694483e-05
6656 3.25 1.75274418015604e-05
7168 3.5 1.79173997694529e-05
7680 3.75 1.81153093631463e-05
8192 4 1.81097752136228e-05
8704 4.25 1.79777961720688e-05
9216 4.5 1.78054446548456e-05
9728 4.75 1.76840048406501e-05
10240 5 1.77036456213566e-05
10752 5.25 1.79865959614039e-05
11264 5.5 1.83025614959427e-05
11776 5.75 1.85015964154534e-05
12288 6 1.85431253927311e-05
12800 6.25 1.84973785605113e-05
13312 6.5 1.84163632742743e-05
13824 6.75 1.83280950681188e-05
14336 7 1.82845799233388e-05
14848 7.25 1.83305852423279e-05
15360 7.5 1.85448560151428e-05
15872 7.75 1.87415265824774e-05
16384 8 1.88160119514382e-05
16896 8.25 1.87907705284777e-05
17408 8.5 1.87473001168815e-05
17920 8.75 1.87201978088484e-05
18432 9 1.86889643073558e-05
18944 9.25 1.86911932896181e-05
19456 9.5 1.87688334573598e-05
19968 9.75 1.89083861003094e-05
20480 10 1.90086127098801e-05
20992 10.25 1.90239830187185e-05
21504 10.5 1.90060135050655e-05
22016 10.75 1.89831219468753e-05
22528 11 1.896537930924e-05
23040 11.25 1.89402347936872e-05
23552 11.5 1.8960412236967e-05
24064 11.75 1.90586168680631e-05
24576 12 1.91814332560108e-05
25088 12.25 1.92261895028792e-05
25600 12.5 1.91915624761642e-05
26112 12.75 1.91396157463097e-05
26624 13 1.91415224590866e-05
27136 13.25 1.91731899157034e-05
27648 13.5 1.91985565528085e-05
28160 13.75 1.92281686456692e-05
28672 14 1.92940952165487e-05
29184 14.25 1.93695830747719e-05
29696 14.5 1.93970477365318e-05
30208 14.75 1.93800379633314e-05
30720 15 1.93548702861562e-05
31232 15.25 1.93583927530092e-05
31744 15.5 1.93807150434487e-05
32256 15.75 1.94272750937892e-05
32768 16 1.9487413247011e-05
33280 16.25 1.9546727052989e-05
33792 16.5 1.95823538964793e-05
34304 16.75 1.95879993285206e-05
34816 17 1.9600343193162e-05
35328 17.25 1.96139760533572e-05
35840 17.5 1.96183668817419e-05
36352 17.75 1.96239607430136e-05
36864 18 1.96676575841192e-05
37376 18.25 1.97326498699641e-05
37888 18.5 1.97802708904505e-05
38400 18.75 1.97996819592916e-05
38912 19 1.98284987809619e-05
39424 19.25 1.98573142509945e-05
39936 19.5 1.9887014807374e-05
40448 19.75 1.98920300552658e-05
40960 20 1.9906466103762e-05
41472 20.25 1.9962554453805e-05
41984 20.5 2.00092509236195e-05
42496 20.75 2.00337536816894e-05
43008 21 2.00370008265855e-05
43520 21.25 2.00714971968367e-05
44032 21.5 2.01190722588267e-05
44544 21.75 2.01519655932486e-05
45056 22 2.01771955233153e-05
45568 22.25 2.02220578482239e-05
46080 22.5 2.02777102806823e-05
46592 22.75 2.03108162496301e-05
47104 23 2.03129630801926e-05
47616 23.25 2.03409405892571e-05
48128 23.5 2.03904033839752e-05
48640 23.75 2.04302211400814e-05
49152 24 2.04338388899055e-05
49664 24.25 2.04201526117408e-05
50176 24.5 2.04628199578775e-05
50688 24.75 2.0548528844507e-05
51200 25 2.06197359930387e-05
51712 25.25 2.06363163026245e-05
52224 25.5 2.06458303086643e-05
52736 25.75 2.06785058887212e-05
53248 26 2.07103558431489e-05
53760 26.25 2.07269836084416e-05
54272 26.5 2.07278200105485e-05
54784 26.75 2.0749282823625e-05
55296 27 2.07980946906702e-05
55808 27.25 2.08669648350978e-05
56320 27.5 2.09225896662508e-05
56832 27.75 2.09650568501865e-05
57344 28 2.1001357293891e-05
57856 28.25 2.10169056649038e-05
58368 28.5 2.10246461255856e-05
58880 28.75 2.10415314062682e-05
59392 29 2.10680135271663e-05
59904 29.25 2.11139268469171e-05
60416 29.5 2.11589868544632e-05
60928 29.75 2.12201952093625e-05
61440 30 2.1268055010904e-05
61952 30.25 2.12986550698971e-05
62464 30.5 2.13075381899582e-05
62976 30.75 2.12902007565816e-05
63488 31 2.13023833163931e-05
64000 31.25 2.13446290138667e-05
64512 31.5 2.13893561040049e-05
65024 31.75 2.14286908874898e-05
65536 32 2.14933222616296e-05
66048 32.25 2.15771937744315e-05
66560 32.5 2.16366185536915e-05
67072 32.75 2.16595382421614e-05
67584 33 2.16451518697643e-05
68096 33.25 2.16472480594887e-05
68608 33.5 2.16850811292977e-05
69120 33.75 2.17236204645979e-05
69632 34 2.17445657815905e-05
70144 34.25 2.1778759881871e-05
70656 34.5 2.18471660014103e-05
71168 34.75 2.19202035480481e-05
71680 35 2.19650974218889e-05
72192 35.25 2.1982761496819e-05
72704 35.5 2.20114311316733e-05
73216 35.75 2.20727415453341e-05
73728 36 2.21252957556834e-05
74240 36.25 2.21563989210327e-05
74752 36.5 2.21882633070464e-05
75264 36.75 2.22308864417938e-05
75776 37 2.22850651591877e-05
76288 37.25 2.23165069384062e-05
76800 37.5 2.23373049142804e-05
77312 37.75 2.23661353666723e-05
77824 38 2.24224415920783e-05
78336 38.25 2.24764844335534e-05
78848 38.5 2.25192654218657e-05
79360 38.75 2.25548431493241e-05
79872 39 2.25907679131432e-05
80384 39.25 2.26440716222509e-05
80896 39.5 2.26810313084593e-05
81408 39.75 2.2710270695912e-05
81920 40 2.27295323073689e-05
82432 40.25 2.27581601589774e-05
82944 40.5 2.27807975217975e-05
83456 40.75 2.27867383278854e-05
83968 41 2.27877121424024e-05
84480 41.25 2.27868374478066e-05
84992 41.5 2.28163673255286e-05
85504 41.75 2.28544964619579e-05
86016 42 2.289695147895e-05
86528 42.25 2.29485488601293e-05
87040 42.5 2.30142852249108e-05
87552 42.75 2.30900784069435e-05
88064 43 2.31429519297213e-05
88576 43.25 2.31685745929049e-05
89088 43.5 2.31638057838301e-05
89600 43.75 2.31599057541312e-05
90112 44 2.31542156386427e-05
90624 44.25 2.31617023050032e-05
91136 44.5 2.31794682531894e-05
91648 44.75 2.32238806593777e-05
92160 45 2.33035426508189e-05
92672 45.25 2.33864479103389e-05
93184 45.5 2.3466411023785e-05
93696 45.75 2.351736352248e-05
94208 46 2.3546507679668e-05
94720 46.25 2.35458122364375e-05
95232 46.5 2.35352561258092e-05
95744 46.75 2.35260575431352e-05
96256 47 2.35332483340069e-05
96768 47.25 2.35746639240903e-05
97280 47.5 2.36342053361308e-05
97792 47.75 2.37034439754102e-05
98304 48 2.37753174282085e-05
98816 48.25 2.38399829014724e-05
99328 48.5 2.38861651053325e-05
99840 48.75 2.39188420469574e-05
100352 49 2.39204587233179e-05
100864 49.25 2.39075825671104e-05
101376 49.5 2.39146552110909e-05
101888 49.75 2.39529249520224e-05
102400 50 2.4006870369947e-05
102912 50.25 2.40596860351707e-05
103424 50.5 2.41123334994483e-05
103936 50.75 2.41683199853519e-05
104448 51 2.42282378024998e-05
104960 51.25 2.42681666846694e-05
105472 51.5 2.42859108422373e-05
105984 51.75 2.42980796867626e-05
106496 52 2.43212403736379e-05
107008 52.25 2.43575975339239e-05
107520 52.5 2.44032632794634e-05
108032 52.75 2.44509379673717e-05
108544 53 2.44983347799595e-05
109056 53.25 2.45531585319394e-05
109568 53.5 2.46062379997389e-05
110080 53.75 2.46591869404158e-05
