# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
7680 3.75 471.367367432698 535.738801699481 33.3996617794037 28.6400818824768 28.3738420009613 0 5.03014183044434 45 268796.717536977 268796.717536977 7698360 7698360 193641.904473507 193641.904473507 5545920 5545920 173.106087833025 718089.219092235 7136.54718655988 710952.671905675 874 3609191 36071 3573120 0 0 0 0 33.2268927097321 1693316094.15097 9851
8192 4 445.482846296715 526.29852270699 37.084056854248 32.3244769573212 31.9592008590698 0 5.18505311012268 48 254036.098119761 254036.098119761 8211584 8211584 183008.313106213 183008.313106213 5915648 5915648 186.541826911715 788794.456625394 7285.66813099331 781508.788494401 1020 4503928 37528 4466400 0 0 0 0 36.8921377658844 1693316097.83537 10490
8704 4.25 430.826365595457 517.541879165825 40.2727267742157 35.5131468772888 35.0695996284485 0 5.20739912986755 51 245678.256284848 245678.256284848 8724808 8724808 176987.300554308 176987.300554308 6285376 6285376 200.264181675375 865850.261542227 7443.40834175201 858406.853200475 1046 4505334 38934 4466400 0 0 0 0 40.0779778957367 1693316101.02404 11129
9216 4.5 434.688822912495 513.508543640477 42.0276188850403 37.2680389881134 36.7893517017365 0 5.24259161949158 54 247880.818278269 247880.818278269 9238032 9238032 178574.032353101 178574.032353101 6655104 6655104 203.884216407304 860323.431833356 7675.05715022404 852648.374683132 1072 4506803 40403 4466400 0 0 0 0 41.8220925331116 1693316102.77893 11768
9728 4.75 441.525932706671 510.647579336057 43.4889018535614 38.7293219566345 38.2270610332489 0 5.26753330230713 57 251779.672541609 251779.672541609 9751256 9751256 181382.777830858 181382.777830858 7024832 7024832 207.912028766964 856744.085187333 7915.67085024939 848828.414337084 1098 4508256 41856 4466400 0 0 0 0 43.2725501060486 1693316104.24021 12407
10240 5 447.668397321698 508.241086820859 44.9679129123688 40.2083330154419 39.6306698322296 0 5.394122838974 60 255282.406163368 255282.406163368 10264480 10264480 183906.156894396 183906.156894396 7394560 7394560 221.087925410591 925856.650297284 8079.45213521653 917777.198162067 1244 5402997 43317 5359680 0 0 0 0 44.7404687404633 1693316105.71922 13046
10752 5.25 444.894591639847 504.625946459238 47.2415528297424 42.4819729328156 41.829053401947 0 5.41696763038635 63 253700.646555299 253700.646555299 10777704 10777704 182766.652864241 182766.652864241 7764288 7764288 233.903027037485 998470.128652044 8228.91541960705 990241.213232437 1270 5404426 44746 5359680 0 0 0 0 47.0035784244537 1693316107.99286 13685
11264 5.5 451.929543647979 502.901707952419 48.5717189311981 43.8121390342712 43.1366016864777 0 5.43954110145569 66 257712.320121323 257712.320121323 11290928 11290928 185656.673682089 185656.673682089 8134016 8134016 237.713363268293 994590.688039155 8470.28645880992 986120.401580345 1296 5405922 46242 5359680 0 0 0 0 48.3229281902313 1693316109.32303 14324
11776 5.75 458.267261992267 501.440284244267 49.9297277927399 45.170147895813 44.4715614318848 0 5.46338629722595 69 261326.396965244 261326.396965244 11804152 11804152 188260.264713197 188260.264713197 8503744 8503744 241.473035606323 990660.350475811 8704.20519622216 981956.145279589 1322 5407398 47718 5359680 0 0 0 0 49.6700599193573 1693316110.68104 14963
12288 6 464.213651926145 500.258207848807 51.2898788452148 46.530298948288 45.7548925876617 0 5.59312033653259 72 264717.319217937 264717.319217937 12317376 12317376 190703.094554833 190703.094554833 8873472 8873472 253.659166377168 1055231.16557511 8854.58386335114 1046376.58171176 1468 6302166 49206 6252960 0 0 0 0 51.0189700126648 1693316112.04119 15602
12800 6.25 460.56903632242 498.203459847173 53.6121909618378 48.8526110649109 48.0002961158752 0 5.61625981330872 75 262638.981219486 262638.981219486 12830600 12830600 189205.85406824 189205.85406824 9243200 9243200 265.507469562082 1123219.90575696 8986.62597647981 1114233.27978048 1494 6303601 50641 6252960 0 0 0 0 53.3303823471069 1693316114.3635 16241
13312 6.5 465.721735369463 497.204211875972 55.0041749477386 50.2445950508118 49.3698649406433 0 5.6388247013092 78 265577.302125842 265577.302125842 13343824 13343824 191322.628638534 191322.628638534 9612928 9612928 269.065777014557 1119016.87909614 9216.39028285746 1109800.48881329 1520 6305093 52133 6252960 0 0 0 0 54.7114472389221 1693316115.75549 16880
13824 6.75 471.270890293188 496.449313178437 56.3222808837891 51.5627009868622 50.6655304431915 0 5.66097259521484 81 268741.701555368 268741.701555368 13857048 13857048 193602.270807022 193602.270807022 9982656 9982656 272.594666530333 1114838.11531446 9440.22554305209 1105397.88977141 1546 6306570 53610 6252960 0 0 0 0 56.0189371109009 1693316117.07359 17519
14336 7 476.010307386856 495.838591703159 57.6996099948883 52.9400300979614 51.9688811302185 0 5.78742384910583 84 271444.348887013 271444.348887013 14370272 14370272 195549.265477253 195549.265477253 10352384 10352384 284.082537918814 1176091.93510298 9580.63124194998 1166511.30386103 1692 7201341 55101 7146240 0 0 0 0 57.3852841854095 1693316118.45092 18158
14848 7.25 473.425434180149 494.800100080679 59.8896977901459 55.130117893219 54.0846078395844 0 5.80936312675476 87 269970.32781297 269970.32781297 14883496 14883496 194487.376587287 194487.376587287 10722112 10722112 295.258129434188 1240733.22917301 9703.2088184183 1231030.02035459 1718 7202774 56534 7146240 0 0 0 0 59.5648040771484 1693316120.64101 18797
15360 7.5 477.485338116223 494.281428516757 61.3058187961578 56.546238899231 55.4784154891968 0 5.83215022087097 90 272285.483521511 272285.483521511 15396720 15396720 196155.221212261 196155.221212261 11091840 11091840 298.589252939041 1236239.13096841 9922.77296663627 1226316.35800178 1744 7204269 58029 7146240 0 0 0 0 60.9701197147369 1693316122.05713 19436
15872 7.75 482.205085094483 493.940032200314 62.6187789440155 57.8591990470886 56.7686989307404 0 5.85430502891541 93 274976.913991701 274976.913991701 15909944 15909944 198094.135224237 198094.135224237 11461568 11461568 301.876212973592 1231700.07652015 10137.2972447259 1221562.77927542 1770 7205752 59512 7146240 0 0 0 0 62.2723360061646 1693316123.37009 20075
16384 8 485.948471066415 493.696567630758 64.0251228809357 59.2655429840088 58.1007370948792 0 5.98089742660522 96 277111.575682878 277111.575682878 16423168 16423168 199631.951456049 199631.951456049 11831296 11831296 312.606245926594 1289424.46961828 10264.017603836 1279160.45201444 1916 8100524 61004 8039520 0 0 0 0 63.6288893222809 1693316124.77643 20714
16896 8.25 477.388655365026 492.791798322831 66.9730398654938 62.2134599685669 60.9742684364319 0 6.00332069396973 99 272230.350290067 272230.350290067 16936392 16936392 196115.503078667 196115.503078667 12201024 12201024 323.06615161416 1350568.54487736 10374.1242245884 1340194.42065277 1942 8101961 62441 8039520 0 0 0 0 66.6050140857697 1693316127.72435 21353
