# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 7.6950957812052e-06
512 0.25 1.42521569496592e-05
1024 0.5 2.13331834591078e-05
1536 0.75 2.66237244127079e-05
2048 1 3.07062587919371e-05
2560 1.25 3.3740164826974e-05
3072 1.5 3.56670348331877e-05
3584 1.75 3.65726786679005e-05
4096 2 3.67531145994992e-05
4608 2.25 3.66073952658629e-05
5120 2.5 3.64929060415251e-05
5632 2.75 3.66240718894576e-05
6144 3 3.70334776970797e-05
6656 3.25 3.76044164438761e-05
7168 3.5 3.81570171315852e-05
7680 3.75 3.85368998377411e-05
8192 4 3.86789413501585e-05
8704 4.25 3.86274515928016e-05
9216 4.5 3.84990708099071e-05
9728 4.75 3.84249780450736e-05
10240 5 3.84924350990096e-05
10752 5.25 3.87060129928273e-05
11264 5.5 3.89914700873679e-05
11776 5.75 3.92446218762946e-05
12288 6 3.93955412581017e-05
12800 6.25 3.94335821318035e-05
13312 6.5 3.93986531923941e-05
13824 6.75 3.93571471684273e-05
14336 7 3.93743870614329e-05
14848 7.25 3.948564832756e-05
15360 7.5 3.96708265446557e-05
15872 7.75 3.98685918308386e-05
16384 8 4.00168986438033e-05
16896 8.25 4.00890238166336e-05
17408 8.5 4.01059647243765e-05
17920 8.75 4.01118632794326e-05
18432 9 4.01447296288763e-05
18944 9.25 4.02260974667936e-05
19456 9.5 4.03600148582904e-05
19968 9.75 4.05261327434517e-05
20480 10 4.06850871487129e-05
20992 10.25 4.08017854508711e-05
21504 10.5 4.08634530884109e-05
22016 10.75 4.08905735655957e-05
22528 11 4.09277282364009e-05
23040 11.25 4.10094979557391e-05
23552 11.5 4.11349392233459e-05
24064 11.75 4.12772690919676e-05
24576 12 4.14136927375938e-05
25088 12.25 4.15313024809601e-05
25600 12.5 4.16183244232177e-05
26112 12.75 4.16771792303896e-05
26624 13 4.17320207159227e-05
27136 13.25 4.18119117935673e-05
27648 13.5 4.19297252965072e-05
28160 13.75 4.20745599764769e-05
28672 14 4.22227489479783e-05
29184 14.25 4.23544582342548e-05
29696 14.5 4.24657265083349e-05
30208 14.75 4.25692730071484e-05
30720 15 4.26751290033699e-05
31232 15.25 4.27825246166979e-05
31744 15.5 4.28953217025606e-05
32256 15.75 4.30283643505807e-05
32768 16 4.3187649876483e-05
33280 16.25 4.33559419605085e-05
33792 16.5 4.35089199154882e-05
34304 16.75 4.36395719335862e-05
34816 17 4.37590178256376e-05
35328 17.25 4.3876879351089e-05
35840 17.5 4.3997709461908e-05
36352 17.75 4.41300171001429e-05
36864 18 4.42840169332629e-05
37376 18.25 4.4458755949066e-05
37888 18.5 4.46399319378771e-05
38400 18.75 4.48103171862839e-05
38912 19 4.49591807387964e-05
39424 19.25 4.50926246567377e-05
39936 19.5 4.52339157558175e-05
40448 19.75 4.54005164534507e-05
40960 20 4.55892165607081e-05
41472 20.25 4.57814721789994e-05
41984 20.5 4.59604387911519e-05
42496 20.75 4.61230938610295e-05
43008 21 4.62763024723678e-05
43520 21.25 4.64331208087878e-05
44032 21.5 4.66078067609914e-05
44544 21.75 4.68080090003181e-05
