# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 19 2023 at 19:02:44+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.19-17.02.39-6068
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.19-17.02.39-6068
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
9216 9 1706.66540209284 1645.5903119633 23.5269110202789 18.9843890666962 18.5297808647156 0 4.99981212615967 54 226918.231862265 226918.231862265 4307904 4307904 111411.117448621 111411.117448621 2115072 2115072 213.722670163191 595811.377193226 7953.96532862953 587857.411864596 1072 2977536 39936 2937600 0 0 0 0 23.3416442871094 1692464583.70122 11768
9728 9.5 1730.74277328258 1647.9471589916 24.3028240203857 19.760302066803 19.2919874191284 0 5.01349973678589 57 230119.559135651 230119.559135651 4547232 4547232 112982.888239887 112982.888239887 2232576 2232576 218.326815870526 594457.420394146 8208.01061237556 586249.409781771 1098 2978930 41330 2937600 0 0 0 0 24.1074798107147 1692464584.47713 12407
10240 10 1748.45246643284 1651.19924225259 25.1321580410004 20.5896360874176 20.0560827255249 0 5.13052797317505 60 232474.239936911 232474.239936911 4786560 4786560 114138.977008736 114138.977008736 2350080 2350080 232.463059876698 617738.07619446 8385.41537597596 609352.660818484 1244 3567886 42766 3525120 0 0 0 0 24.9262509346008 1692464585.30646 13046
10752 10.5 1701.02780496271 1652.9651011005 26.7643809318542 22.2218589782715 21.6234803199768 0 5.14325952529907 63 226168.656947842 226168.656947842 5025888 5025888 111043.095107966 111043.095107966 2467584 2467584 246.260353113043 694260.260887745 8559.39519591884 685700.865691826 1270 3569332 44212 3525120 0 0 0 0 26.548107624054 1692464586.93868 13685
11264 11 1719.28078451515 1654.56896030127 27.5754089355469 23.0328869819641 22.4217801094055 0 5.15608906745911 66 228595.573109134 228595.573109134 5265216 5265216 112234.649613149 112234.649613149 2585088 2585088 250.697138576693 692835.111036392 8827.76030924663 684007.350727146 1296 3570813 45693 3525120 0 0 0 0 27.3490817546844 1692464587.74971 14324
11776 11.5 1739.67378716833 1656.63991421672 28.3400869369507 23.7975649833679 23.1718187332153 0 5.17064309120178 69 231307.026741901 231307.026741901 5504544 5504544 113565.904826348 113565.904826348 2702592 2702592 255.017725095501 691151.050833296 9081.185060419 682069.865772877 1322 3572260 47140 3525120 0 0 0 0 28.1035947799683 1692464588.51439 14963
12288 12 1754.23635447411 1659.36511650822 29.1686220169067 24.626100063324 23.9377295970917 0 5.285977602005 72 233243.265690877 233243.265690877 5743872 5743872 114516.54922007 114516.54922007 2820096 2820096 268.405443530349 712892.504895339 9257.31139424045 703635.193501098 1468 4161265 48625 4112640 0 0 0 0 28.9216430187225 1692464589.34293 15602
12800 12.5 1713.27322246467 1661.35861645099 30.8080348968506 26.2655129432678 25.5114614963531 0 5.30010771751404 75 227796.807658903 227796.807658903 5983200 5983200 111842.475962494 111842.475962494 2937600 2937600 281.313952877546 785885.644407207 9413.82215062237 776471.822256585 1494 4162709 50069 4112640 0 0 0 0 30.5510807037354 1692464590.98234 16241
13312 13 1728.84869468302 1662.89178179112 31.6125600337982 27.0700380802155 26.3019943237305 0 5.31297159194946 78 229867.722445054 229867.722445054 6222528 6222528 112859.242788907 112859.242788907 3055104 3055104 285.468645482716 784095.749367326 9669.77960608737 774425.969761239 1520 4164192 51552 4112640 0 0 0 0 31.3454370498657 1692464591.78686 16880
13824 13.5 1748.05291941987 1664.67150174843 32.3448839187622 27.8023619651794 27.0212876796722 0 5.32601451873779 81 232421.116166066 232421.116166066 6461856 6461856 114112.894579729 114112.894579729 3172608 3172608 289.653822481397 782447.017565715 9916.60479665236 772530.412769062 1546 4165640 53000 4112640 0 0 0 0 32.0676982402802 1692464592.51919 17519
14336 14 1759.49553756931 1667.04028386699 33.1870958805084 28.6445739269257 27.799946308136 0 5.44139337539673 84 233942.526675216 233942.526675216 6701184 6701184 114859.868692525 114859.868692525 3290112 3290112 302.20063098843 802362.166101218 10076.7575265399 792285.408574678 1692 4754645 54485 4700160 0 0 0 0 32.8995521068573 1692464593.3614 18158
14848 14.5 1720.66387203264 1669.01044340559 34.8796498775482 30.3371279239655 29.4274916648865 0 5.45509004592896 87 228779.46842546 228779.46842546 6940512 6940512 112324.937566291 112324.937566291 3407616 3407616 314.370921228866 872293.102015134 10219.8061440329 862073.295871101 1718 4756089 55929 4700160 0 0 0 0 34.5818274021149 1692464595.05395 18797
15360 15 1735.92269012922 1670.27414164078 35.6498980522156 31.1073760986328 30.1829311847687 0 5.46939492225647 90 230808.280879581 230808.280879581 7179840 7179840 113321.033211635 113321.033211635 3525120 3525120 318.275204914968 870202.639845468 10464.4863206784 859738.153524789 1744 4757570 57410 4700160 0 0 0 0 35.3421297073364 1692464595.8242 19436
15872 15.5 1749.59803461345 1671.84178882534 36.4355618953705 31.8930399417877 30.9556140899658 0 5.48234987258911 93 232626.554682204 232626.554682204 7419168 7419168 114213.759699566 114213.759699566 3642624 3642624 322.265843163371 868404.074087452 10702.4741991441 857701.599888308 1770 4759017 58857 4700160 0 0 0 0 36.1176767349243 1692464596.60987 20075
16384 16 1758.85053521517 1673.82151588536 37.2911829948425 32.7486610412598 31.7475295066833 0 5.59796237945557 96 233856.767162209 233856.767162209 7658496 7658496 114817.762938846 114817.762938846 3760128 3760128 334.075714500506 886746.080089566 10847.1786933364 875898.901396229 1916 5348013 60333 5287680 0 0 0 0 36.9462776184082 1692464597.46549 20714
16896 16.5 1721.25847434699 1675.42671168604 39.0521559715271 34.5096340179443 33.4435441493988 0 5.62753081321716 99 228858.526749176 228858.526749176 7897824 7897824 112363.753205372 112363.753205372 3877632 3877632 345.540048315305 953755.96843679 10977.2260859795 942778.74235081 1942 5349456 61776 5287680 0 0 0 0 38.7138330936432 1692464599.22646 21353
17408 17 1734.28443676568 1676.4155597072 39.8308510780334 35.2883291244507 34.1928267478943 0 5.64048528671265 102 230590.458712365 230590.458712365 8137152 8137152 113214.088032064 113214.088032064 3995136 3995136 348.348975633371 949044.858035923 11184.4143103305 937860.443725593 1968 5350936 63256 5287680 0 0 0 0 39.4823832511902 1692464600.00516 21992
17920 17.5 1746.68202590858 1677.63792199299 40.6109070777893 36.0683851242065 34.9600656032562 0 5.65326833724976 105 232238.842164805 232238.842164805 8376480 8376480 114023.402651312 114023.402651312 4112640 4112640 352.159940951879 947146.725690485 11413.5213827299 935733.204307755 1994 5352385 64705 5287680 0 0 0 0 40.2522494792938 1692464600.78521 22631
18432 18 1753.38048755828 1679.19250091659 41.4997029304504 36.9571809768677 35.7855243682861 0 5.76713943481445 108 233129.46962575 233129.46962575 8615808 8615808 114460.678227805 114460.678227805 4230144 4230144 363.306812591746 964126.328931754 11548.4665524708 952577.862379283 2140 5941391 66191 5875200 0 0 0 0 41.1307146549225 1692464601.67401 23270
18944 18.5 1722.43939572719 1680.45689154328 43.2086138725281 38.6660919189453 37.4307372570038 0 5.7811164855957 111 229015.542055887 229015.542055887 8855136 8855136 112440.843753071 112440.843753071 4347648 4347648 374.185906668728 1028514.86721489 11670.723431307 1016844.14378359 2166 5942840 67640 5875200 0 0 0 0 42.8287284374237 1692464603.38292 23909
19456 19 1734.22543329236 1681.2723313155 43.9837610721588 39.441239118576 38.1917359828949 0 5.794753074646 114 230582.613610552 230582.613610552 9094464 9094464 113210.236285325 113210.236285325 4465152 4465152 377.760794589041 1026259.36669681 11899.1197271831 1014360.24696962 2192 5944321 69121 5875200 0 0 0 0 43.5935707092285 1692464604.15807 24548
19968 19.5 1744.75535939004 1682.29861360826 44.77738904953 40.2348670959473 38.9719295501709 0 5.80822253227234 117 231982.6725845 231982.6725845 9333792 9333792 113897.629860982 113897.629860982 4582656 4582656 381.365161576686 1024132.88744092 12119.9708666932 1012012.91657423 2218 5945771 70571 5875200 0 0 0 0 44.3768885135651 1692464604.95169 25187
