# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.375 1.00046261886875
1024 0.75 1.00039165634333
1536 1.125 1.00032748465281
2048 1.5 1.00026997016454
2560 1.875 1.00026224631126
3072 2.25 1.00037242179971
3584 2.625 1.00049969560184
4096 3 1.00064287428428
4608 3.375 1.00080118403402
5120 3.75 1.00097377124419
5632 4.125 1.00115959624886
6144 4.5 1.00135758821639
6656 4.875 1.00156668820632
7168 5.25 1.00179199456889
7680 5.625 1.00202805711735
8192 6 1.00227130233666
8704 6.375 1.00253846832918
9216 6.75 1.00282380795635
9728 7.125 1.0031168144902
10240 7.5 1.0034160785677
10752 7.875 1.00372019285543
11264 8.25 1.00402775901699
11776 8.625 1.00434887230926
12288 9 1.0046907798024
12800 9.375 1.00503544969323
13312 9.75 1.00538164413399
13824 10.125 1.00572818423224
14336 10.5 1.00607391544602
14848 10.875 1.00641780639351
15360 11.25 1.00675917214973
15872 11.625 1.00709727289118
16384 12 1.00743140043536
16896 12.375 1.00776091956045
17408 12.75 1.00822896481727
17920 13.125 1.00870433684819
18432 13.5 1.00917839800302
18944 13.875 1.00964868015782
19456 14.25 1.01011316515902
19968 14.625 1.01056913155254
20480 15 1.01101356306442
20992 15.375 1.0114451390514
21504 15.75 1.01186066333239
22016 16.125 1.01225167169857
22528 16.5 1.01259950702594
23040 16.875 1.0128996204162
23552 17.25 1.01316648750275
24064 17.625 1.01364125999098
24576 18 1.01411369584353
25088 18.375 1.01458237697838
25600 18.75 1.01504645870127
26112 19.125 1.01550496274933
26624 19.5 1.01601071549929
27136 19.875 1.01650601283352
27648 20.25 1.01698039057342
28160 20.625 1.01743063600307
28672 21 1.01785452694415
29184 21.375 1.01825236665512
29696 21.75 1.0186253616281
30208 22.125 1.01897280088591
30720 22.5 1.0192943664099
31232 22.875 1.01959138022877
