# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.966875255744351
512 0.375 0.966881647134657
1024 0.75 0.9668881053075
1536 1.125 0.96689417086583
2048 1.5 0.966899823688441
2560 1.875 0.966905372899344
3072 2.25 0.966911137125821
3584 2.625 0.966917243546866
4096 3 0.966923630731685
4608 3.375 0.966930165357747
5120 3.75 0.966936748762889
5632 4.125 0.966943352524355
6144 4.5 0.966949996229392
6656 4.875 0.966956710572157
7168 5.25 0.966963515526587
7680 5.625 0.966970417291913
8192 6 0.966977413721172
8704 6.375 0.966984499416769
9216 6.75 0.966991668576014
9728 7.125 0.966998917137059
10240 7.5 0.967006244759764
10752 7.875 0.967013655390084
11264 8.25 0.967021155396474
11776 8.625 0.967028750116282
12288 9 0.967036441029511
12800 9.375 0.967044225381801
13312 9.75 0.967052098329781
13824 10.125 0.967060056014965
14336 10.5 0.967068097560068
14848 10.875 0.96707622494595
15360 11.25 0.967084441220584
15872 11.625 0.967092748431202
16384 12 0.967101146537911
16896 12.375 0.967109633683263
17408 12.75 0.967118207321973
17920 13.125 0.967126865401654
18432 13.5 0.967135607012406
18944 13.875 0.967144432320038
19456 14.25 0.967153341876
19968 14.625 0.967162335551745
20480 15 0.967171411490902
20992 15.375 0.967180565587599
21504 15.75 0.967189791899802
22016 16.125 0.96719908397603
22528 16.5 0.967208436484986
23040 16.875 0.967217846206117
23552 17.25 0.967227311708594
24064 17.625 0.967236831857554
24576 18 0.967246404126522
25088 18.375 0.967256023921547
25600 18.75 0.96726568546728
26112 19.125 0.96727538366472
26624 19.5 0.967285115554037
27136 19.875 0.96729488026463
27648 20.25 0.967304677493621
28160 20.625 0.967314505732885
28672 21 0.96732436168667
29184 21.375 0.967334241371568
29696 21.75 0.967344142057303
30208 22.125 0.967354063625747
30720 22.5 0.967364008550786
31232 22.875 0.967373980862103
31744 23.25 0.967383984978808
32256 23.625 0.967394024683967
32768 24 0.967404101534065
33280 24.375 0.967414212050979
33792 24.75 0.967424344681856
34304 25.125 0.967434479525089
34816 25.5 0.967444593895285
35328 25.875 0.967454673532374
35840 26.25 0.967464723983886
36352 26.625 0.967474773371584
36864 27 0.967484860410916
37376 27.375 0.967495010635647
37888 27.75 0.967505214339388
38400 28.125 0.967515423635132
38912 28.5 0.967525577729512
39424 28.875 0.967535647721284
39936 29.25 0.967545676263858
40448 29.625 0.96755578615486
40960 30 0.967566149328578
41472 30.375 0.96757693344709
41984 30.75 0.967588258339719
42496 31.125 0.967600186008201
43008 31.5 0.967612741072799
43520 31.875 0.967625934825768
44032 32.25 0.967639766098658
44544 32.625 0.967654197007453
45056 33 0.967669129667784
45568 33.375 0.967684414482492
46080 33.75 0.96769989449152
46592 34.125 0.967715455021779
47104 34.5 0.967731036375457
47616 34.875 0.967746593868895
48128 35.25 0.967762034379161
48640 35.625 0.967777182878431
49152 36 0.967791812666105
49664 36.375 0.967805723373858
50176 36.75 0.967818812478013
50688 37.125 0.967831091300216
51200 37.5 0.96784264022491
51712 37.875 0.967853542576866
52224 38.25 0.967863845982573
52736 38.625 0.96787357023244
53248 39 0.967882740953647
53760 39.375 0.967891412689107
54272 39.75 0.967899662061471
54784 40.125 0.967907561295892
55296 40.5 0.967915157320606
55808 40.875 0.967922472633595
56320 41.25 0.967929524020889
56832 41.625 0.967936342938628
57344 42 0.967942984069941
57856 42.375 0.967949519121819
58368 42.75 0.967956021072779
58880 43.125 0.967962546451871
59392 43.5 0.967969122602063
59904 43.875 0.967975745258112
60416 44.25 0.967982387853412
60928 44.625 0.967989017555912
61440 45 0.967995608565693
61952 45.375 0.968002145873942
62464 45.75 0.968008621166133
62976 46.125 0.968015028530454
63488 46.5 0.968021364599786
64000 46.875 0.968027629367479
64512 47.25 0.968033820872544
65024 47.625 0.968039924446187
65536 48 0.968045907369508
66048 48.375 0.968051729343685
66560 48.75 0.968057365197955
67072 49.125 0.968062821868898
67584 49.5 0.968068133315569
68096 49.875 0.96807333589809
68608 50.25 0.968078445267276
69120 50.625 0.968083454778251
69632 51 0.968088354583245
70144 51.375 0.968093150166485
70656 51.75 0.968097859800463
71168 52.125 0.968102491900471
71680 52.5 0.968107024248292
72192 52.875 0.96811140678935
72704 53.25 0.968115588600186
73216 53.625 0.968119548134627
73728 54 0.968123303708019
74240 54.375 0.968126898781165
74752 54.75 0.968130376638827
75264 55.125 0.968133764437361
75776 55.5 0.96813707552822
76288 55.875 0.968140323473315
76800 56.25 0.968143533775063
77312 56.625 0.968146742887852
