# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
38400 28.125 -0.188106952141546 -0.187365317249657 -0.187199619338963
38912 28.5 -0.189533552903515 -0.188993930054945 -0.188831710385946
39424 28.875 -0.19091236830525 -0.190583174132094 -0.190424517374349
39936 29.25 -0.192244224460939 -0.192132751690462 -0.191977748063734
40448 29.625 -0.193743990298279 -0.193642641912358 -0.193491503642451
40960 30 -0.195243667531845 -0.195106453422342 -0.194961144009907
41472 30.375 -0.196700985151676 -0.196521928699966 -0.196382183246187
41984 30.75 -0.198117142862992 -0.197890588132814 -0.197756068239133
42496 31.125 -0.199494627720743 -0.199215212803378 -0.199085688577621
43008 31.5 -0.200836546813626 -0.200494601493732 -0.200374435353447
43520 31.875 -0.20214590909006 -0.201738638776234 -0.201625388406148
44032 32.25 -0.203425909399074 -0.202952709905024 -0.202841212262855
44544 32.625 -0.204671506828059 -0.204135333067863 -0.204025765554056
45056 33 -0.205802308662297 -0.205290126933253 -0.205184005993298
45568 33.375 -0.206913523127482 -0.206421069041015 -0.206319715728589
46080 33.75 -0.208003989857001 -0.207529019878949 -0.207432200847276
46592 34.125 -0.20907122942362 -0.208613349946019 -0.208520538394009
47104 34.5 -0.210113691688014 -0.209672504795855 -0.209582503252535
47616 34.875 -0.211132727312607 -0.210705234597683 -0.210618643509501
48128 35.25 -0.212128132797043 -0.21171152050357 -0.211629001364553
48640 35.625 -0.213100702514896 -0.212692356700339 -0.212614730268465
49152 36 -0.214051666485033 -0.213649039492972 -0.21357761637898
49664 36.375 -0.214982284054278 -0.214582885592426 -0.214519221986527
50176 36.75 -0.21589309714325 -0.2154945876595 -0.215439808110813
50688 37.125 -0.217259058792968 -0.216679300962661 -0.216423029431561
51200 37.5 -0.218685138274782 -0.218085384979687 -0.217810577108205
51712 37.875 -0.220089229308062 -0.219468782364554 -0.219176829730843
52224 38.25 -0.221471105455017 -0.220829070838257 -0.220521851164286
52736 38.625 -0.222830878966076 -0.222166219754793 -0.221873570651113
53248 39 -0.224169271143393 -0.223481079921071 -0.223375962463228
53760 39.375 -0.225487173188773 -0.224905522325048 -0.224839338144153
54272 39.75 -0.226893086423917 -0.226342694549025 -0.226271759247758
54784 40.125 -0.228333532818847 -0.227753359856229 -0.227677424111985
55296 40.5 -0.229751982571047 -0.229139958534812 -0.229059006178663
55808 40.875 -0.231149939763781 -0.230504047886382 -0.230418155514191
56320 41.25 -0.232528014587176 -0.23184636241351 -0.231755738835745
56832 41.625 -0.233886427294866 -0.233167273816374 -0.233072256874496
57344 42 -0.235225565456618 -0.234467351226035 -0.234368365700299
57856 42.375 -0.236545933012113 -0.235747376503463 -0.235644938530318
58368 42.75 -0.237847820749836 -0.237007889875528 -0.236902663380873
58880 43.125 -0.239131285855164 -0.238249073153608 -0.238141950277751
59392 43.5 -0.240396526213897 -0.239471212832013 -0.239363272869457
59904 43.875 -0.241643828759096 -0.240674812175666 -0.240567266562237
60416 44.25 -0.242871849847753 -0.2418604578987 -0.241754662286371
