# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
7680 5.625 123.292424218226 125.023595554954 170.797472953796 164.243668079376 165.671503782272 0 5.12828993797302 45 21708.9647454587 21708.9647454587 3565560 3565560 14337.7216761984 14337.7216761984 2354880 2354880 169.724001625498 386506.811435026 7074.17442177449 379432.637013251 874 1981431 36471 1944960 0 0 0 0 170.514422655106 1692884775.86317 9851
8192 6 122.604192616191 124.875727386517 182.730488061905 176.176683187485 177.539379835129 0 5.2461085319519 48 21587.782964177 21587.782964177 3803264 3803264 14257.6869682971 14257.6869682971 2511872 2511872 184.161061229446 426698.48194932 7273.59137018978 419424.890579131 1020 2469150 37950 2431200 0 0 0 0 182.429241418839 1692884787.79619 10490
8704 6.375 121.103067411892 124.626633986815 196.061804056168 189.507999181747 190.80565738678 0 5.26763272285461 51 21323.4692859826 21323.4692859826 4040968 4040968 14083.1205623169 14083.1205623169 2668864 2668864 198.244087454539 469991.451035312 7447.28076710217 462544.170268209 1046 2470552 39352 2431200 0 0 0 0 195.744973897934 1692884801.1275 11129
9216 6.75 121.446857242059 124.472416958318 206.641320943832 200.087516069412 201.299873828888 0 5.34913229942322 54 21384.0027806417 21384.0027806417 4278672 4278672 14123.1000089965 14123.1000089965 2825856 2825856 199.945815622122 462765.791143793 7608.23782871481 455157.553315078 1072 2472042 40842 2431200 0 0 0 0 206.315016031265 1692884811.70702 11768
9728 7.125 123.328407196526 124.328629012871 214.535084962845 207.981280088425 209.173473834991 0 5.36393094062805 57 21715.3005216615 21715.3005216615 4516376 4516376 14341.9061500719 14341.9061500719 2982848 2982848 204.043145597917 461299.400687835 7853.60948339769 453445.791204438 1098 2473516 42316 2431200 0 0 0 0 214.198471784592 1692884819.60079 12407
10240 7.5 125.571842548966 124.288118455294 221.570160865784 215.016355991364 216.108160257339 0 5.52777910232544 60 22110.3179713033 22110.3179713033 4754080 4754080 14602.7960781091 14602.7960781091 3139840 3139840 216.038057223159 495628.286055994 7982.78929749506 487645.496758499 1244 2961247 43807 2917440 0 0 0 0 221.215291976929 1692884826.63586 13046
10752 7.875 126.336517802999 124.325823828692 230.954480886459 224.400676012039 225.411893367767 0 5.54501509666443 63 22244.9597243289 22244.9597243289 4991784 4991784 14691.7204466136 14691.7204466136 3296832 3296832 228.413172679817 534499.633972242 8131.76153700794 526367.872435234 1270 2962724 45284 2917440 0 0 0 0 230.585147619247 1692884836.02018 13685
11264 8.25 129.740252348601 124.418132391431 235.47273683548 228.91893196106 229.898372650146 0 5.57682323455811 66 22844.2792179791 22844.2792179791 5229488 5229488 15087.5419975641 15087.5419975641 3453824 3453824 231.775312312638 531725.933479318 8358.62144109525 523367.312038223 1296 2964243 46803 2917440 0 0 0 0 235.057715892792 1692884840.53844 14324
11776 8.625 130.962180250793 124.568757468273 243.645153999329 237.091349124908 238.053536176682 0 5.5939736366272 69 23059.43266247 23059.43266247 5467192 5467192 15229.6404458759 15229.6404458759 3610816 3610816 235.709957619395 530352.948656299 8600.55202721876 521752.39662908 1322 2965742 48302 2917440 0 0 0 0 243.222279787064 1692884848.71085 14963
12288 9 132.744620240837 124.755980987538 250.631492853165 244.077687978745 244.936737060547 0 5.74881172180176 72 23373.2794146133 23373.2794146133 5704896 5704896 15436.9210524811 15436.9210524811 3767808 3767808 246.542617651845 561809.867974917 8711.52369067524 553098.344284242 1468 3453485 49805 3403680 0 0 0 0 250.190798282623 1692884855.69719 15602
12800 9.375 127.105676885707 125.009146339919 272.080890893936 265.527086019516 266.321675539017 0 5.78085231781006 75 22380.3909766223 22380.3909766223 5942600 5942600 14781.1662412155 14781.1662412155 3924800 3924800 258.715798624767 599857.235248035 8860.06111169528 590997.174136339 1494 3454920 51240 3403680 0 0 0 0 271.628371715546 1692884877.14659 16241
13312 9.75 126.203478673183 125.063208512336 284.676090955734 278.122286081314 278.884280204773 0 5.79686379432678 78 22221.5345885409 22221.5345885409 6180304 6180304 14676.2492769336 14676.2492769336 4081792 4081792 261.748883930363 596744.808940166 9073.67354696067 587671.135393205 1520 3456441 52761 3403680 0 0 0 0 284.208210945129 1692884889.74179 16880
13824 10.125 127.195952631907 125.105538183882 293.119526863098 286.565721988678 287.310168743134 0 5.81165337562561 81 22396.2864625294 22396.2864625294 6418008 6418008 14791.6644411765 14791.6644411765 4238784 4238784 265.433799768811 595200.524498061 9304.47028463265 585896.054213429 1546 3457949 54269 3403680 0 0 0 0 292.635479211807 1692884898.18523 17519
14336 10.5 126.809083386608 125.153162574323 304.639706850052 298.085901975632 298.726780891418 0 5.97513437271118 84 22328.1676720964 22328.1676720964 6655712 6655712 14746.6752733558 14746.6752733558 4395776 4395776 275.329001477343 624327.959765827 9403.97366532411 614923.986100503 1692 3945733 55813 3889920 0 0 0 0 304.134898424149 1692884909.70541 18158
14848 10.875 127.074106208058 125.154089853102 314.641747951508 308.087943077087 308.656471252441 0 5.98769760131836 87 22374.8321052446 22374.8321052446 6893416 6893416 14777.4948754189 14777.4948754189 4552768 4552768 286.369383769245 659455.727521474 9540.91228713113 649914.815234342 1718 3947241 57321 3889920 0 0 0 0 314.10201048851 1692884919.70745 18797
15360 11.25 127.930787348727 125.179962184152 323.131235837936 316.577430963516 317.126788139343 0 6.01152181625366 90 22525.6739821792 22525.6739821792 7131120 7131120 14877.1186425566 14877.1186425566 4709760 4709760 289.785187138475 657607.693198021 9767.9258683096 647839.767329711 1744 3948782 58862 3889920 0 0 0 0 322.568649768829 1692884928.19694 19436
15872 11.625 125.555102424221 125.135740353909 339.873591899872 333.319787025452 333.846320390701 0 6.02984952926636 93 22107.3704197385 22107.3704197385 7368824 7368824 14600.8493628024 14600.8493628024 4866752 4866752 293.001567510775 655370.177698135 9983.62192717631 645386.555770959 1770 3950310 60390 3889920 0 0 0 0 339.295373439789 1692884944.93929 20075
16384 12 126.380604939431 125.16715213553 348.378407001495 341.824602127075 342.272511482239 0 6.16068887710571 96 22252.7224566833 22252.7224566833 7606528 7606528 14696.8473560379 14696.8473560379 5023744 5023744 303.313411465889 685233.801791192 10109.2460238355 675124.555767357 1916 4438087 61927 4376160 0 0 0 0 347.667217493057 1692884953.44411 20714
16896 12.375 125.336538036925 125.175939097254 361.996844053268 355.443039178848 355.825916051865 0 6.17832922935486 99 22068.8862500217 22068.8862500217 7844232 7844232 14575.432429254 14575.432429254 5180736 5180736 314.05325091447 719394.230331339 10236.7099382183 709157.520393121 1942 4439547 63387 4376160 0 0 0 0 361.383653640747 1692884967.06254 21353
17408 12.75 125.574215095136 125.148897707299 372.074703931808 365.520899057388 365.877848148346 0 6.19919371604919 102 22110.7357222031 22110.7357222031 8081936 8081936 14603.0719823819 14603.0719823819 5337728 5337728 316.934921293683 716633.266155928 10442.8765588992 706190.389597029 1968 4441085 64925 4376160 0 0 0 0 371.442494869232 1692884977.1404 21992
17920 13.125 126.587918848921 125.151099083802 379.812172889709 373.258368015289 373.602727413177 0 6.21343421936035 105 22289.2256756028 22289.2256756028 8319640 8319640 14720.9559673554 14720.9559673554 5494720 5494720 320.479502963834 715425.236728402 10666.6529644757 704758.583763927 1994 4442611 66451 4376160 0 0 0 0 379.150334358215 1692884984.87787 22631
18432 13.5 127.508626238019 125.199326811713 387.704488039017 381.150683164597 381.41869020462 0 6.33788704872131 108 22451.3411046533 22451.3411046533 8557344 8557344 14828.0253706363 14828.0253706363 5651712 5651712 330.268337400222 743940.884387204 10783.3566693939 733157.52771781 2140 4930390 67990 4862400 0 0 0 0 387.031420230865 1692884992.77019 23270
18944 13.875 129.706136524244 125.231250546113 391.655091047287 385.101286172867 385.306990861893 0 6.35041522979736 111 22838.2722047104 22838.2722047104 8795048 8795048 15083.5746557142 15083.5746557142 5808704 5808704 340.574335133263 776874.160137989 10912.7137217191 765961.44641627 2166 4931891 69491 4862400 0 0 0 0 390.972298145294 1692884996.72079 23909
19456 14.25 131.478941018174 125.295911309109 396.730357885361 390.176553010941 390.363870620728 0 6.37070536613464 114 23150.4223672475 23150.4223672475 9032752 9032752 15289.7347469076 15289.7347469076 5965696 5965696 343.674605642373 774873.143531567 11123.8736616055 763749.269869962 2192 4933429 71029 4862400 0 0 0 0 396.027093172073 1692885001.79606 24548
19968 14.625 131.319495002611 125.417973607898 407.484375 400.93057012558 401.098500728607 0 6.39046812057495 117 23122.3475852597 23122.3475852597 9270456 9270456 15271.1927107036 15271.1927107036 6122688 6122688 346.702723214922 772758.402417416 11327.8146304973 761430.587786919 2218 4934953 72553 4862400 0 0 0 0 406.749673128128 1692885012.55008 25187
20480 15 132.167622089382 125.533983852425 415.125882863998 408.572077989578 408.655670881271 0 6.52259278297424 120 23271.6832897292 23271.6832897292 9508160 9508160 15369.8217237454 15369.8217237454 6279680 6279680 355.475215671466 798830.086834582 11418.4821451339 787411.604689448 2364 5422721 74081 5348640 0 0 0 0 414.379244327545 1692885020.19158 25826
20992 15.375 133.486727725988 125.638800538918 421.201769828796 414.647964954376 414.665482997894 0 6.53866791725159 123 23503.9475017617 23503.9475017617 9745864 9745864 15523.221006784 15523.221006784 6436672 6436672 365.039059901644 829823.589496824 11524.1270691917 818299.462427632 2390 5424182 75542 5348640 0 0 0 0 420.438727617264 1692885026.26747 26465
21504 15.75 133.428460524169 125.802532564456 431.500624895096 424.946820020676 424.951648950577 0 6.55351400375366 126 23493.687985509 23493.687985509 9983568 9983568 15516.445092304 15516.445092304 6593664 6593664 368.301856722904 828452.119226474 11738.1710745688 816713.948151905 2416 5425726 77086 5348640 0 0 0 0 430.720054626465 1692885036.56632 27104
22016 16.125 134.427047191929 125.918764803881 438.386543989182 431.832739114761 431.804471969604 0 6.58440780639648 129 23669.5161671928 23669.5161671928 10221272 10221272 15632.5711057447 15632.5711057447 6750656 6750656 370.400079602391 824516.806236458 11909.4716324659 812607.334603992 2442 5427244 78604 5348640 0 0 0 0 437.585938453674 1692885043.45224 27743
22528 16.5 135.313186379976 126.0553617631 445.535411834717 438.981606960297 438.854331016541 0 6.74644732475281 132 23825.5449298265 23825.5449298265 10458976 10458976 15735.6205601224 15735.6205601224 6907648 6907648 377.783186387045 847302.877193043 11964.9802442924 835337.89694875 2588 5915028 80148 5834880 0 0 0 0 444.714032649994 1692885050.60111 28382
23040 16.875 136.732955579653 126.175240936598 450.850497961044 444.296693086624 444.09314250946 0 6.75981330871582 135 24075.5336837821 24075.5336837821 10696680 10696680 15900.7260461932 15900.7260461932 7064640 7064640 386.245775984485 875537.041434348 12051.312171378 863485.72926297 2614 5916531 81651 5834880 0 0 0 0 450.01050567627 1692885055.9162 29021
23552 17.25 137.316927302386 126.36696086229 458.79229593277 452.23849105835 452.013297557831 0 6.78147339820862 138 24178.3576944343 24178.3576944343 10934384 10934384 15968.6363341157 15968.6363341157 7221632 7221632 388.848005886081 872969.526276554 12240.5988924208 860728.927384134 2640 5918071 83191 5834880 0 0 0 0 457.923233747482 1692885063.858 29660
24064 17.625 137.347356902618 126.570612241572 468.521194934845 461.967390060425 461.72199845314 0 6.80985379219055 141 24183.7156482814 24183.7156482814 11172088 11172088 15972.1750035969 15972.1750035969 7378624 7378624 391.516851610762 870599.785714073 12427.7920526889 858171.993661384 2666 5919593 84713 5834880 0 0 0 0 467.646330833435 1692885073.58689 30299
24576 18 136.534140539752 126.810559797778 481.160373926163 474.606569051743 474.280295133591 0 6.93551707267761 144 24040.5269206379 24040.5269206379 11409792 11409792 15877.6057715679 15877.6057715679 7535616 7535616 399.414030398437 894357.053969101 12506.6881636442 881850.365805456 2812 6407368 86248 6321120 0 0 0 0 480.272850513458 1692885086.22607 30938
