# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
31232 22.875 3.00229024009419e-05 3.00229442953004e-05 3.0022952893674e-05
31744 23.25 2.58160901968494e-05 2.58168269683027e-05 2.5816833500526e-05
32256 23.625 2.88324700645045e-05 2.88325157426818e-05 2.88327173849819e-05
32768 24 2.49384091867398e-05 2.49377454352748e-05 2.49380041715578e-05
33280 24.375 1.85780948953575e-05 1.85737568586199e-05 1.85756476300468e-05
33792 24.75 2.06505387458397e-05 2.0650684224231e-05 2.0650771812356e-05
34304 25.125 2.14456566894872e-05 2.14461435270741e-05 2.14463969507969e-05
34816 25.5 1.99424098858853e-05 1.99427982041473e-05 1.99428732708465e-05
35328 25.875 1.98903154043268e-05 1.98904947904309e-05 1.98905931217026e-05
35840 26.25 2.22722056741874e-05 2.22723725447051e-05 2.22724005189204e-05
36352 26.625 2.5718041202954e-05 2.57180361672895e-05 2.57178382353185e-05
36864 27 3.0310600161403e-05 3.03106788099878e-05 3.0310434738268e-05
37376 27.375 3.16129499376528e-05 3.16127440899671e-05 3.16125621270318e-05
37888 27.75 2.95511640972435e-05 2.95505139463968e-05 2.95507460952464e-05
38400 28.125 2.72228191194572e-05 2.72221595634221e-05 2.72227569250224e-05
38912 28.5 2.7398756984309e-05 2.73986992437777e-05 2.73988151782754e-05
39424 28.875 2.91009849838931e-05 2.91014288176846e-05 2.91014145400867e-05
39936 29.25 3.00803277261053e-05 3.00807409874848e-05 3.00807116107782e-05
40448 29.625 2.93184500698859e-05 2.93185522795112e-05 2.93189177373685e-05
40960 30 2.8064179425747e-05 2.80642069162184e-05 2.80648205757458e-05
41472 30.375 2.72021818710059e-05 2.72023847135923e-05 2.72027510818519e-05
41984 30.75 2.59416711757888e-05 2.59420447230008e-05 2.59417051955059e-05
42496 31.125 2.66617502178361e-05 2.66617016784579e-05 2.66617451648593e-05
43008 31.5 3.01038242204175e-05 3.01037154825071e-05 3.01036245006358e-05
43520 31.875 2.99123196107002e-05 2.99121251848605e-05 2.99119165400724e-05
44032 32.25 2.55902750489433e-05 2.55900099952649e-05 2.55897632456202e-05
44544 32.625 2.56696969301118e-05 2.56700227064445e-05 2.56702557246677e-05
45056 33 2.41138434241884e-05 2.41135234421162e-05 2.41141740648552e-05
45568 33.375 2.69416296829205e-05 2.69417013220862e-05 2.69423547644079e-05
46080 33.75 3.04801150834365e-05 3.04804840965965e-05 3.04804151557477e-05
46592 34.125 3.42050690444326e-05 3.42056604589553e-05 3.42053406067659e-05
47104 34.5 3.70755696324498e-05 3.70760620316546e-05 3.70756836333345e-05
47616 34.875 3.96353071819506e-05 3.96353422048268e-05 3.96352619536928e-05
48128 35.25 4.1681845494402e-05 4.16817629880147e-05 4.16820317257183e-05
48640 35.625 4.27980500554919e-05 4.2798374060246e-05 4.27986356984187e-05
49152 36 4.29409669598076e-05 4.29414297510218e-05 4.29414163775676e-05
49664 36.375 4.21617589227333e-05 4.21616368263702e-05 4.21614971737768e-05
50176 36.75 4.38708658380372e-05 4.38714704557294e-05 4.38719192351301e-05
50688 37.125 4.45615598967023e-05 4.45625026974669e-05 4.45624835987872e-05
51200 37.5 3.95497418642288e-05 3.95503345874423e-05 3.9549654848996e-05
51712 37.875 3.59702689397962e-05 3.59710573380256e-05 3.59710876718297e-05
52224 38.25 3.64432895848206e-05 3.64451649951785e-05 3.64450610526996e-05
52736 38.625 3.71662300608234e-05 3.71684882172822e-05 3.71685219899482e-05
53248 39 3.95816206107333e-05 3.95835261013964e-05 3.95838391542686e-05
53760 39.375 4.30589688743103e-05 4.30602582846649e-05 4.30607263927631e-05
54272 39.75 4.53270372702259e-05 4.53274684928955e-05 4.53279832316631e-05
54784 40.125 4.49476438749986e-05 4.4947508339236e-05 4.49483506927819e-05
55296 40.5 4.17966430029433e-05 4.17971079829374e-05 4.17986332623957e-05
55808 40.875 3.64868449113918e-05 3.64842076668137e-05 3.6479605303404e-05
56320 41.25 3.79391633208934e-05 3.79374494788293e-05 3.79347539215569e-05
56832 41.625 3.94855339907554e-05 3.94865133303449e-05 3.94874187755393e-05
57344 42 4.09972711617629e-05 4.09993743811526e-05 4.09992003586899e-05
57856 42.375 3.92443674466109e-05 3.92469752641001e-05 3.92454526002751e-05
58368 42.75 3.57666988001679e-05 3.57557448083813e-05 3.57438508229485e-05
58880 43.125 3.60856391889612e-05 3.60676119189624e-05 3.60537114630313e-05
59392 43.5 4.16168672533251e-05 4.16140428219699e-05 4.16190439706661e-05
59904 43.875 5.00882945476165e-05 5.00887386896807e-05 5.00893068195223e-05
60416 44.25 5.29031444177712e-05 5.29075761451685e-05 5.29036587314448e-05
60928 44.625 4.81783026962605e-05 4.81861604954048e-05 4.81794795754602e-05
61440 45 4.02720299557997e-05 4.02855097324607e-05 4.02878731579632e-05
61952 45.375 4.40714037437978e-05 4.40772343098186e-05 4.40694776650229e-05
62464 45.75 4.46877554001377e-05 4.46886666966543e-05 4.46863831471266e-05
62976 46.125 4.20618535631293e-05 4.20591375225659e-05 4.20630763166084e-05
63488 46.5 4.13080783477555e-05 4.13142316263934e-05 4.13089630528924e-05
64000 46.875 4.04529136550952e-05 4.04546355287215e-05 4.04482024598788e-05
64512 47.25 3.71171695279118e-05 3.7115566554904e-05 3.71085275210015e-05
65024 47.625 4.35373110441297e-05 4.35457513261468e-05 4.35345169219843e-05
65536 48 5.29148039452014e-05 5.29229728498339e-05 5.2910600523564e-05
66048 48.375 5.85349161617917e-05 5.85398614257805e-05 5.85296856422158e-05
66560 48.75 5.63105677749993e-05 5.63109354329668e-05 5.63058393435131e-05
67072 49.125 4.6805808256136e-05 4.6802763667534e-05 4.68045332391382e-05
67584 49.5 4.29329084723654e-05 4.2984339892605e-05 4.29901440441806e-05
68096 49.875 3.74274272104961e-05 3.74234870361867e-05 3.7389964988979e-05
68608 50.25 4.58695678745534e-05 4.58537121558364e-05 4.58634171165724e-05
69120 50.625 4.83579628857347e-05 4.83401743858916e-05 4.83536437457702e-05
69632 51 4.15202585547642e-05 4.15041260226104e-05 4.15165131829901e-05
70144 51.375 3.80093103414906e-05 3.80328529675265e-05 3.80160876636025e-05
70656 51.75 4.09881460530373e-05 4.09870159788714e-05 4.098206712413e-05
71168 52.125 4.74011746978036e-05 4.73985466929047e-05 4.7395211888956e-05
71680 52.5 4.21416813764939e-05 4.21327194917836e-05 4.21335330733539e-05
72192 52.875 3.97799334645611e-05 3.97976300220111e-05 3.97808505814992e-05
72704 53.25 3.74307746053852e-05 3.74261690956881e-05 3.74259735991647e-05
73216 53.625 3.6142048809289e-05 3.61346947411203e-05 3.61362896571494e-05
73728 54 3.19325130693914e-05 3.19437824812808e-05 3.19402838275472e-05
74240 54.375 3.21483833314606e-05 3.21566149070527e-05 3.21501012724742e-05
74752 54.75 3.07701527878717e-05 3.077513513813e-05 3.07673045631765e-05
