# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
73728 54 -2.51763095412477e-06 -2.51762992824377e-06 -2.51762918298393e-06
74240 54.375 -2.44702301277692e-06 -2.44702143223853e-06 -2.44702024784461e-06
74752 54.75 -2.40487482473692e-06 -2.4048731437987e-06 -2.40487022192757e-06
75264 55.125 -2.37512805764912e-06 -2.37512660431494e-06 -2.37512305160928e-06
75776 55.5 -2.33563442177565e-06 -2.33563320030574e-06 -2.33563019544989e-06
76288 55.875 -2.30704081162176e-06 -2.30703999390238e-06 -2.30703700786295e-06
76800 56.25 -2.25691120982387e-06 -2.25691051850328e-06 -2.25690871463231e-06
77312 56.625 -2.22240042844092e-06 -2.22240112844833e-06 -2.22239828843543e-06
77824 57 -2.17383086547171e-06 -2.17383073230751e-06 -2.17382961469154e-06
78336 57.375 -2.14063915212997e-06 -2.14063971409863e-06 -2.14063707957069e-06
78848 57.75 -2.09531874146523e-06 -2.0953185465692e-06 -2.09531703384447e-06
79360 58.125 -2.06099019154127e-06 -2.06099000081832e-06 -2.06098821573841e-06
79872 58.5 -2.02294654896613e-06 -2.02294620844024e-06 -2.02294453872398e-06
80384 58.875 -1.98689604752501e-06 -1.98689589999014e-06 -1.9868942834406e-06
80896 59.25 -1.92965725768036e-06 -1.92965728124561e-06 -1.92965622852148e-06
81408 59.625 -1.8509339495751e-06 -1.85093393539096e-06 -1.85093379104714e-06
81920 60 -1.75259148742059e-06 -1.75259104320278e-06 -1.75259170606259e-06
82432 60.375 -1.63832980670038e-06 -1.63832855966802e-06 -1.63832951204806e-06
82944 60.75 -1.51359019435549e-06 -1.51358809594505e-06 -1.51358871492484e-06
83456 61.125 -1.38541586950516e-06 -1.38541334802649e-06 -1.3854132662263e-06
83968 61.5 -1.26174444531011e-06 -1.26174220685094e-06 -1.26174148741397e-06
84480 61.875 -1.14991995416568e-06 -1.14991850125902e-06 -1.14991756729384e-06
84992 62.25 -1.05482353185957e-06 -1.05482274089127e-06 -1.05482218117934e-06
85504 62.625 -9.77426854829407e-07 -9.77425973022811e-07 -9.77426382336961e-07
86016 63 -9.14464541064503e-07 -9.14462675883852e-07 -9.14464581603069e-07
86528 63.375 -8.59422752587131e-07 -8.59419543627141e-07 -8.59423352965855e-07
87040 63.75 -8.0452350155306e-07 -8.04519496542785e-07 -8.04525393418572e-07
87552 64.125 -7.43115024352525e-07 -7.43111469269911e-07 -7.43119292361874e-07
88064 64.5 -6.71843734044695e-07 -6.7184189014286e-07 -6.71851115709916e-07
88576 64.875 -5.9202128109939e-07 -5.92021700614987e-07 -5.9203162336552e-07
89088 65.25 -5.09659929102375e-07 -5.09662141579523e-07 -5.09672197778945e-07
89600 65.625 -4.33875758168184e-07 -4.33878553435727e-07 -4.33888582987861e-07
90112 66 -4.27685516738815e-07 -4.27681955907447e-07 -4.27657320791674e-07
90624 66.375 -4.27550606229603e-07 -4.27557232294871e-07 -4.27554349976519e-07
91136 66.75 -4.30410246866519e-07 -4.30394769792774e-07 -4.30373161479692e-07
91648 67.125 -4.54521445051076e-07 -4.54513308543299e-07 -4.54488635363562e-07
92160 67.5 -4.70121782213083e-07 -4.70108776083743e-07 -4.70093045362461e-07
92672 67.875 -4.81014480480433e-07 -4.81001443873334e-07 -4.80983970221877e-07
93184 68.25 -4.93768228526614e-07 -4.93760041298569e-07 -4.93748310472078e-07
93696 68.625 -5.05825401329953e-07 -5.05822248011736e-07 -5.05812200885783e-07
94208 69 -5.05875961353669e-07 -5.05868988935518e-07 -5.05863127385226e-07
94720 69.375 -5.24370639769146e-07 -5.24317666742318e-07 -5.24309649923327e-07
95232 69.75 -5.42248889875358e-07 -5.42196895746694e-07 -5.42185540037199e-07
95744 70.125 -5.67249011684283e-07 -5.67189608031014e-07 -5.67188733198719e-07
96256 70.5 -5.77556559545431e-07 -5.77506388805808e-07 -5.7749562246469e-07
96768 70.875 -5.81433721613211e-07 -5.81393178589572e-07 -5.81374472691255e-07
97280 71.25 -5.94275450698753e-07 -5.94235868101694e-07 -5.94227690885792e-07
97792 71.625 -6.01504927456329e-07 -6.01474082633692e-07 -6.01463035438415e-07
98304 72 -6.11940346165692e-07 -6.11907105860935e-07 -6.11895340866585e-07
98816 72.375 -6.2416915455541e-07 -6.24137389198407e-07 -6.24117992517949e-07
99328 72.75 -6.34091451609482e-07 -6.34059124601006e-07 -6.34056734424304e-07
99840 73.125 -6.40322107034841e-07 -6.402885797665e-07 -6.40284920297112e-07
100352 73.5 -6.36591854148068e-07 -6.36559391843589e-07 -6.36550186126231e-07
100864 73.875 -6.33967260424313e-07 -6.33942886319434e-07 -6.33924065600722e-07
101376 74.25 -6.39734195314159e-07 -6.39707376723032e-07 -6.39689346714264e-07
101888 74.625 -6.46367084685402e-07 -6.46343107196565e-07 -6.46322536521503e-07
102400 75 -6.66348177591219e-07 -6.66324798550067e-07 -6.66305956906584e-07
102912 75.375 -6.738630884577e-07 -6.73837502554626e-07 -6.73820097190323e-07
103424 75.75 -6.66071345878596e-07 -6.66046804951054e-07 -6.66029950326208e-07
103936 76.125 -6.6318169208788e-07 -6.63154702433155e-07 -6.63141039057453e-07
104448 76.5 -6.52071380171911e-07 -6.52041562116176e-07 -6.52028445481367e-07
104960 76.875 -6.48440056481051e-07 -6.48413153161438e-07 -6.4839456692984e-07
105472 77.25 -6.44424736005642e-07 -6.44404674669067e-07 -6.44393770420518e-07
105984 77.625 -6.40016424175701e-07 -6.3999500958868e-07 -6.39973028334646e-07
106496 78 -6.23715020448604e-07 -6.23691591728944e-07 -6.23691370216391e-07
107008 78.375 -6.20567284299738e-07 -6.20535579307444e-07 -6.205233926518e-07
107520 78.75 -6.25688650774322e-07 -6.25655908613117e-07 -6.25653314870913e-07
108032 79.125 -6.10755243600811e-07 -6.10726731887197e-07 -6.10730964514069e-07
108544 79.5 -6.11692956503406e-07 -6.11728638519005e-07 -6.11738654556486e-07
109056 79.875 -6.25258456601183e-07 -6.25294535839027e-07 -6.25306188582931e-07
109568 80.25 -6.28646479939182e-07 -6.28671507057785e-07 -6.28676990681218e-07
110080 80.625 -6.34889867163537e-07 -6.34916619478863e-07 -6.34924775440743e-07
110592 81 -6.28723707771178e-07 -6.28749508631268e-07 -6.28762349390301e-07
111104 81.375 -6.33603991181654e-07 -6.33623726376817e-07 -6.33627609920009e-07
111616 81.75 -6.32923985246829e-07 -6.32931680896487e-07 -6.32938050080983e-07
112128 82.125 -6.32864266682084e-07 -6.32876451685953e-07 -6.32888363043189e-07
112640 82.5 -6.38111462037599e-07 -6.38127641720661e-07 -6.38143194996438e-07
113152 82.875 -6.26270835376359e-07 -6.26285880887391e-07 -6.26301392530165e-07
113664 83.25 -6.03518218845972e-07 -6.03527797685689e-07 -6.03542632957873e-07
114176 83.625 -5.94369807157252e-07 -5.94379723330178e-07 -5.943867187364e-07
114688 84 -5.85096445333315e-07 -5.85105112522615e-07 -5.85109066929793e-07
115200 84.375 -5.81108742032565e-07 -5.81114481746555e-07 -5.81119943788767e-07
115712 84.75 -5.78105691331044e-07 -5.78111697400118e-07 -5.78119715952354e-07
116224 85.125 -5.7137856025934e-07 -5.71384734482207e-07 -5.71394967762581e-07
116736 85.5 -1.89088150383042e-06 -1.88649913078798e-06 -1.93896824131506e-06
117248 85.875 -7.06311746709808e-06 -7.06305942540884e-06 -7.12044408043848e-06
117760 86.25 -1.22904174471718e-05 -1.22944683190042e-05 -1.23570525483351e-05
118272 86.625 -1.75295155017659e-05 -1.75371598589031e-05 -1.76057674337715e-05
118784 87 -2.29642894647317e-05 -2.29805228195542e-05 -2.30786021444057e-05
119296 87.375 -3.00428090990599e-05 -3.00614918913662e-05 -3.01649888603207e-05
119808 87.75 -3.70199651438933e-05 -3.70400044668268e-05 -3.71455784767541e-05
120320 88.125 -4.50825532293091e-05 -4.51033551922253e-05 -4.52102665239848e-05
120832 88.5 -5.30633103720343e-05 -5.30843927107708e-05 -5.31930583569861e-05
121344 88.875 -6.09951424934543e-05 -6.10170501780297e-05 -6.11271819668567e-05
121856 89.25 -6.88020470594088e-05 -6.88256185037617e-05 -6.89363578471317e-05
122368 89.625 -7.63697684836553e-05 -7.63950247539752e-05 -7.65058034528855e-05
122880 90 -8.37315711538641e-05 -8.37579896418665e-05 -8.38687065809424e-05
123392 90.375 -9.10332968890969e-05 -9.10608067006015e-05 -9.11712711142363e-05
123904 90.75 -9.83080594720271e-05 -9.8337081196573e-05 -9.84469525253635e-05
124416 91.125 -0.000105446837026029 -0.000105477683245254 -0.000105586887960596
124928 91.5 -0.000112406931420134 -0.00011243991520771 -0.000112548343206107
125440 91.875 -0.000119266735021235 -0.000119302618233588 -0.000119409325293322
125952 92.25 -0.000126038548092649 -0.00012607809864749 -0.000126181596529551
126464 92.625 -0.000132627572529263 -0.00013267079441879 -0.000132770425611707
126976 93 -0.000139039211343814 -0.000139085700988635 -0.000139182152036973
127488 93.375 -0.000145414754301428 -0.000145464666872087 -0.000145558862706437
128000 93.75 -0.000151760825084837 -0.000151814756540288 -0.000151906763522093
128512 94.125 -0.000157845753012655 -0.000157903746021548 -0.000157993031617774
129024 94.5 -0.000163500435977007 -0.000163561761164824 -0.000163648071163737
129536 94.875 -0.000168864076912475 -0.000168927939874111 -0.000169011581962351
130048 95.25 -0.000174205913135336 -0.000174271921754523 -0.000174353369258927
130560 95.625 -0.000179637703278201 -0.000179705964419792 -0.000179785228173182
131072 96 -0.000185106872408866 -0.000185178302868328 -0.000185254491527689
131584 96.375 -0.000190530936459473 -0.000190607289092218 -0.000190678987471243
132096 96.75 -0.000195807288995261 -0.000195890152207536 -0.000195956694396392
132608 97.125 -0.000200789519393071 -0.000200879110239086 -0.000200941441547151
133120 97.5 -0.000205385802605312 -0.000205480989311222 -0.00020554087262065
133632 97.875 -0.000209648566085138 -0.0002097479799008 -0.000209806316473105
134144 98.25 -0.00021370729226901 -0.000213810197170914 -0.000213866386485753
134656 98.625 -0.000217669249049349 -0.000217775688734272 -0.00021782860532441
135168 99 -0.000221636642720259 -0.000221747229448774 -0.000221796489703615
135680 99.375 -0.000225727956552008 -0.000225843364520495 -0.000225889400144558
136192 99.75 -0.000229949584644423 -0.000230069960876378 -0.000230112944205274
136704 100.125 -0.000234060178777995 -0.000234185219323759 -0.000234224315349416
137216 100.5 -0.000238613524248878 -0.000238719169920967 -0.000238742070882279
137728 100.875 -0.000243122648882435 -0.000243232605851962 -0.000243252110590458
138240 101.25 -0.000246867635918292 -0.000246980633807966 -0.000246997326871785
138752 101.625 -0.000249775494946975 -0.000249890334613175 -0.000249904730646129
139264 102 -0.000252567982710972 -0.000252684072567021 -0.000252695995277562
139776 102.375 -0.000255978709378027 -0.000256096093685671 -0.000256105014770667
140288 102.75 -0.000259905667017656 -0.000260024636245398 -0.00026003046397421
140800 103.125 -0.000263608568606581 -0.000263729175405618 -0.000263732497411248
141312 103.5 -0.000266630968704708 -0.000266752965287252 -0.000266754275228519
141824 103.875 -0.000269207291596326 -0.000269330328664072 -0.000269329145919072
142336 104.25 -0.00027177359277195 -0.000271897034863781 -0.000271892288460604
142848 104.625 -0.00027441724493818 -0.000274539747732113 -0.0002745310684791
143360 105 -0.00027694893819107 -0.000277068604164985 -0.000277056669703698
143872 105.375 -0.000279283557640914 -0.000279398922408616 -0.000279384470957101
144384 105.75 -0.000281538393978964 -0.000281649532016652 -0.000281632758304903
144896 106.125 -0.0002838303560071 -0.000283938824733083 -0.000283919905216178
145408 106.5 -0.000286125487786575 -0.00028623254513407 -0.000286211909923221
145920 106.875 -0.000288286299797503 -0.000288391186503858 -0.000288368818744019
146432 107.25 -0.000290196565405906 -0.000290297174655229 -0.000290272392263985
146944 107.625 -0.00029182973584897 -0.000291924687071729 -0.000291897326674314
147456 108 -0.000293225951271447 -0.000293315302166188 -0.000293286506043812
147968 108.375 -0.000294443292219829 -0.000294527913935405 -0.000294498836184032
148480 108.75 -0.000295572884181029 -0.000295654110069496 -0.000295624423294565
148992 109.125 -0.000296768148930814 -0.000296847137036334 -0.000296816044683588
149504 109.5 -0.000298145831538123 -0.000298222045122195 -0.000298190209309859
150016 109.875 -0.000299623124368086 -0.000299694215247765 -0.000299663050574126
150528 110.25 -0.000300952345681453 -0.000301016716742818 -0.00030098621453388
151040 110.625 -0.000301972901105026 -0.000302031853055425 -0.000302000965771878
151552 111 -0.000302755594034927 -0.000302812009939432 -0.000302780873597125
152064 111.375 -0.00030346593192048 -0.000303521067938062 -0.000303491182153118
152576 111.75 -0.000304177608540123 -0.000304229825982349 -0.000304202632127112
153088 112.125 -0.000304863494654532 -0.000304910449393611 -0.000304887085748519
153600 112.5 -0.000305478510410249 -0.000305520462134764 -0.000305501771151017
154112 112.875 -0.000305995442359399 -0.000306035627392667 -0.000306021142041656
154624 113.25 -0.000306424396567335 -0.000306465654078586 -0.000306453889997925
155136 113.625 -0.000306830361804886 -0.00030687243015314 -0.000306863117291822
155648 114 -0.000307263821356787 -0.00030730485118133 -0.000307299688479424
156160 114.375 -0.000307649402337203 -0.000307688911807309 -0.000307689737077511
156672 114.75 -0.000307821138561395 -0.00030786020070746 -0.000307867514871148
157184 115.125 -0.000307714607223914 -0.000307754009604701 -0.000307767508367592
157696 115.5 -0.000307473822063401 -0.000307513179221764 -0.000307533051931763
158208 115.875 -0.000307319170601231 -0.000307357618684629 -0.000307384873579617
158720 116.25 -0.000307328265877436 -0.000307365872704329 -0.000307400996594735
159232 116.625 -0.000307384436067441 -0.000307423067724219 -0.000307464691057118
