# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
58368 42.75 0.000173913777833827
58880 43.125 0.000173984738911376
59392 43.5 0.000174061274852464
59904 43.875 0.000174143883522495
60416 44.25 0.000174233244682628
60928 44.625 0.00017432976751791
61440 45 0.000174433442564524
61952 45.375 0.000174544326428258
62464 45.75 0.000174662871590325
62976 46.125 0.000174789497150822
63488 46.5 0.000174924051640745
64000 46.875 0.000175066058833614
64512 47.25 0.000175215358081148
65024 47.625 0.000175372083479572
65536 48 0.000175536028668434
66048 48.375 0.000175706453392519
66560 48.75 0.000175882618885019
67072 49.125 0.000176064145279503
67584 49.5 0.000176250669098916
68096 49.875 0.000176441484089
68608 50.25 0.000176635795432214
69120 50.625 0.00017683311667561
69632 51 0.000177033149890593
70144 51.375 0.00017723543571383
70656 51.75 0.000177439394305782
71168 52.125 0.000177644586038673
71680 52.5 0.000177850636756788
72192 52.875 0.000178056987155553
72704 53.25 0.000178263031398449
73216 53.625 0.000178468468214786
73728 54 0.00017867318311669
74240 54.375 0.000178876784726615
74752 54.75 0.000179078644228226
75264 55.125 0.000179278489676018
75776 55.5 0.00017947656749336
76288 55.875 0.00017967301095289
76800 56.25 0.000179867395256066
77312 56.625 0.000180059193892863
77824 57 0.000180248379050459
78336 57.375 0.000180435224342825
78848 57.75 0.000180619724608951
79360 58.125 0.000180801585257062
79872 58.5 0.000180980661441983
80384 58.875 0.000181157043530791
80896 59.25 0.000181330766130325
81408 59.625 0.00018150176097002
81920 60 0.000181670052825431
82432 60.375 0.000181835655451108
82944 60.75 0.000181998261437028
83456 61.125 0.000182157382401541
83968 61.5 0.000182312888906399
84480 61.875 0.000182465102554026
84992 62.25 0.000182614183344701
85504 62.625 0.000182759662239004
86016 63 0.000182900824229393
86528 63.375 0.000183037462610324
87040 63.75 0.000183170030811387
87552 64.125 0.000183299023052498
88064 64.5 0.000183424368074259
88576 64.875 0.000183545547862543
89088 65.25 0.000183662225066671
89600 65.625 0.000183774537427083
90112 66 0.000183882693066121
90624 66.375 0.000183986485967316
91136 66.75 0.000184085456850271
91648 67.125 0.000184179416807425
92160 67.5 0.000184268454426639
92672 67.875 0.000184352405752337
93184 68.25 0.000184430759723445
93696 68.625 0.000184503343398489
94208 69 0.000184570731807822
94720 69.375 0.000184633527622595
95232 69.75 0.000184691414937497
95744 70.125 0.000184743466822038
96256 70.5 0.000184789427953801
96768 70.875 0.000184830139728766
97280 71.25 0.000184866389646995
97792 71.625 0.000184897740030427
98304 72 0.000184922984089869
98816 72.375 0.000184941618095899
99328 72.75 0.000184954354512106
99840 73.125 0.000184962102700429
100352 73.5 0.000184964892551327
100864 73.875 0.000184962089298963
101376 74.25 0.000184953384253091
101888 74.625 0.000184939156232991
102400 75 0.000184919889186262
102912 75.375 0.00018489562495355
103424 75.75 0.000184866109536223
103936 76.125 0.000184831215237343
104448 76.5 0.000184791059604867
104960 76.875 0.000184745799854219
105472 77.25 0.000184695530371961
105984 77.625 0.000184640548412855
106496 78 0.000184581270910321
107008 78.375 0.000184517795459445
107520 78.75 0.000184449899441912
108032 79.125 0.000184377348073615
108544 79.5 0.000184300205957344
109056 79.875 0.0001842187589035
109568 80.25 0.000184133139171356
110080 80.625 0.000184043157926656
110592 81 0.000183948586662728
111104 81.375 0.00018384954297309
111616 81.75 0.000183746505932935
112128 82.125 0.000183639952798317
112640 82.5 0.000183530046144358
113152 82.875 0.000183416696610291
113664 83.25 0.000183299876166364
114176 83.625 0.000183179807965018
114688 84 0.000183056850912922
115200 84.375 0.000182931268670796
115712 84.75 0.000182803184434385
116224 85.125 0.000182672738969148
116736 85.5 0.000182540164666
117248 85.875 0.000182405622787534
117760 86.25 0.000182269070663568
118272 86.625 0.000182130457773981
118784 87 0.000181990036243115
119296 87.375 0.000181848284468298
119808 87.75 0.000181705444869381
120320 88.125 0.000181561291888252
120832 88.5 0.000181415493699368
121344 88.875 0.000181268111513535
121856 89.25 0.000181119592796063
122368 89.625 0.000180970315580315
122880 90 0.000180820290005983
123392 90.375 0.00018066931148973
123904 90.75 0.000180517263136999
124416 91.125 0.000180364204216389
124928 91.5 0.00018021026687724
125440 91.875 0.00018005558854324
125952 92.25 0.000179900338827962
126464 92.625 0.000179744703792395
126976 93 0.000179588762431327
127488 93.375 0.000179432410672691
128000 93.75 0.000179275507229309
128512 94.125 0.000179118129612051
129024 94.5 0.000178960608766572
129536 94.875 0.000178803244556778
130048 95.25 0.000178646040283199
130560 95.625 0.000178488793550462
131072 96 0.000178331404111566
131584 96.375 0.000178174003953423
132096 96.75 0.000178016828883629
132608 97.125 0.000177860088815733
133120 97.5 0.000177703956170453
133632 97.875 0.000177548528233346
134144 98.25 0.00017739373078526
134656 98.625 0.000177239365628598
135168 99 0.00017708535566558
135680 99.375 0.000176931901444384
136192 99.75 0.000176779323958129
136704 100.125 0.000176627791617406
137216 100.5 0.00017647727391895
137728 100.875 0.000176327717034717
138240 101.25 0.000176179144169719
138752 101.625 0.000176031577217136
139264 102 0.000175885000119026
139776 102.375 0.000175739484783672
140288 102.75 0.000175595247048724
140800 103.125 0.000175452440688641
141312 103.5 0.000175310950873528
141824 103.875 0.000175170555058797
142336 104.25 0.000175031282173912
142848 104.625 0.000174893431141898
143360 105 0.000174757183360127
143872 105.375 0.000174622383170129
144384 105.75 0.000174488826878771
144896 106.125 0.000174356622806538
145408 106.5 0.000174226084844161
145920 106.875 0.00017409733782968
146432 107.25 0.000173970209062189
146944 107.625 0.000173844507112748
147456 108 0.000173720254139236
147968 108.375 0.000173597595371719
148480 108.75 0.000173476583030402
148992 109.125 0.000173357125437539
