# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.375 0.00127840403554367
1024 0.75 0.00127688210040807
1536 1.125 0.00127542248599727
2048 1.5 0.00127402928441126
2560 1.875 0.00127271414622821
3072 2.25 0.00127153209459098
3584 2.625 0.0012705549637187
4096 3 0.00126989591890588
4608 3.375 0.00126947188503814
5120 3.75 0.00126926506771214
5632 4.125 0.00126926646229703
6144 4.5 0.00126946285751567
6656 4.875 0.00126983709996821
7168 5.25 0.00127036885238472
7680 5.625 0.00127103611529029
8192 6 0.00127181691221737
8704 6.375 0.00127269046991533
9216 6.75 0.00127363742737811
9728 7.125 0.00127463959204306
10240 7.5 0.00127567989926061
10752 7.875 0.00127674295390064
11264 8.25 0.00127781539509185
11776 8.625 0.00127888573927574
12288 9 0.00127994406111247
12800 9.375 0.00128098212240895
13312 9.75 0.00128199390143282
13824 10.125 0.00128297568815443
14336 10.5 0.00128392495855678
14848 10.875 0.001284839372721
15360 11.25 0.00128571725275536
15872 11.625 0.00128655981582688
16384 12 0.00128737200777683
16896 12.375 0.00128815961530318
17408 12.75 0.00128892493749998
17920 13.125 0.0012896469389804
18432 13.5 0.0012903230416394
18944 13.875 0.00129096817222019
19456 14.25 0.00129159801441573
19968 14.625 0.0012922267513924
20480 15 0.00129286520828417
20992 15.375 0.00129352143275094
21504 15.75 0.00129420204817347
22016 16.125 0.00129491178877793
22528 16.5 0.00129565198449128
23040 16.875 0.00129641835508111
23552 17.25 0.00129719656505779
24064 17.625 0.00129798518586954
24576 18 0.00129878509224949
25088 18.375 0.00129959430642069
25600 18.75 0.00130040913461454
26112 19.125 0.00130122875520032
26624 19.5 0.00130205654209081
27136 19.875 0.00130289547389605
27648 20.25 0.0013037432561014
28160 20.625 0.00130459345198971
28672 21 0.00130544103914342
29184 21.375 0.00130628552303177
29696 21.75 0.0013071285527333
30208 22.125 0.00130796967993265
30720 22.5 0.00130880487176899
31232 22.875 0.00130962824573119
31744 23.25 0.00131043456489939
32256 23.625 0.00131122061749942
32768 24 0.00131198542727539
33280 24.375 0.00131272963553458
33792 24.75 0.0013134541843096
34304 25.125 0.00131415898534634
34816 25.5 0.00131484289337033
35328 25.875 0.0013155054755178
35840 26.25 0.00131614919112853
36352 26.625 0.00131677932484183
36864 27 0.00131740083144597
37376 27.375 0.00131801480611308
37888 27.75 0.00131861832595773
38400 28.125 0.0013192080976861
38912 28.5 0.00131978407842995
39424 28.875 0.00132034917157994
39936 29.25 0.00132090558837609
40448 29.625 0.00132145216256279
40960 30 0.00132198544494487
41472 30.375 0.00132250294419276
41984 30.75 0.00132300491068804
42496 31.125 0.00132349326828159
43008 31.5 0.00132396928428537
43520 31.875 0.00132443214256743
44032 32.25 0.00132487927261778
44544 32.625 0.00132530800568647
45056 33 0.00132571734840656
45568 33.375 0.00132610835320102
46080 33.75 0.00132648253665456
46592 34.125 0.0013268399244737
47104 34.5 0.00132717908408314
47616 34.875 0.00132749922121165
48128 35.25 0.00132780161844184
48640 35.625 0.00132808844646576
49152 36 0.00132836061482791
49664 36.375 0.00132861769821511
50176 36.75 0.00132885993691508
50688 37.125 0.00132908929392708
51200 37.5 0.00132930809074572
51712 37.875 0.00132951746014799
52224 38.25 0.00132971808089687
52736 38.625 0.00132991194554278
53248 39 0.00133010209300624
53760 39.375 0.00133029039045248
54272 39.75 0.00133047674926584
54784 40.125 0.00133066131786268
55296 40.5 0.00133084677337916
55808 40.875 0.00133103751573551
56320 41.25 0.00133123686694946
56832 41.625 0.00133144611611398
57344 42 0.00133166645793843
57856 42.375 0.00133190073600122
58368 42.75 0.00133215253858538
58880 43.125 0.00133242428628703
59392 43.5 0.00133271732099429
59904 43.875 0.00133303353419588
60416 44.25 0.00133337551044841
60928 44.625 0.00133374479521166
61440 45 0.00133414132961733
61952 45.375 0.00133456530577952
62464 45.75 0.00133501842680215
62976 46.125 0.0013355022641154
63488 46.5 0.00133601620591091
64000 46.875 0.00133655839956399
64512 47.25 0.00133712819772622
65024 47.625 0.00133772607656201
65536 48 0.00133835121175439
66048 48.375 0.00133900074451108
66560 48.75 0.00133967182580942
67072 49.125 0.00134036297733686
67584 49.5 0.00134107278523392
68096 49.875 0.00134179853444197
68608 50.25 0.00134253717856859
69120 50.625 0.00134328684870894
69632 51 0.00134404639546755
70144 51.375 0.00134481405934901
70656 51.75 0.00134558762789523
71168 52.125 0.00134636542496362
71680 52.5 0.00134714602619226
72192 52.875 0.00134792730968681
72704 53.25 0.00134870698243687
73216 53.625 0.00134948390821018
73728 54 0.00135025765914831
74240 54.375 0.00135102676270194
74752 54.75 0.00135178885347145
75264 55.125 0.00135254291748278
75776 55.5 0.00135328989719521
76288 55.875 0.00135403030651011
76800 56.25 0.00135476255640816
77312 56.625 0.00135548467833188
77824 57 0.00135619658382709
78336 57.375 0.0013568993177831
78848 57.75 0.00135759287504651
79360 58.125 0.00135827616311122
79872 58.5 0.00135894865366045
80384 58.875 0.00135961070182544
80896 59.25 0.00136026245265587
81408 59.625 0.00136090366499924
81920 60 0.00136153444658558
82432 60.375 0.00136215486342416
82944 60.75 0.00136276377876152
83456 61.125 0.00136335938036005
83968 61.5 0.0013639412014767
84480 61.875 0.0013645104622434
84992 62.25 0.0013650677763868
85504 62.625 0.00136561140616315
86016 63 0.00136613869761319
86528 63.375 0.00136664889796518
87040 63.75 0.00136714371850767
87552 64.125 0.00136762501966484
88064 64.5 0.00136809254995689
88576 64.875 0.00136854439230133
89088 65.25 0.00136897930496228
89600 65.625 0.00136939781725728
90112 66 0.00136980071940366
90624 66.375 0.00137018725804741
91136 66.75 0.00137055573731403
91648 67.125 0.00137090546871672
92160 67.5 0.00137123679621437
92672 67.875 0.00137154912324452
93184 68.25 0.00137184056208812
93696 68.625 0.00137211048299166
94208 69 0.00137236103644979
94720 69.375 0.00137259447324607
95232 69.75 0.00137280962805205
95744 70.125 0.00137300306501894
96256 70.5 0.00137317384467221
96768 70.875 0.00137332510133872
97280 71.25 0.00137345976682675
97792 71.625 0.00137357622029633
98304 72 0.00137366998416899
98816 72.375 0.00137373919225066
99328 72.75 0.00137378649423999
99840 73.125 0.00137381526956951
100352 73.5 0.00137382563040899
100864 73.875 0.00137381521979948
101376 74.25 0.0013737828908361
101888 74.625 0.00137373004890896
102400 75 0.00137365848912959
102912 75.375 0.00137356836398718
103424 75.75 0.00137345872628871
103936 76.125 0.00137332909695539
104448 76.5 0.00137317990707428
104960 76.875 0.00137301173447361
105472 77.25 0.00137282492296055
105984 77.625 0.00137262056982351
106496 78 0.00137240021722083
107008 78.375 0.00137216422032691
107520 78.75 0.00137191174316715
108032 79.125 0.00137164190332435
108544 79.5 0.00137135493089992
109056 79.875 0.00137105187871114
109568 80.25 0.00137073322837859
110080 80.625 0.00137039826598506
110592 81 0.00137004612860941
111104 81.375 0.00136967724104015
111616 81.75 0.00136929337479389
112128 82.125 0.00136889629606139
112640 82.5 0.00136848659946001
113152 82.875 0.00136806394039276
113664 83.25 0.00136762820227457
114176 83.625 0.0013671802053602
114688 84 0.00136672127741243
115200 84.375 0.00136625239201313
115712 84.75 0.00136577399912189
116224 85.125 0.00136528661478149
116736 85.5 0.00136479109811348
117248 85.875 0.0013642880433321
117760 86.25 0.00136377728246179
118272 86.625 0.0013632586177678
118784 87 0.00136273298417344
119296 87.375 0.00136220216541908
119808 87.75 0.00136166706376585
120320 88.125 0.00136112682868191
120832 88.5 0.0013605802097401
121344 88.875 0.00136002742887082
121856 89.25 0.00135947015787913
122368 89.625 0.00135890981057189
122880 90 0.00135834642122731
123392 90.375 0.00135777921730907
123904 90.75 0.00135720775460246
124416 91.125 0.00135663225062378
124928 91.5 0.00135605319742905
125440 91.875 0.00135547110773731
125952 92.25 0.00135488661634193
126464 92.625 0.00135430042107896
126976 93 0.00135371281746034
127488 93.375 0.00135312341124077
128000 93.75 0.0013525316670981
128512 94.125 0.00135193787447852
129024 94.5 0.00135134328017843
129536 94.875 0.00135074901578368
130048 95.25 0.00135015509420214
130560 95.625 0.00134956075072694
131072 96 0.00134896560564755
131584 96.375 0.00134837015732231
132096 96.75 0.00134777529800578
132608 97.125 0.0013471818234621
133120 97.5 0.00134659038880006
133632 97.875 0.00134600136547125
134144 98.25 0.00134541447519107
134656 98.625 0.0013448289688261
135168 99 0.00134424455556234
135680 99.375 0.00134366199833106
136192 99.75 0.00134308251892204
136704 100.125 0.00134250676134582
137216 100.5 0.00134193461441944
137728 100.875 0.00134136587802195
138240 101.25 0.00134080064479354
138752 101.625 0.00134023900250975
139264 102 0.00133968089453188
139776 102.375 0.0013391265992478
140288 102.75 0.00133857694406824
140800 103.125 0.00133803252106782
141312 103.5 0.00133749289860227
141824 103.875 0.00133695723321919
142336 104.25 0.00133642564012014
142848 104.625 0.00133589926580813
143360 105 0.00133537880951409
143872 105.375 0.00133486368321129
144384 105.75 0.00133435311423058
144896 106.125 0.00133384752213723
145408 106.5 0.00133334811369251
145920 106.875 0.00133285537371526
146432 107.25 0.00133236864828031
146944 107.625 0.0013318872106777
147456 108 0.00133141115155387
147968 108.375 0.00133094103340655
148480 108.75 0.0013304770627846
148992 109.125 0.00133001889443975
149504 109.5 0.00132956613701184
150016 109.875 0.00132911886718927
150528 110.25 0.001328677607703
151040 110.625 0.00132824281059358
151552 111 0.00132781439384784
152064 111.375 0.0013273918552182
152576 111.75 0.00132697481791289
153088 112.125 0.00132656332540072
153600 112.5 0.001326157590619
154112 112.875 0.00132575765526854
154624 113.25 0.00132536338398179
155136 113.625 0.00132497458100464
155648 114 0.00132459092665455
156160 114.375 0.00132421197140601
156672 114.75 0.00132383749166143
157184 115.125 0.00132346782347492
157696 115.5 0.00132310351170854
158208 115.875 0.00132274445529206
158720 116.25 0.00132238962617674
159232 116.625 0.00132203795381461
159744 117 0.00132168946652207
160256 117.375 0.00132134522006975
160768 117.75 0.0013210059061235
161280 118.125 0.00132067075899239
161792 118.5 0.00132033816619454
162304 118.875 0.00132000732155303
162816 119.25 0.00131967894671023
163328 119.625 0.00131935426448509
163840 120 0.00131903351993119
164352 120.375 0.00131871574581539
164864 120.75 0.00131839985600644
165376 121.125 0.0013180856799198
165888 121.5 0.00131777384997589
166400 121.875 0.00131746486369463
166912 122.25 0.00131715846335939
167424 122.625 0.00131685395806441
167936 123 0.0013165509906624
168448 123.375 0.00131624981623988
168960 123.75 0.0013159508663833
169472 124.125 0.00131565428445126
169984 124.5 0.00131536002416847
170496 124.875 0.0013150681951029
171008 125.25 0.00131477898670405
171520 125.625 0.00131449224105804
172032 126 0.00131420742941838
172544 126.375 0.00131392430181148
173056 126.75 0.00131364343533826
173568 127.125 0.00131336583233287
174080 127.5 0.00131309189938558
174592 127.875 0.00131282107809355
175104 128.25 0.00131255270182911
175616 128.625 0.0013122870351958
176128 129 0.00131202509856456
176640 129.375 0.0013117674725764
177152 129.75 0.00131151370084549
177664 130.125 0.00131126308378146
178176 130.5 0.00131101573552506
178688 130.875 0.0013107725426422
179200 131.25 0.00131053428549449
179712 131.625 0.00131030112091232
180224 132 0.00131007277881952
180736 132.375 0.00130984892699515
181248 132.75 0.00130962943605465
181760 133.125 0.00130941464173418
182272 133.5 0.00130920533413136
182784 133.875 0.00130900217537519
183296 134.25 0.00130880510542081
183808 134.625 0.00130861357905973
184320 135 0.0013084273660591
184832 135.375 0.0013082468124256
185344 135.75 0.00130807233661608
185856 136.125 0.00130790411331675
186368 136.5 0.00130774242277823
186880 136.875 0.0013075878460933
187392 137.25 0.00130744063916006
187904 137.625 0.00130730012527337
188416 138 0.00130716533731284
188928 138.375 0.00130703644579723
189440 138.75 0.00130691504070845
189952 139.125 0.00130680251377753
190464 139.5 0.00130669839946251
190976 139.875 0.0013066009403986
191488 140.25 0.00130650935578109
192000 140.625 0.00130642490046586
192512 141 0.00130634929591258
193024 141.375 0.00130628265125962
193536 141.75 0.00130622363092305
194048 142.125 0.001306171447085
194560 142.5 0.00130612684156915
195072 142.875 0.00130609090960364
195584 143.25 0.00130606368392044
196096 143.625 0.00130604441065701
196608 144 0.00130603281108691
197120 144.375 0.00130602941290684
197632 144.75 0.00130603468368082
198144 145.125 0.00130604840279515
198656 145.5 0.00130607009974557
199168 145.875 0.00130609975323605
199680 146.25 0.00130613773456692
200192 146.625 0.00130618421629123
200704 147 0.00130623898816229
201216 147.375 0.00130630189128073
201728 147.75 0.00130637310955547
202240 148.125 0.00130645279501673
202752 148.5 0.0013065405924977
203264 148.875 0.00130663592311882
203776 149.25 0.00130673880337801
204288 149.625 0.00130685000638052
204800 150 0.00130697010211262
205312 150.375 0.00130709855954295
205824 150.75 0.00130723425754909
206336 151.125 0.00130737694156592
206848 151.5 0.00130752755329226
207360 151.875 0.00130768693730355
207872 152.25 0.00130785475369804
208384 152.625 0.00130803002553461
208896 153 0.00130821246378786
209408 153.375 0.0013084025991183
209920 153.75 0.00130860065198869
210432 154.125 0.00130880603002524
210944 154.5 0.00130901826025524
211456 154.875 0.00130923778341597
211968 155.25 0.00130946520784458
212480 155.625 0.00130970010851361
212992 156 0.00130994128780204
213504 156.375 0.00131018822971377
214016 156.75 0.00131044166488947
214528 157.125 0.00131070246680882
215040 157.5 0.00131097046102587
215552 157.875 0.00131124468763311
216064 158.25 0.00131152453729568
216576 158.625 0.00131181018494742
217088 159 0.00131210200515256
217600 159.375 0.00131240000459183
218112 159.75 0.00131270393011762
218624 160.125 0.00131301359167197
219136 160.5 0.00131332885278278
219648 160.875 0.00131364949061111
220160 161.25 0.00131397534845076
220672 161.625 0.00131430654419008
221184 162 0.00131464324039049
221696 162.375 0.00131498519000265
222208 162.75 0.0013153317788706
222720 163.125 0.00131568263497364
223232 163.5 0.00131603798082072
223744 163.875 0.00131639819642736
224256 164.25 0.00131676317576815
224768 164.625 0.00131713234008118
225280 165 0.00131750521811355
225792 165.375 0.00131788176273669
226304 165.75 0.00131826207732108
226816 166.125 0.00131864609062572
227328 166.5 0.00131903364175123
227840 166.875 0.00131942468279905
228352 167.25 0.00131981914713531
228864 167.625 0.00132021668655754
229376 168 0.0013206168191811
229888 168.375 0.00132101941267333
230400 168.75 0.00132142479047141
230912 169.125 0.00132183318527694
231424 169.5 0.00132224423633358
231936 169.875 0.00132265725508436
232448 170.25 0.00132307192519105
232960 170.625 0.0013234884856268
233472 171 0.00132390718265766
233984 171.375 0.00132432777112052
234496 171.75 0.00132474968948038
235008 172.125 0.00132517258574855
235520 172.5 0.00132559651553913
236032 172.875 0.00132602166864286
236544 173.25 0.0013264480032665
237056 173.625 0.00132687513665398
237568 174 0.00132730255862882
238080 174.375 0.0013277299929877
238592 174.75 0.00132815756275106
239104 175.125 0.00132858552556753
239616 175.5 0.00132901382943725
240128 175.875 0.00132944203380407
240640 176.25 0.00132986970468269
241152 176.625 0.00133029674181271
241664 177 0.00133072320321733
242176 177.375 0.00133114894729191
242688 177.75 0.0013315736841481
243200 178.125 0.00133199737218965
243712 178.5 0.00133242028000203
244224 178.875 0.0013328424476572
244736 179.25 0.00133326323982504
245248 179.625 0.00133368177545342
245760 180 0.00133409788842205
246272 180.375 0.00133451236505804
246784 180.75 0.00133492595351538
247296 181.125 0.00133533827622513
247808 181.5 0.0013357480543917
248320 181.875 0.0013361544133487
248832 182.25 0.00133655765888846
249344 182.625 0.00133695868156796
249856 183 0.0013373578865252
250368 183.375 0.00133775486039657
250880 183.75 0.00133814880437226
251392 184.125 0.00133853903980805
251904 184.5 0.00133892531769941
252416 184.875 0.00133930799101201
252928 185.25 0.00133968779664205
253440 185.625 0.00134006509643295
253952 186 0.0013404392686975
254464 186.375 0.00134080912571024
254976 186.75 0.00134117405578475
255488 187.125 0.00134153457993168
256000 187.5 0.00134189167643217
256512 187.875 0.00134224568509666
257024 188.25 0.00134259596697114
257536 188.625 0.0013429415347639
258048 189 0.00134328191676797
258560 189.375 0.00134361745395226
259072 189.75 0.00134394882506478
259584 190.125 0.00134427628862575
260096 190.5 0.0013445994130172
260608 190.875 0.00134491757055496
261120 191.25 0.00134523058505701
261632 191.625 0.00134553873980622
262144 192 0.00134584221650577
262656 192.375 0.00134614078440766
263168 192.75 0.00134643412785446
263680 193.125 0.0013467222632904
264192 193.5 0.00134700543582158
264704 193.875 0.00134728369290624
265216 194.25 0.0013475567524978
265728 194.625 0.00134782428794113
266240 195 0.00134808618581041
266752 195.375 0.00134834248193113
267264 195.75 0.00134859318834505
267776 196.125 0.0013488383057615
268288 196.5 0.00134907793000216
268800 196.875 0.00134931216988407
269312 197.25 0.00134954089864586
269824 197.625 0.00134976370080775
270336 198 0.00134998027685287
270848 198.375 0.00135019088878767
271360 198.75 0.00135039620041544
271872 199.125 0.00135059654246603
272384 199.5 0.00135079143657044
272896 199.875 0.00135098003527188
273408 200.25 0.00135116204892509
273920 200.625 0.00135133806938483
274432 201 0.0013515088747381
274944 201.375 0.00135167452593182
275456 201.75 0.00135183431402813
275968 202.125 0.00135198758341471
276480 202.5 0.00135213444320419
276992 202.875 0.00135227558867773
277504 203.25 0.00135241153189442
278016 203.625 0.00135254213639377
278528 204 0.00135266687587844
279040 204.375 0.00135278541551701
279552 204.75 0.00135289789015915
280064 205.125 0.00135300470284323
280576 205.5 0.00135310615212353
281088 205.875 0.00135320224205444
281600 206.25 0.00135329275153707
282112 206.625 0.00135337742610557
282624 207 0.00135345615875659
283136 207.375 0.00135352908998941
283648 207.75 0.00135359655235538
284160 208.125 0.00135365883056754
284672 208.5 0.00135371596261438
285184 208.875 0.00135376781461434
285696 209.25 0.00135381423996165
286208 209.625 0.00135385538379872
286720 210 0.0013538916052446
287232 210.375 0.00135392310950144
287744 210.75 0.00135394976433531
288256 211.125 0.00135397129476952
288768 211.5 0.00135398757395045
289280 211.875 0.00135399869334848
289792 212.25 0.00135400482980999
290304 212.625 0.0013540061048638
290816 213 0.00135400252762613
291328 213.375 0.00135399401618591
291840 213.75 0.00135398048976254
292352 214.125 0.0013539619659863
292864 214.5 0.00135393854837086
293376 214.875 0.0013539103226071
293888 215.25 0.00135387732622023
294400 215.625 0.00135383962491486
294912 216 0.00135379730987571
295424 216.375 0.00135375034891504
295936 216.75 0.00135369854250349
296448 217.125 0.00135364177337518
296960 217.5 0.00135358027419042
297472 217.875 0.00135351448354437
297984 218.25 0.00135344456806767
298496 218.625 0.00135337019976122
299008 219 0.00135329092572441
299520 219.375 0.00135320671832652
300032 219.75 0.00135311803548531
300544 220.125 0.0013530253203555
301056 220.5 0.00135292855962484
301568 220.875 0.00135282740787033
302080 221.25 0.00135272164457112
302592 221.625 0.00135261136256688
303104 222 0.00135249674570654
303616 222.375 0.00135237786218131
304128 222.75 0.00135225475716886
304640 223.125 0.0013521275733869
305152 223.5 0.00135199638936308
305664 223.875 0.00135186100874138
306176 224.25 0.00135172113394588
306688 224.625 0.00135157679691388
307200 225 0.00135142843370617
307712 225.375 0.00135127639979766
308224 225.75 0.0013511205154834
308736 226.125 0.00135096026399669
309248 226.5 0.0013507954396313
309760 226.875 0.00135062645271698
310272 227.25 0.00135045391016868
310784 227.625 0.00135027795624662
311296 228 0.00135009811927013
311808 228.375 0.00134991381914563
312320 228.75 0.00134972498465984
312832 229.125 0.00134953215950936
313344 229.5 0.00134933601978223
313856 229.875 0.0013491367768958
314368 230.25 0.00134893401007586
314880 230.625 0.00134872707208503
315392 231 0.00134851570969806
315904 231.375 0.00134830034085374
316416 231.75 0.00134808171648359
316928 232.125 0.00134786026320283
317440 232.5 0.00134763573590863
317952 232.875 0.00134740752806377
318464 233.25 0.00134717532500266
318976 233.625 0.00134693943491365
319488 234 0.001346700486444
320000 234.375 0.00134645885069085
320512 234.75 0.00134621439370753
321024 235.125 0.00134596675992628
321536 235.5 0.0013457158248089
322048 235.875 0.0013454618448039
322560 236.25 0.00134520521644302
323072 236.625 0.00134494615278965
323584 237 0.00134468459694051
324096 237.375 0.00134442040162482
324608 237.75 0.00134415356381223
325120 238.125 0.00134388430420233
325632 238.5 0.0013436129411674
326144 238.875 0.00134333967426754
326656 239.25 0.00134306447307512
327168 239.625 0.00134278719939165
327680 240 0.00134250787364598
328192 240.375 0.00134222680700966
328704 240.75 0.00134194441158386
329216 241.125 0.00134166085403416
329728 241.5 0.00134137594710095
330240 241.875 0.00134108945161674
330752 242.25 0.00134080148662869
331264 242.625 0.00134051257368662
331776 243 0.00134022322080229
332288 243.375 0.00133993348045311
332800 243.75 0.00133964298377649
333312 244.125 0.00133935144860645
333824 244.5 0.001339059122028
334336 244.875 0.00133876665908297
334848 245.25 0.00133847455105422
335360 245.625 0.0013381827315848
335872 246 0.00133789079714974
336384 246.375 0.0013375985725259
336896 246.75 0.00133730636914443
337408 247.125 0.00133701469158885
337920 247.5 0.00133672381161187
338432 247.875 0.00133643370147259
338944 248.25 0.00133614428247923
339456 248.625 0.00133585559183921
339968 249 0.00133556772545231
340480 249.375 0.0013352807746195
340992 249.75 0.00133499488524727
341504 250.125 0.00133471027809369
342016 250.5 0.00133442712090079
342528 250.875 0.001334145430003
343040 251.25 0.00133386516721345
343552 251.625 0.00133358638579625
344064 252 0.00133330920589873
344576 252.375 0.00133303369792286
345088 252.75 0.0013327599041595
345600 253.125 0.00133248796245918
346112 253.5 0.0013322180755108
346624 253.875 0.00133195031049172
347136 254.25 0.0013316845396653
347648 254.625 0.00133142066759768
348160 255 0.00133115884221231
348672 255.375 0.00133089932783593
349184 255.75 0.00133064220672963
349696 256.125 0.00133038734369254
350208 256.5 0.00133013467222579
350720 256.875 0.0013298843847258
351232 257.25 0.00132963673556054
351744 257.625 0.00132939171723708
352256 258 0.00132914906512704
352768 258.375 0.00132890861858563
353280 258.75 0.0013286705946096
353792 259.125 0.0013284354206004
354304 259.5 0.00132820329860744
354816 259.875 0.00132797399756005
355328 260.25 0.00132774712214957
355840 260.625 0.00132752257156123
356352 261 0.00132730067863535
356864 261.375 0.00132708187150839
357376 261.75 0.00132686624284033
357888 262.125 0.00132665351852561
358400 262.5 0.00132644344464383
358912 262.875 0.00132623611371159
359424 263.25 0.00132603184130515
359936 263.625 0.00132583077939443
360448 264 0.00132563278536521
360960 264.375 0.00132543771379927
361472 264.75 0.00132524571209102
361984 265.125 0.00132505708181119
362496 265.5 0.00132487188289292
363008 265.875 0.0013246898650127
363520 266.25 0.00132451088031014
364032 266.625 0.00132433521324269
364544 267 0.00132416331087861
365056 267.375 0.00132399523073691
365568 267.75 0.00132383057813172
366080 268.125 0.0013236690726783
366592 268.5 0.0013235110085967
367104 268.875 0.00132335698947878
367616 269.25 0.00132320727239274
368128 269.625 0.00132306154188924
368640 270 0.00132291935048916
369152 270.375 0.00132278065770952
369664 270.75 0.00132264587933386
370176 271.125 0.00132251548988643
370688 271.5 0.00132238964905475
371200 271.875 0.00132226816617357
371712 272.25 0.00132215073848402
372224 272.625 0.00132203722596287
372736 273 0.00132192778406825
373248 273.375 0.00132182278778889
373760 273.75 0.00132172258176502
374272 274.125 0.00132162721423961
374784 274.5 0.0013215363908171
375296 274.875 0.0013214497550031
375808 275.25 0.00132136727672413
376320 275.625 0.00132128934262425
376832 276 0.00132121640692897
377344 276.375 0.00132114855919144
377856 276.75 0.00132108548311353
378368 277.125 0.00132102682640224
378880 277.5 0.001320972544306
379392 277.875 0.00132092288749931
379904 278.25 0.00132087815369536
380416 278.625 0.00132083848861585
380928 279 0.00132080382113049
381440 279.375 0.001320773890009
381952 279.75 0.00132074839919408
382464 280.125 0.00132072728894501
382976 280.5 0.00132071086606841
383488 280.875 0.00132069954626097
384000 281.25 0.00132069340563869
384512 281.625 0.0013206920571299
385024 282 0.00132069503418404
385536 282.375 0.00132070225051654
386048 282.75 0.00132071401914401
386560 283.125 0.00132073065951331
387072 283.5 0.00132075217287517
387584 283.875 0.00132077829810132
388096 284.25 0.00132080878885842
388608 284.625 0.00132084357997233
389120 285 0.00132088273120144
389632 285.375 0.0013209262845784
390144 285.75 0.00132097419629652
390656 286.125 0.00132102638130467
391168 286.5 0.00132108279582129
391680 286.875 0.00132114345070295
392192 287.25 0.00132120832137975
392704 287.625 0.00132127725649733
393216 288 0.001321350029933
393728 288.375 0.0013214265238806
394240 288.75 0.00132150683578977
394752 289.125 0.00132159114842842
395264 289.5 0.00132167948666421
395776 289.875 0.00132177160784421
396288 290.25 0.00132186718652097
396800 290.625 0.00132196610665238
397312 291 0.00132206850635879
397824 291.375 0.00132217456194005
398336 291.75 0.00132228426719553
398848 292.125 0.00132239741268934
399360 292.5 0.00132251375837693
399872 292.875 0.00132263319131074
400384 293.25 0.00132275570634041
400896 293.625 0.00132288126817346
401408 294 0.00132300974297272
401920 294.375 0.00132314098198804
402432 294.75 0.00132327493615044
402944 295.125 0.00132341163437177
403456 295.5 0.00132355103455024
403968 295.875 0.00132369293798707
404480 296.25 0.00132383710092292
404992 296.625 0.00132398342854895
405504 297 0.00132413200995327
406016 297.375 0.00132428293427885
406528 297.75 0.00132443610577297
407040 298.125 0.00132459128384302
407552 298.5 0.00132474829017017
408064 298.875 0.00132490712076293
408576 299.25 0.00132506784202838
409088 299.625 0.00132523042938392
409600 300 0.00132539474847355
410112 300.375 0.00132556066502531
410624 300.75 0.00132572812237127
411136 301.125 0.00132589711545586
411648 301.5 0.00132606763234474
412160 301.875 0.00132623963003085
412672 302.25 0.00132641303266725
413184 302.625 0.00132658773910578
413696 303 0.00132676366298369
414208 303.375 0.00132694078676835
414720 303.75 0.00132711915094661
415232 304.125 0.00132729876250449
415744 304.5 0.00132747953361369
416256 304.875 0.0013276613446409
416768 305.25 0.00132784415582609
417280 305.625 0.00132802801467335
417792 306 0.00132821294948504
418304 306.375 0.00132839889780101
418816 306.75 0.00132858575972958
419328 307.125 0.00132877348895248
419840 307.5 0.00132896210483807
420352 307.875 0.00132915164356252
420864 308.25 0.00132934213146215
421376 308.625 0.00132953357787302
421888 309 0.00132972593706878
422400 309.375 0.00132991908495358
422912 309.75 0.00133011290718739
423424 310.125 0.0013303074459416
423936 310.5 0.00133050290375076
424448 310.875 0.00133069943623188
424960 311.25 0.00133089695617369
425472 311.625 0.00133109520410238
425984 312 0.00133129402185152
426496 312.375 0.00133149350775866
427008 312.75 0.00133169388404688
427520 313.125 0.00133189525999609
428032 313.5 0.00133209756425669
428544 313.875 0.0013323006691749
429056 314.25 0.00133250451058046
429568 314.625 0.00133270908432847
430080 315 0.00133291440027356
430592 315.375 0.0013331204932136
431104 315.75 0.00133332744305561
431616 316.125 0.0013335353082155
432128 316.5 0.00133374401938357
432640 316.875 0.00133395339343412
433152 317.25 0.00133416330582102
433664 317.625 0.00133437383542546
434176 318 0.00133458518039794
434688 318.375 0.0013347974038456
435200 318.75 0.00133501030036603
435712 319.125 0.00133522356737071
436224 319.5 0.00133543710969117
436736 319.875 0.00133565112245134
437248 320.25 0.00133586583310945
437760 320.625 0.00133608118328712
438272 321 0.00133629681550041
438784 321.375 0.00133651238360238
439296 321.75 0.00133672783864142
439808 322.125 0.00133694338813157
440320 322.5 0.00133715920552734
440832 322.875 0.00133737521000059
441344 323.25 0.00133759109983744
441856 323.625 0.00133780654463332
442368 324 0.00133802135142679
442880 324.375 0.00133823551839041
443392 324.75 0.00133844917289748
