# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
53760 39.375 1.01461724509894e-06 1.01459643909345e-06 1.01462258404158e-06
54272 39.75 1.00090417539832e-06 1.00089412848391e-06 1.00090935063341e-06
54784 40.125 9.90987218809176e-07 9.9096598208811e-07 9.90980414987362e-07
55296 40.5 1.00214924285135e-06 1.00213382763187e-06 1.0021545926333e-06
55808 40.875 1.04019048464704e-06 1.04017487870848e-06 1.04018731565514e-06
56320 41.25 1.05465285975925e-06 1.05463301162529e-06 1.05464246262232e-06
56832 41.625 1.0533722504661e-06 1.05336626359073e-06 1.0533778522787e-06
57344 42 1.03831919512024e-06 1.03832603318257e-06 1.03833277992038e-06
57856 42.375 1.00748424098068e-06 1.00748873645294e-06 1.00749134079007e-06
58368 42.75 9.74686662145557e-07 9.7468754345115e-07 9.74681397333451e-07
58880 43.125 9.54493115523559e-07 9.54479894860082e-07 9.54493061759142e-07
59392 43.5 9.52176016972465e-07 9.5216432011821e-07 9.52177258649275e-07
59904 43.875 9.59507419466916e-07 9.59515862859854e-07 9.59549131964997e-07
60416 44.25 9.57300818022974e-07 9.57312175348662e-07 9.57342697216335e-07
60928 44.625 9.4877028913582e-07 9.48778261140644e-07 9.48805327253704e-07
61440 45 9.42512267806528e-07 9.42509392344987e-07 9.42537765654659e-07
61952 45.375 9.29189814488989e-07 9.2917931198428e-07 9.29191293112702e-07
62464 45.75 9.13105747408991e-07 9.13078502168435e-07 9.13084074066354e-07
62976 46.125 9.1650396896819e-07 9.16488045712073e-07 9.16507881896477e-07
63488 46.5 9.28897830086431e-07 9.28893928278428e-07 9.28912050790003e-07
64000 46.875 9.45316118122062e-07 9.45303273277795e-07 9.4531040793056e-07
64512 47.25 9.47388350426766e-07 9.47369384476131e-07 9.47371574325719e-07
65024 47.625 9.2691259807923e-07 9.26887881261663e-07 9.26886130668535e-07
65536 48 9.01936197552689e-07 9.0190967183203e-07 9.0188112439008e-07
66048 48.375 9.01073166025737e-07 9.01046965191891e-07 9.0104022295723e-07
66560 48.75 9.05960912126336e-07 9.05953859134974e-07 9.05966723844013e-07
67072 49.125 9.04854346762713e-07 9.04866997898325e-07 9.04866134575608e-07
67584 49.5 9.14540674556348e-07 9.14539184514202e-07 9.14541455296675e-07
68096 49.875 9.21874413618539e-07 9.21877948832889e-07 9.21885096795906e-07
68608 50.25 9.16191294795834e-07 9.16223902748196e-07 9.16232690768078e-07
69120 50.625 9.19140539903211e-07 9.19168965096587e-07 9.19169849011819e-07
69632 51 9.41133026044296e-07 9.41148853837968e-07 9.41130875103334e-07
70144 51.375 9.8132612791953e-07 9.81350571018404e-07 9.81325041472499e-07
70656 51.75 1.00287978140683e-06 1.00289821712211e-06 1.00288407754988e-06
71168 52.125 1.00090637695184e-06 1.00091360291275e-06 1.00089605643202e-06
71680 52.5 9.91043295466131e-07 9.91036427420597e-07 9.90974532908528e-07
72192 52.875 9.77439488541224e-07 9.77428584504122e-07 9.77350560713458e-07
72704 53.25 9.59194256522495e-07 9.5915239046093e-07 9.59057437700507e-07
73216 53.625 9.45514265751491e-07 9.45478140375089e-07 9.45372823577697e-07
73728 54 9.58301529614254e-07 9.58243232251995e-07 9.58166958650502e-07
74240 54.375 9.76554214129186e-07 9.76508185509739e-07 9.76464580109048e-07
74752 54.75 9.66471368539159e-07 9.66440145292915e-07 9.66407769164283e-07
75264 55.125 9.32180841871153e-07 9.32162196324632e-07 9.32129744274034e-07
75776 55.5 9.12840062440456e-07 9.12833332869861e-07 9.12798560372372e-07
76288 55.875 8.98987074045261e-07 8.98995064331628e-07 8.98971915201678e-07
76800 56.25 8.88552792960636e-07 8.88591004987563e-07 8.88598771244779e-07
77312 56.625 8.88325862984017e-07 8.88333658178611e-07 8.88369527098757e-07
77824 57 9.14087923963393e-07 9.1406889822372e-07 9.14102358528415e-07
78336 57.375 9.26578904868519e-07 9.26596412707255e-07 9.26608285942797e-07
78848 57.75 9.12699381598145e-07 9.12748293307756e-07 9.12759585072812e-07
79360 58.125 8.90681398750905e-07 8.907264221587e-07 8.90745412054633e-07
79872 58.5 8.79554265435039e-07 8.79579302095985e-07 8.79565341062837e-07
80384 58.875 8.77524494433724e-07 8.77586738342368e-07 8.77561844309951e-07
80896 59.25 8.71052078128998e-07 8.71139709819009e-07 8.71119622684875e-07
81408 59.625 8.62341857691216e-07 8.62406332746127e-07 8.62407003885604e-07
81920 60 8.60232580656115e-07 8.60336190753804e-07 8.60334328959141e-07
82432 60.375 8.59577932621175e-07 8.59683723415046e-07 8.59680979251755e-07
82944 60.75 8.5175666089558e-07 8.51831052078045e-07 8.51853106047759e-07
83456 61.125 8.48722381534893e-07 8.48829167069336e-07 8.48841902651094e-07
83968 61.5 8.63199718937826e-07 8.63300393253659e-07 8.63323191139931e-07
84480 61.875 8.74998513963683e-07 8.75122069002257e-07 8.75125705315948e-07
84992 62.25 8.82550931027734e-07 8.82670715025987e-07 8.8265620581323e-07
85504 62.625 8.83690703779183e-07 8.83821340012446e-07 8.83796227787446e-07
86016 63 8.74159213203831e-07 8.74315364246939e-07 8.74265894644349e-07
86528 63.375 8.58666018168048e-07 8.58802211802469e-07 8.58742680529218e-07
87040 63.75 8.44728431503027e-07 8.448328063296e-07 8.44761974822601e-07
87552 64.125 8.36149883873477e-07 8.36240993015067e-07 8.36232742589076e-07
88064 64.5 8.30479209744395e-07 8.30596309839959e-07 8.30593491032204e-07
88576 64.875 8.29792023555183e-07 8.2993135846196e-07 8.29955481088523e-07
89088 65.25 8.36273054802422e-07 8.36404214100152e-07 8.36412367939112e-07
89600 65.625 8.44542425714942e-07 8.44691828987201e-07 8.44653137844688e-07
90112 66 8.69197559257972e-07 8.69363712851168e-07 8.69321165994488e-07
90624 66.375 8.96365474344722e-07 8.96507878893318e-07 8.96477513416013e-07
91136 66.75 9.07596518862705e-07 9.07710954891966e-07 9.0768758798888e-07
91648 67.125 9.08936641414668e-07 9.09018398232839e-07 9.08996234958258e-07
92160 67.5 8.99357479341919e-07 8.99440998529021e-07 8.99429441235277e-07
92672 67.875 8.91843632119283e-07 8.91965478015969e-07 8.91957817373189e-07
93184 68.25 8.7716037243181e-07 8.77275013799976e-07 8.7725351749528e-07
93696 68.625 8.69273045738923e-07 8.69398125216426e-07 8.69355492831944e-07
94208 69 8.67122063838195e-07 8.67211540358362e-07 8.67151333365805e-07
94720 69.375 8.60927285839431e-07 8.6098106968188e-07 8.60948548407256e-07
95232 69.75 8.71856124605228e-07 8.71935464920267e-07 8.71924462524359e-07
95744 70.125 8.79703502813301e-07 8.79792153081962e-07 8.79783874921754e-07
96256 70.5 8.92568494719304e-07 8.92662222362035e-07 8.92627695116553e-07
96768 70.875 8.91562146147509e-07 8.9165846677748e-07 8.91622494135437e-07
97280 71.25 8.87023589592193e-07 8.87106290108442e-07 8.87099862139324e-07
97792 71.625 8.81211785346804e-07 8.81295330206861e-07 8.81280848632056e-07
98304 72 8.71964603630669e-07 8.72072609131289e-07 8.72053748285397e-07
98816 72.375 8.66115502050523e-07 8.6624883562843e-07 8.66212628995797e-07
99328 72.75 8.75610235506236e-07 8.75726107529353e-07 8.75696148967193e-07
99840 73.125 8.89627045801221e-07 8.89710565441237e-07 8.89692823840567e-07
100352 73.5 8.94074252735636e-07 8.94173937716459e-07 8.94150769762457e-07
100864 73.875 8.85419192922594e-07 8.85528547116602e-07 8.85558820294723e-07
101376 74.25 8.76638663393171e-07 8.76755731044888e-07 8.76756001775392e-07
101888 74.625 8.73923929391553e-07 8.74030982875155e-07 8.74040513289951e-07
102400 75 8.79172873726235e-07 8.79285888107472e-07 8.79276569043645e-07
102912 75.375 8.72956672836045e-07 8.73057280073292e-07 8.73050595972985e-07
103424 75.75 8.64892360794977e-07 8.65033052842123e-07 8.64994777345659e-07
103936 76.125 8.58813968896292e-07 8.58974680833246e-07 8.58935355762937e-07
104448 76.5 8.46575721816809e-07 8.46674235221356e-07 8.46719296546086e-07
104960 76.875 8.42376110789869e-07 8.42468211353055e-07 8.42548130365883e-07
105472 77.25 8.36622696024216e-07 8.3671255451745e-07 8.36778369934971e-07
105984 77.625 8.39264170231397e-07 8.39357766232649e-07 8.3942123305839e-07
106496 78 8.36312825015478e-07 8.36434667675517e-07 8.36465454537895e-07
107008 78.375 8.31234043515224e-07 8.31385565891701e-07 8.31365696586861e-07
107520 78.75 8.22532573244709e-07 8.22738700112161e-07 8.22692646209578e-07
108032 79.125 8.10311241888903e-07 8.10537187562779e-07 8.10532953806672e-07
108544 79.5 8.05344462637547e-07 8.05497324857941e-07 8.05545032391224e-07
109056 79.875 7.96366112161494e-07 7.96536654013547e-07 7.96585530455807e-07
109568 80.25 7.88280185254563e-07 7.88478142728089e-07 7.88548037403351e-07
110080 80.625 7.80708819493908e-07 7.80889945864597e-07 7.80982054220987e-07
110592 81 7.71167023371008e-07 7.71311695511572e-07 7.71422983146406e-07
111104 81.375 7.61588638610743e-07 7.61752612387198e-07 7.61871650527958e-07
111616 81.75 7.45495178781542e-07 7.4568806857966e-07 7.45778049499496e-07
112128 82.125 7.2780029968671e-07 7.27961748822014e-07 7.28075206564974e-07
112640 82.5 7.17117559778203e-07 7.17273008910043e-07 7.17347657197823e-07
113152 82.875 7.06142167312096e-07 7.06298929119436e-07 7.06339100475487e-07
113664 83.25 7.0260700114164e-07 7.02789804312189e-07 7.02836843978297e-07
114176 83.625 6.99780138897419e-07 6.99930969848939e-07 6.99974135749138e-07
114688 84 6.98310398421565e-07 6.98414039815303e-07 6.98420763788199e-07
115200 84.375 6.90513223367838e-07 6.90585305811522e-07 6.90574572324688e-07
115712 84.75 6.75650751281248e-07 6.75774617915827e-07 6.75740431816782e-07
116224 85.125 6.60092320307192e-07 6.60223531903609e-07 6.60224919567584e-07
116736 85.5 6.45947757846085e-07 6.46114715341889e-07 6.46164192731954e-07
117248 85.875 6.24206827471405e-07 6.24361782679889e-07 6.24373193007948e-07
117760 86.25 6.13443412416536e-07 6.13599013624539e-07 6.13545742606201e-07
118272 86.625 6.06493955363703e-07 6.0663673714173e-07 6.06591976126519e-07
118784 87 5.96000437483345e-07 5.96119983108583e-07 5.96085173160796e-07
119296 87.375 5.82917986282727e-07 5.83017599892715e-07 5.82975069446964e-07
119808 87.75 5.74612083472042e-07 5.74769238860598e-07 5.74684971042938e-07
120320 88.125 5.72739937961396e-07 5.72919828354627e-07 5.72837207909272e-07
120832 88.5 5.74217488227607e-07 5.74373849714391e-07 5.74374926218539e-07
121344 88.875 5.74801910492362e-07 5.74937814622977e-07 5.74958171812676e-07
121856 89.25 5.67740153996045e-07 5.67891821238824e-07 5.67819900001308e-07
122368 89.625 5.58246728663744e-07 5.58419039045199e-07 5.58312284108038e-07
122880 90 5.46346044728926e-07 5.46494116596259e-07 5.46358795717122e-07
123392 90.375 5.3197536569929e-07 5.32131800557829e-07 5.32005222584211e-07
123904 90.75 5.21832199167932e-07 5.22035852555136e-07 5.21938822785668e-07
124416 91.125 5.23094772662647e-07 5.233070700589e-07 5.23225445315007e-07
124928 91.5 5.27334842730274e-07 5.27483727017141e-07 5.27382810490297e-07
125440 91.875 5.27887832205347e-07 5.28007074843075e-07 5.27900807230033e-07
125952 92.25 5.20460468985386e-07 5.20573906720731e-07 5.2047639880528e-07
126464 92.625 5.03115984174307e-07 5.03234750325857e-07 5.03120369716081e-07
126976 93 4.9640605611394e-07 4.96563814524506e-07 4.96454813917619e-07
127488 93.375 4.97925584379325e-07 4.98095072512706e-07 4.97997952713569e-07
128000 93.75 5.02067375449548e-07 5.02190140153842e-07 5.02120367020746e-07
128512 94.125 5.05082881027379e-07 5.05140844279176e-07 5.05077272493155e-07
129024 94.5 5.02197981422437e-07 5.02269539941162e-07 5.02210971793134e-07
129536 94.875 4.84958942150326e-07 4.85013326958157e-07 4.84960138233574e-07
130048 95.25 4.70574895575007e-07 4.70649884129292e-07 4.70614420801007e-07
130560 95.625 4.65154306917285e-07 4.65238252948348e-07 4.65184570758247e-07
131072 96 4.69807351355794e-07 4.69909570706213e-07 4.6983973412371e-07
131584 96.375 4.75076893770187e-07 4.75217646622643e-07 4.75170658874519e-07
132096 96.75 4.78082558450372e-07 4.78150457412314e-07 4.78113526782756e-07
132608 97.125 4.72509999403497e-07 4.72559343120772e-07 4.72496706379366e-07
133120 97.5 4.69311415263085e-07 4.69290292029207e-07 4.692519282627e-07
133632 97.875 4.65145331132318e-07 4.6508652339707e-07 4.65084730665772e-07
134144 98.25 4.55378316511956e-07 4.55379118382322e-07 4.55377960807969e-07
134656 98.625 4.47889191427964e-07 4.47887739287019e-07 4.47921087869766e-07
135168 99 4.48018845412116e-07 4.47947824555813e-07 4.47973521378693e-07
135680 99.375 4.49679265906706e-07 4.49593145642883e-07 4.49612398285141e-07
136192 99.75 4.484361099782e-07 4.48366951012749e-07 4.48371470901699e-07
136704 100.125 4.46147660130833e-07 4.46075739867103e-07 4.46141885902661e-07
137216 100.5 4.42366187234048e-07 4.42320952932162e-07 4.42405339207225e-07
137728 100.875 4.36317181362655e-07 4.36281119753311e-07 4.36364989005566e-07
138240 101.25 4.38657591774458e-07 4.3863924131043e-07 4.38700489755925e-07
138752 101.625 4.44262923292534e-07 4.44196173426162e-07 4.44225513780801e-07
139264 102 4.44539929105657e-07 4.44519048933829e-07 4.44526259231895e-07
139776 102.375 4.39491001849662e-07 4.39505603215895e-07 4.39592426522673e-07
140288 102.75 4.32209841904973e-07 4.32209193997606e-07 4.32346901330275e-07
140800 103.125 4.21819681470382e-07 4.21781529296181e-07 4.21932658531871e-07
141312 103.5 4.09281831548861e-07 4.09136241588986e-07 4.09350853322837e-07
141824 103.875 4.07246903622848e-07 4.07078770727356e-07 4.07331356119865e-07
142336 104.25 4.16871563628341e-07 4.16842120544508e-07 4.17047911625588e-07
142848 104.625 4.22918649096662e-07 4.2292253858611e-07 4.23139439379695e-07
143360 105 4.24518907892193e-07 4.24555094087165e-07 4.24732833689505e-07
143872 105.375 4.2482167947799e-07 4.24859707342934e-07 4.25058169874231e-07
144384 105.75 4.19249285026768e-07 4.19320728030793e-07 4.19537248019921e-07
144896 106.125 4.19757478600237e-07 4.19779906854607e-07 4.20004483591768e-07
145408 106.5 4.24984018563036e-07 4.25002059418782e-07 4.25196827485416e-07
145920 106.875 4.31401307372006e-07 4.3145517260613e-07 4.31580571712487e-07
146432 107.25 4.32854041495154e-07 4.32911917432264e-07 4.3301499607683e-07
146944 107.625 4.29576575975343e-07 4.2959431065546e-07 4.29763401442648e-07
147456 108 4.2456761704532e-07 4.24686073416583e-07 4.24831109600631e-07
147968 108.375 4.15062360216245e-07 4.15205959903888e-07 4.15319999707668e-07
148480 108.75 4.09849921641206e-07 4.10038370833217e-07 4.10130743749679e-07
148992 109.125 4.11430072388978e-07 4.11617940971271e-07 4.11699035419828e-07
149504 109.5 4.13313295277151e-07 4.13534208477465e-07 4.13580292647071e-07
150016 109.875 4.1384333960265e-07 4.1410238138205e-07 4.14127252605835e-07
150528 110.25 4.14160754400912e-07 4.14418934725591e-07 4.14437910227027e-07
151040 110.625 4.07511668970235e-07 4.07738174704051e-07 4.07725019124928e-07
151552 111 4.0271403264271e-07 4.02876190101738e-07 4.02834086213667e-07
152064 111.375 4.07061497033457e-07 4.072360316471e-07 4.07205462215678e-07
152576 111.75 4.127927112609e-07 4.13069967343373e-07 4.1306451097255e-07
153088 112.125 4.17456290106261e-07 4.17726404384271e-07 4.1772427468956e-07
153600 112.5 4.20021496487489e-07 4.20261208490408e-07 4.20250103891701e-07
154112 112.875 4.18344884043319e-07 4.18582395160276e-07 4.18509997919098e-07
154624 113.25 4.13766971020928e-07 4.14112414926385e-07 4.14012972888789e-07
155136 113.625 4.07759047737202e-07 4.08098069286428e-07 4.07995622566113e-07
155648 114 4.06440061205596e-07 4.06678318657925e-07 4.06565414613743e-07
156160 114.375 4.05123779671236e-07 4.05251059756353e-07 4.05130988239524e-07
156672 114.75 4.04313780562199e-07 4.04410579609872e-07 4.04316479668014e-07
157184 115.125 4.04574255306386e-07 4.04699403000026e-07 4.04611925080921e-07
157696 115.5 4.00975422007782e-07 4.01062786377979e-07 4.00962011945227e-07
158208 115.875 3.96273452903963e-07 3.96359071405577e-07 3.96225156033303e-07
158720 116.25 3.91093473836498e-07 3.91194220779198e-07 3.91088679584586e-07
159232 116.625 3.89879069161958e-07 3.89950498622639e-07 3.89869928961784e-07
159744 117 3.92508234517117e-07 3.92572095593699e-07 3.92492709027681e-07
160256 117.375 3.96587988103947e-07 3.96733846070014e-07 3.96613770785645e-07
160768 117.75 3.99579922467517e-07 3.99756694973981e-07 3.99682169946996e-07
161280 118.125 3.99330639831291e-07 3.99398808256675e-07 3.99384854211696e-07
161792 118.5 3.98754916817286e-07 3.98800289715628e-07 3.98742024278239e-07
162304 118.875 3.95510041895735e-07 3.95591523168833e-07 3.95499128850351e-07
