# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
31232 22.875 2.64398829415691e-05 2.64391007361613e-05 2.64388720081227e-05
31744 23.25 2.58160901968494e-05 2.58168269683027e-05 2.5816833500526e-05
32256 23.625 2.88324700645045e-05 2.88325157426818e-05 2.88327173849819e-05
32768 24 2.49384091867398e-05 2.49377454352748e-05 2.49380041715578e-05
33280 24.375 1.85780948953575e-05 1.85737568586199e-05 1.85756476300468e-05
33792 24.75 2.06505387458397e-05 2.0650684224231e-05 2.0650771812356e-05
34304 25.125 2.14456566894872e-05 2.14461435270741e-05 2.14463969507969e-05
34816 25.5 1.99424098858853e-05 1.99427982041473e-05 1.99428732708465e-05
35328 25.875 1.98903154043268e-05 1.98904947904309e-05 1.98905931217026e-05
35840 26.25 2.22722056741874e-05 2.22723725447051e-05 2.22724005189204e-05
36352 26.625 2.5718041202954e-05 2.57180361672895e-05 2.57178382353185e-05
36864 27 3.0310600161403e-05 3.03106788099878e-05 3.0310434738268e-05
37376 27.375 3.16129499376528e-05 3.16127440899671e-05 3.16125621270318e-05
37888 27.75 2.95511640972435e-05 2.95505139463968e-05 2.95507460952464e-05
38400 28.125 2.72228191194572e-05 2.72221595634221e-05 2.72227569250224e-05
38912 28.5 2.7398756984309e-05 2.73986992437777e-05 2.73988151782754e-05
39424 28.875 2.91009849838931e-05 2.91014288176846e-05 2.91014145400867e-05
39936 29.25 3.00803277261053e-05 3.00807409874848e-05 3.00807116107782e-05
40448 29.625 2.93184500698859e-05 2.93185522795112e-05 2.93189177373685e-05
40960 30 2.8064179425747e-05 2.80642069162184e-05 2.80648205757458e-05
41472 30.375 2.72021818710059e-05 2.72023847135923e-05 2.72027510818519e-05
41984 30.75 2.59416711757888e-05 2.59420447230008e-05 2.59417051955059e-05
42496 31.125 2.66617502178361e-05 2.66617016784579e-05 2.66617451648593e-05
43008 31.5 3.01038242204175e-05 3.01037154825071e-05 3.01036245006358e-05
43520 31.875 2.99123196107002e-05 2.99121251848605e-05 2.99119165400724e-05
44032 32.25 2.55902750489433e-05 2.55900099952649e-05 2.55897632456202e-05
44544 32.625 2.56696969301118e-05 2.56700227064445e-05 2.56702557246677e-05
45056 33 2.13097358535982e-05 2.1310036429275e-05 2.13100377851368e-05
45568 33.375 1.82964202946923e-05 1.82978557432797e-05 1.82979087454692e-05
46080 33.75 1.7417581289992e-05 1.74162746958829e-05 1.74169963228359e-05
46592 34.125 1.68698571419291e-05 1.68709359390621e-05 1.68696856949042e-05
47104 34.5 1.61845636744532e-05 1.61856422940485e-05 1.61847005553497e-05
47616 34.875 1.55379442442771e-05 1.55383606017141e-05 1.55378591418783e-05
48128 35.25 1.68744624172825e-05 1.68739607262131e-05 1.68737378097032e-05
48640 35.625 1.99331511489926e-05 1.99319648600036e-05 1.99319535345541e-05
49152 36 2.20061354862088e-05 2.2004896192657e-05 2.20052151823357e-05
49664 36.375 2.07814387817332e-05 2.07810543621751e-05 2.07816016580709e-05
50176 36.75 1.63800953527883e-05 1.63811560874581e-05 1.63815265800797e-05
