# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.66986122441249
512 0.5 0.669881492213906
1024 1 0.669946039916552
1536 1.5 0.670056519749409
2048 2 0.670201280747764
2560 2.5 0.670361460799627
3072 3 0.670520074473673
3584 3.5 0.670667667749391
4096 4 0.67080141248452
4608 4.5 0.670918808617961
5120 5 0.671013629720797
5632 5.5 0.671077322112103
6144 6 0.671103490548777
6656 6.5 0.671092018097187
7168 7 0.671049836509087
7680 7.5 0.670988753979477
8192 8 0.670922754137584
8704 8.5 0.670864956565185
9216 9 0.670821469711746
9728 9.5 0.670783097020413
10240 10 0.670725196941982
10752 10.5 0.670625409363436
11264 11 0.670488408453053
11776 11.5 0.670348136415509
12288 12 0.670236176992153
12800 12.5 0.670149417410561
13312 13 0.670058869802257
13824 13.5 0.669949357241438
14336 14 0.669835476839849
14848 14.5 0.669733473725182
15360 15 0.669634890698098
15872 15.5 0.669523077049733
16384 16 0.669404050824281
16896 16.5 0.669300356564756
17408 17 0.669216799308413
17920 17.5 0.669131905957849
18432 18 0.669027962015426
18944 18.5 0.6689141116954
19456 19 0.668811277163965
19968 19.5 0.668725084578464
20480 20 0.668644536587921
20992 20.5 0.668562308300907
21504 21 0.668486171036563
22016 21.5 0.668430843455451
22528 22 0.668405918918733
23040 22.5 0.668413065528746
23552 23 0.668448642604589
24064 23.5 0.668503472841457
24576 24 0.668560644618397
25088 24.5 0.668598900420676
25600 25 0.668604595177681
26112 25.5 0.668583765859584
26624 26 0.668560319772674
27136 26.5 0.668557175979732
27648 27 0.668576497415115
28160 27.5 0.668599147562924
28672 28 0.668603526583108
29184 28.5 0.668583516444347
29696 29 0.668549512977138
30208 29.5 0.66851655423649
30720 30 0.668492536761168
31232 30.5 0.668473060722329
31744 31 0.668443999944284
32256 31.5 0.668392302180572
32768 32 0.668319332148554
33280 32.5 0.668243099368202
33792 33 0.668183102480386
34304 33.5 0.66814155420782
34816 34 0.668101403233988
35328 34.5 0.668043709575218
35840 35 0.667966177112992
36352 35.5 0.667884897186465
36864 36 0.66781910355963
37376 36.5 0.667773725949393
37888 37 0.667735119151987
38400 37.5 0.667683842533106
38912 38 0.667613462598852
39424 38.5 0.6675375275839
39936 39 0.66747651381007
40448 39.5 0.667436550736694
40960 40 0.667402086669259
41472 40.5 0.667351778464223
41984 41 0.667281717098829
42496 41.5 0.667210070389203
43008 42 0.667156568007889
43520 42.5 0.667119724826013
44032 43 0.667078998893431
44544 43.5 0.667019711844258
45056 44 0.666950001451817
45568 44.5 0.666888808237027
46080 45 0.666841241671003
46592 45.5 0.666793639377261
47104 46 0.666733420848263
47616 46.5 0.666665540599143
48128 47 0.666603585782075
48640 47.5 0.666549620680243
49152 48 0.666491676918105
49664 48.5 0.666421604499385
50176 49 0.666347234823469
50688 49.5 0.66628170168399
51200 50 0.66622514369379
51712 50.5 0.666164125699036
52224 51 0.666089410144226
52736 51.5 0.666008165933176
53248 52 0.665934678388113
53760 52.5 0.665872031342618
54272 53 0.665808484737507
54784 53.5 0.665732663734279
55296 54 0.665647445021536
55808 54.5 0.665565042520751
56320 55 0.665491119061456
56832 55.5 0.665419426001005
57344 56 0.66534245040944
57856 56.5 0.665261353102678
58368 57 0.665181682903192
58880 57.5 0.665103614236388
59392 58 0.665022563668735
59904 58.5 0.664938218691388
60416 59 0.664856344923185
60928 59.5 0.664779896995449
61440 60 0.664703970921458
61952 60.5 0.664623557074869
62464 61 0.664542349467116
62976 61.5 0.664468251360509
63488 62 0.664401645345941
64000 62.5 0.664334197456298
64512 63 0.664260335294305
65024 63.5 0.664184560045084
65536 64 0.664114516210591
66048 64.5 0.664051221809205
66560 65 0.663990801196322
67072 65.5 0.663933089103485
67584 66 0.663882192471817
68096 66.5 0.663838070702298
68608 67 0.663793265600329
69120 67.5 0.663741136055765
69632 68 0.663684160208093
70144 68.5 0.663630846489886
70656 69 0.663586387717745
71168 69.5 0.663549373560749
71680 70 0.663515896704153
72192 70.5 0.66348279471247
72704 71 0.663447223124775
73216 71.5 0.663407653922164
73728 72 0.663367323914166
74240 72.5 0.663333569477295
74752 73 0.663310593323968
75264 73.5 0.663293877132878
75776 74 0.663274273688323
76288 74.5 0.663247686121657
76800 75 0.66321916819087
77312 75.5 0.663197353712858
77824 76 0.66318590400084
78336 76.5 0.663180456539995
78848 77 0.66317315749268
79360 77.5 0.663160308051301
79872 78 0.663146197991845
80384 78.5 0.663138869511258
80896 79 0.663141167375807
81408 79.5 0.663146927174971
81920 80 0.663147986983256
82432 80.5 0.663144481945804
82944 81 0.663145101806051
83456 81.5 0.663155945499852
83968 82 0.663172209323866
84480 82.5 0.663184224889547
84992 83 0.663190311146414
85504 83.5 0.663199219869152
86016 84 0.663218620695331
86528 84.5 0.66324484672706
87040 85 0.663267450477478
87552 85.5 0.663282470847411
88064 86 0.663297184995783
88576 86.5 0.663320656137697
89088 87 0.663352520592961
89600 87.5 0.663383869386677
90112 88 0.66340835838848
90624 88.5 0.663429500741815
91136 89 0.663455769590861
91648 89.5 0.663490245211535
92160 90 0.663527397809979
92672 90.5 0.663560167092236
93184 91 0.663588157400078
93696 91.5 0.663617291183151
94208 92 0.663652252008764
94720 92.5 0.663691364220155
95232 93 0.663729421783914
95744 93.5 0.663763841165663
96256 94 0.663796589479716
96768 94.5 0.66383096100596
97280 95 0.663868242543402
97792 95.5 0.663907450203139
98304 96 0.663946632405256
98816 96.5 0.663983966263293
99328 97 0.664019086452938
99840 97.5 0.664054170809824
100352 98 0.664092344370853
100864 98.5 0.664133788606278
101376 99 0.664174629673825
101888 99.5 0.664211398808945
102400 100 0.664245801115234
102912 100.5 0.664282877618641
103424 101 0.664324481166977
103936 101.5 0.664366880227159
104448 102 0.664405681778062
104960 102.5 0.664441207369683
105472 103 0.6644774706166
105984 103.5 0.66451701752426
106496 104 0.664558507904542
107008 104.5 0.66459895954295
107520 105 0.664636848481366
108032 105.5 0.664672912511301
108544 106 0.664709042370835
109056 106.5 0.664746734183732
109568 107 0.664785960852282
110080 107.5 0.664825232250548
110592 108 0.664863028636787
111104 108.5 0.66489918742355
111616 109 0.66493469095485
112128 109.5 0.664970411194834
112640 110 0.665006521694615
113152 110.5 0.665042792450715
113664 111 0.665078709154979
114176 111.5 0.665113438471176
114688 112 0.665146593459317
115200 112.5 0.665179228392342
115712 113 0.665213139962688
116224 113.5 0.665248571623117
116736 114 0.665283331700877
117248 114.5 0.665315162482365
117760 115 0.665344717918103
118272 115.5 0.665375093412964
118784 116 0.665408135853095
119296 116.5 0.665442157469579
119808 117 0.665474012315731
