# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.5 0.00127707397285817
1024 1 0.00127432997076616
1536 1.5 0.00127179175447786
2048 2 0.00126939813483338
2560 2.5 0.00126716017111629
3072 3 0.00126516271285944
3584 3.5 0.00126346468295349
4096 4 0.0012623318991053
4608 4.5 0.00126171579720534
5120 5 0.00126148176205463
5632 5.5 0.0012616142976497
6144 6 0.00126209107243968
6656 6.5 0.00126288220254147
7168 7 0.00126395216996193
7680 7.5 0.00126526354948068
8192 8 0.00126677940575152
8704 8.5 0.00126846222680219
9216 9 0.00127027180972431
9728 9.5 0.00127216709180852
10240 10 0.001274111902261
10752 10.5 0.00127607728359416
11264 11 0.00127803610242086
11776 11.5 0.00127995818310434
12288 12 0.00128181625056387
12800 12.5 0.00128359626266366
13312 13 0.0012852958604864
13824 13.5 0.00128691125523178
14336 14 0.00128843150803107
14848 14.5 0.00128985060269705
15360 15 0.00129117629253572
15872 15.5 0.00129241939252636
16384 16 0.00129357999973877
16896 16.5 0.00129465372338683
17408 17 0.00129564863426846
17920 17.5 0.00129658549507801
18432 18 0.00129747991645266
18944 18.5 0.00129833268898869
19456 19 0.00129914083666627
19968 19.5 0.00129991152716386
20480 20 0.00130066024769287
20992 20.5 0.00130139909276262
21504 21 0.00130213163294111
22016 21.5 0.00130285738613156
22528 22 0.00130357633765716
23040 22.5 0.00130428805168087
23552 23 0.00130498943832326
24064 23.5 0.00130567601329575
24576 24 0.00130634520577114
25088 24.5 0.00130699661255621
25600 25 0.0013076275423463
26112 25.5 0.00130822883482123
26624 26 0.00130878759658564
27136 26.5 0.00130929611460333
27648 27 0.00130975743042567
28160 27.5 0.00131018028094587
28672 28 0.00131056841377232
29184 28.5 0.0013109159235354
29696 29 0.00131121237434545
30208 29.5 0.00131145070332415
30720 30 0.00131163100504919
31232 30.5 0.00131176008766804
31744 31 0.00131184852760701
32256 31.5 0.00131190509735231
32768 32 0.00131193116090968
33280 32.5 0.00131192149926191
33792 33 0.0013118730838463
34304 33.5 0.00131179307569602
34816 34 0.00131169658773882
35328 34.5 0.00131159631023022
35840 35 0.00131149506151105
36352 35.5 0.00131138825085941
36864 36 0.00131127276375873
37376 36.5 0.00131115369618976
37888 37 0.00131104341290136
38400 37.5 0.00131095397401691
38912 38 0.00131088935481014
39424 38.5 0.00131084461470086
39936 39 0.001310813451765
40448 39.5 0.00131079730425116
40960 40 0.0013108066378609
41472 40.5 0.00131085229067614
41984 41 0.00131093548092215
42496 41.5 0.00131104763651047
43008 42 0.00131118106606991
43520 42.5 0.00131133869389274
44032 43 0.00131153121234819
44544 43.5 0.00131176482955157
45056 44 0.00131203473851015
45568 44.5 0.00131233236677958
46080 45 0.00131265661147087
46592 45.5 0.00131301435106136
47104 46 0.00131341038209255
47616 46.5 0.00131384106865351
48128 47 0.0013143000148531
48640 47.5 0.00131478693059044
49152 48 0.00131530696271275
49664 48.5 0.00131586194735689
50176 49 0.00131644647099566
50688 49.5 0.0013170543669049
51200 50 0.00131768637824799
51712 50.5 0.0013183482224252
52224 51 0.00131904157171491
52736 51.5 0.00131975994979059
53248 52 0.00132049494941779
53760 52.5 0.00132124478743784
54272 53 0.00132201436008007
54784 53.5 0.00132280692361267
55296 54 0.00132361814320173
55808 54.5 0.00132443991145635
56320 55 0.00132526841816698
56832 55.5 0.00132610569675955
57344 56 0.00132695335269451
57856 56.5 0.00132780789829298
58368 57 0.00132866385181153
58880 57.5 0.00132951892507635
59392 58 0.00133037322905936
59904 58.5 0.00133122454356283
60416 59 0.00133206793839381
60928 59.5 0.00133290056822062
61440 60 0.00133372357283085
61952 60.5 0.00133453732386909
62464 61 0.0013353371344524
62976 61.5 0.00133611647917217
63488 62 0.0013368733472722
64000 62.5 0.00133761029623756
64512 63 0.00133832816636153
65024 63.5 0.00133902287577339
65536 64 0.00133968975942288
66048 64.5 0.00134032842810056
66560 65 0.0013409408234662
67072 65.5 0.00134152599471735
67584 66 0.00134207994881566
68096 66.5 0.00134260061435254
68608 67 0.00134309003192028
69120 67.5 0.00134355053453156
69632 68 0.00134398095412411
70144 68.5 0.00134437829590294
70656 69 0.00134474171999625
71168 69.5 0.0013450729533441
71680 70 0.00134537364601754
72192 70.5 0.00134564445446934
72704 71 0.00134588650142871
73216 71.5 0.00134610143168451
73728 72 0.00134628924077767
74240 72.5 0.00134644784566515
74752 73 0.00134657628684465
75264 73.5 0.00134667750436672
75776 74 0.00134675645409523
76288 74.5 0.00134681554519494
76800 75 0.00134685293603893
77312 75.5 0.00134686547341008
77824 76 0.00134685268476695
78336 76.5 0.00134681777022262
78848 77 0.00134676510379691
79360 77.5 0.00134669677778555
79872 78 0.00134661126755968
80384 78.5 0.00134650564490044
80896 79 0.00134637949494733
81408 79.5 0.00134623627842005
81920 80 0.00134608004899961
82432 80.5 0.00134591113289278
82944 81 0.00134572640856774
83456 81.5 0.00134552422984515
83968 82 0.00134530755644985
84480 82.5 0.001345080834564
84992 83 0.00134484466437474
85504 83.5 0.00134459560826548
86016 84 0.00134433159325773
86528 84.5 0.00134405560367125
87040 85 0.00134377257818212
87552 85.5 0.00134348361130914
88064 86 0.00134318514704813
88576 86.5 0.00134287417246883
89088 87 0.00134255264811648
89600 87.5 0.00134222563979687
90112 88 0.00134189571927564
90624 88.5 0.00134156061414561
91136 89 0.00134121672745224
91648 89.5 0.00134086397083318
92160 90 0.00134050612997639
92672 90.5 0.00134014666213173
93184 91 0.00133978519606779
93696 91.5 0.00133941875315557
94208 92 0.00133904579965344
94720 92.5 0.00133866811202059
95232 93 0.00133828863346431
95744 93.5 0.00133790846481471
96256 94 0.00133752654085448
96768 94.5 0.00133714162785902
97280 95 0.00133675377907963
97792 95.5 0.00133636406329767
98304 96 0.00133597377127401
98816 96.5 0.0013355839706683
99328 97 0.00133519498446777
99840 97.5 0.0013348059947595
100352 98 0.00133441596918203
100864 98.5 0.00133402551871305
101376 99 0.00133363709422315
101888 99.5 0.00133325252950007
102400 100 0.00133287096095166
102912 100.5 0.00133249026932925
103424 101 0.00133211034316591
103936 101.5 0.00133173366574596
104448 102 0.00133136244010484
104960 102.5 0.00133099627801856
105472 103 0.00133063336707281
105984 103.5 0.00133027309159015
106496 104 0.00132991667110543
107008 104.5 0.00132956568224251
107520 105 0.00132922078853605
108032 105.5 0.00132888177429987
108544 106 0.0013285481316682
109056 106.5 0.00132821955409709
109568 107 0.00132789630901018
110080 107.5 0.00132757921679134
110592 108 0.0013272690076033
111104 108.5 0.00132696569985784
111616 109 0.00132666877437107
112128 109.5 0.00132637781566906
112640 110 0.00132609276353767
113152 110.5 0.00132581375201684
113664 111 0.00132554106130047
114176 111.5 0.00132527506744215
114688 112 0.00132501575278834
115200 112.5 0.00132476225379006
115712 113 0.00132451340551684
116224 113.5 0.0013242689547062
116736 114 0.00132402980817453
117248 114.5 0.00132379667993121
117760 115 0.00132356874646347
118272 115.5 0.00132334416176386
118784 116 0.00132312190321279
119296 116.5 0.00132290260393891
119808 117 0.00132268732132809
120320 117.5 0.00132247586297456
120832 118 0.00132226676772514
121344 118.5 0.00132205882130108
