# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.0235231730899377
512 0.5 0.02352317309086
1024 1 0.023523173094559
1536 1.5 0.0235231731022507
2048 2 0.0235231731150852
2560 2.5 0.0235231731335996
3072 3 0.0235231731586099
3584 3.5 0.0235231731912184
4096 4 0.0235231732297217
4608 4.5 0.023523173274553
5120 5 0.0235231733249639
5632 5.5 0.0235231733824732
6144 6 0.0235231734460581
6656 6.5 0.0235231735180172
7168 7 0.0235231735961614
7680 7.5 0.0235231736804617
8192 8 0.0235231737716858
8704 8.5 0.0235231738715926
9216 9 0.0235231739769882
9728 9.5 0.023523174086498
10240 10 0.0235231742019095
10752 10.5 0.0235231743223063
11264 11 0.0235231744490731
11776 11.5 0.0235231745859722
12288 12 0.0235231747303734
12800 12.5 0.023523174879992
13312 13 0.0235231750346272
13824 13.5 0.0235231751947522
14336 14 0.0235231753607578
14848 14.5 0.0235231755325606
15360 15 0.0235231757099256
15872 15.5 0.0235231758950768
16384 16 0.0235231760839282
16896 16.5 0.0235231762771659
17408 17 0.02352317647315
17920 17.5 0.0235231766726747
18432 18 0.0235231768735321
18944 18.5 0.0235231770788698
19456 19 0.0235231772856315
19968 19.5 0.0235231774970601
20480 20 0.0235231777165694
20992 20.5 0.0235231779418086
21504 21 0.0235231781727444
22016 21.5 0.0235231784082624
22528 22 0.0235231786501478
23040 22.5 0.0235231788950515
23552 23 0.0235231791410272
24064 23.5 0.0235231793844221
24576 24 0.0235231796271093
25088 24.5 0.0235231798731288
25600 25 0.0235231801222541
26112 25.5 0.0235231803718384
26624 26 0.0235231806244769
27136 26.5 0.0235231808817094
27648 27 0.0235231811459043
28160 27.5 0.0235231814153598
28672 28 0.0235231816896371
29184 28.5 0.0235231819626963
29696 29 0.0235231822397712
30208 29.5 0.0235231825179598
30720 30 0.0235231827967223
31232 30.5 0.0235231830771954
31744 31 0.0235231833594973
32256 31.5 0.0235231836442882
32768 32 0.023523183928454
33280 32.5 0.0235231842156363
33792 33 0.0235231845033911
34304 33.5 0.023523184793659
34816 34 0.0235231850886469
35328 34.5 0.0235231853955831
35840 35 0.0235231857066816
36352 35.5 0.0235231860186773
36864 36 0.0235231863302952
37376 36.5 0.0235231866435565
37888 37 0.0235231869599755
38400 37.5 0.0235231872821128
38912 38 0.0235231876053073
39424 38.5 0.0235231879333151
39936 39 0.0235231882601593
40448 39.5 0.0235231885897023
40960 40 0.0235231889210189
41472 40.5 0.0235231892535019
41984 41 0.0235231895919672
42496 41.5 0.0235231899262693
43008 42 0.0235231902590719
43520 42.5 0.0235231905976846
44032 43 0.0235231909393653
44544 43.5 0.0235231912789945
45056 44 0.0235231916211838
45568 44.5 0.0235231919643916
46080 45 0.0235231923065902
46592 45.5 0.0235231926455654
47104 46 0.0235231929855965
47616 46.5 0.0235231933325158
48128 47 0.0235231936807537
48640 47.5 0.0235231940233992
49152 48 0.0235231943695588
49664 48.5 0.0235231947257824
50176 49 0.0235231950874754
50688 49.5 0.0235231954556758
51200 50 0.0235231958266621
51712 50.5 0.0235231962093697
52224 51 0.0235231965933104
52736 51.5 0.0235231969715061
53248 52 0.0235231973536047
53760 52.5 0.0235231977313856
54272 53 0.0235231981103032
54784 53.5 0.0235231984890139
55296 54 0.0235231988687611
55808 54.5 0.0235231992537031
56320 55 0.0235231996410809
56832 55.5 0.0235232000361568
57344 56 0.0235232004372355
57856 56.5 0.0235232008506307
58368 57 0.0235232012625087
58880 57.5 0.0235232016776921
59392 58 0.0235232020909871
59904 58.5 0.023523202504883
60416 59 0.0235232029138604
60928 59.5 0.0235232033203062
61440 60 0.0235232037229474
61952 60.5 0.0235232041156788
62464 61 0.023523204508715
62976 61.5 0.0235232049084736
63488 62 0.0235232053182074
64000 62.5 0.0235232057275744
64512 63 0.0235232061459408
65024 63.5 0.0235232065653121
65536 64 0.0235232069818557
66048 64.5 0.0235232073899831
66560 65 0.0235232078063037
67072 65.5 0.0235232082247111
67584 66 0.023523208641755
68096 66.5 0.02352320906396
68608 67 0.0235232094833358
69120 67.5 0.0235232099066469
69632 68 0.0235232103359745
70144 68.5 0.0235232107766561
70656 69 0.0235232112143032
71168 69.5 0.0235232116548305
71680 70 0.0235232120993436
72192 70.5 0.0235232125465548
72704 71 0.0235232129893434
73216 71.5 0.0235232134368507
73728 72 0.0235232138965117
74240 72.5 0.0235232143507106
74752 73 0.0235232148034131
75264 73.5 0.0235232152539495
75776 74 0.0235232157067923
76288 74.5 0.0235232161773615
76800 75 0.0235232166515907
77312 75.5 0.0235232171164038
77824 76 0.0235232175897168
78336 76.5 0.0235232180711846
78848 77 0.0235232185621933
79360 77.5 0.0235232190552647
79872 78 0.0235232195409171
80384 78.5 0.0235232200231071
80896 79 0.0235232205033198
81408 79.5 0.0235232209905177
81920 80 0.0235232214733478
82432 80.5 0.0235232219588813
82944 81 0.0235232224502344
83456 81.5 0.0235232229516439
83968 82 0.0235232234538018
84480 82.5 0.023523223960476
84992 83 0.0235232244589092
85504 83.5 0.0235232249531702
86016 84 0.0235232254546018
86528 84.5 0.0235232259541216
87040 85 0.0235232264499907
87552 85.5 0.0235232269502907
88064 86 0.0235232274547445
88576 86.5 0.0235232279519707
89088 87 0.0235232284454183
89600 87.5 0.023523228932045
90112 88 0.0235232294170381
90624 88.5 0.02352322990791
91136 89 0.0235232304046982
91648 89.5 0.023523230896681
92160 90 0.0235232313880678
92672 90.5 0.0235232318821588
93184 91 0.0235232323707392
93696 91.5 0.0235232328651723
94208 92 0.0235232333552817
94720 92.5 0.0235232338509008
95232 93 0.0235232343451177
95744 93.5 0.0235232348347181
96256 94 0.0235232353394967
96768 94.5 0.0235232358507666
97280 95 0.023523236376837
97792 95.5 0.0235232369137342
98304 96 0.0235232374503508
98816 96.5 0.0235232379803116
99328 97 0.0235232385051078
99840 97.5 0.0235232390310232
100352 98 0.0235232395519162
100864 98.5 0.0235232400837529
101376 99 0.0235232406220186
101888 99.5 0.0235232411641603
102400 100 0.023523241701262
102912 100.5 0.0235232422276961
103424 101 0.023523242757364
103936 101.5 0.0235232432839518
104448 102 0.0235232438155005
104960 102.5 0.0235232443721223
105472 103 0.023523244934198
105984 103.5 0.0235232454935433
106496 104 0.0235232460385874
107008 104.5 0.0235232465872771
107520 105 0.0235232471369368
108032 105.5 0.0235232476837114
108544 106 0.0235232482296254
109056 106.5 0.0235232487760724
109568 107 0.0235232493288768
110080 107.5 0.0235232498779233
110592 108 0.0235232504275581
111104 108.5 0.0235232509751119
111616 109 0.0235232515230264
112128 109.5 0.0235232520735129
112640 110 0.0235232526243779
113152 110.5 0.0235232531752388
113664 111 0.0235232537175443
114176 111.5 0.0235232542634705
114688 112 0.023523254802415
115200 112.5 0.0235232553379138
115712 113 0.0235232558840742
116224 113.5 0.0235232564324769
116736 114 0.0235232569773917
117248 114.5 0.0235232575272597
117760 115 0.0235232580699124
118272 115.5 0.023523258611
118784 116 0.0235232591652799
119296 116.5 0.0235232597230205
119808 117 0.0235232602781795
120320 117.5 0.0235232608319006
120832 118 0.0235232613840246
121344 118.5 0.0235232619389344
121856 119 0.0235232624959301
122368 119.5 0.0235232630483744
122880 120 0.0235232635899259
123392 120.5 0.0235232641478765
123904 121 0.0235232647039082
124416 121.5 0.0235232652688322
124928 122 0.0235232658429612
125440 122.5 0.0235232664369193
125952 123 0.0235232670271806
126464 123.5 0.0235232676169302
126976 124 0.0235232682068951
127488 124.5 0.0235232687897313
128000 125 0.0235232693789432
128512 125.5 0.0235232699573145
129024 126 0.0235232705335979
129536 126.5 0.0235232711129847
130048 127 0.0235232716919593
130560 127.5 0.023523272270438
131072 128 0.0235232728445617
131584 128.5 0.0235232734134695
132096 129 0.0235232739929863
132608 129.5 0.0235232745724553
133120 130 0.0235232751416004
133632 130.5 0.0235232757082098
134144 131 0.023523276288656
134656 131.5 0.0235232768651303
135168 132 0.0235232774407203
135680 132.5 0.0235232780261268
136192 133 0.0235232786124184
136704 133.5 0.0235232791897527
137216 134 0.0235232797713808
137728 134.5 0.0235232803588599
138240 135 0.0235232809403849
138752 135.5 0.0235232815262193
139264 136 0.0235232821117885
139776 136.5 0.0235232826947936
140288 137 0.023523283272127
140800 137.5 0.02352328385361
141312 138 0.023523284415777
141824 138.5 0.0235232849822381
142336 139 0.0235232855453375
142848 139.5 0.0235232861293179
143360 140 0.0235232867264263
143872 140.5 0.0235232873306384
144384 141 0.0235232879260287
144896 141.5 0.0235232885121433
145408 142 0.0235232891077481
145920 142.5 0.0235232897095718
146432 143 0.0235232903028581
146944 143.5 0.0235232909004878
147456 144 0.0235232914892827
147968 144.5 0.023523292091446
148480 145 0.0235232927039806
148992 145.5 0.023523293326421
149504 146 0.0235232939569201
150016 146.5 0.0235232945711397
150528 147 0.0235232951876863
151040 147.5 0.0235232957949598
151552 148 0.023523296406318
152064 148.5 0.0235232969994552
152576 149 0.0235232976022982
153088 149.5 0.0235232982027178
153600 150 0.0235232988138572
154112 150.5 0.0235232994321414
154624 151 0.0235233000576668
155136 151.5 0.0235233006787519
155648 152 0.0235233012961778
156160 152.5 0.023523301916823
156672 153 0.0235233025526444
157184 153.5 0.0235233031928129
157696 154 0.023523303832361
158208 154.5 0.0235233044698131
158720 155 0.0235233051011503
159232 155.5 0.023523305739431
159744 156 0.0235233063699476
160256 156.5 0.023523306999477
160768 157 0.0235233076186339
161280 157.5 0.0235233082332366
161792 158 0.0235233088419183
162304 158.5 0.0235233094601703
162816 159 0.023523310087002
163328 159.5 0.0235233107232467
163840 160 0.0235233113520467
164352 160.5 0.0235233119762651
164864 161 0.0235233126042624
165376 161.5 0.0235233132315927
165888 162 0.023523313852452
166400 162.5 0.0235233144862318
166912 163 0.0235233151113634
167424 163.5 0.0235233157277846
167936 164 0.0235233163349395
168448 164.5 0.023523316950615
168960 165 0.0235233175749648
169472 165.5 0.0235233182005317
169984 166 0.023523318831926
170496 166.5 0.0235233194639533
171008 167 0.0235233200919101
171520 167.5 0.0235233207134363
172032 168 0.0235233213413602
172544 168.5 0.023523321973413
173056 169 0.0235233226119623
173568 169.5 0.0235233232545235
174080 170 0.0235233238996228
174592 170.5 0.0235233245650055
175104 171 0.0235233252276922
175616 171.5 0.0235233258698244
176128 172 0.0235233265164604
176640 172.5 0.0235233271524576
177152 173 0.0235233277751223
177664 173.5 0.0235233283998575
178176 174 0.0235233290365278
178688 174.5 0.0235233296714423
179200 175 0.0235233303188311
179712 175.5 0.0235233309822097
180224 176 0.0235233316549883
180736 176.5 0.0235233323323432
181248 177 0.0235233330084047
181760 177.5 0.0235233336717356
182272 178 0.023523334330878
182784 178.5 0.0235233349950423
183296 179 0.0235233356627582
183808 179.5 0.0235233363233504
184320 180 0.023523336989043
184832 180.5 0.0235233376676776
185344 181 0.0235233383431378
185856 181.5 0.0235233390185311
186368 182 0.0235233396789993
186880 182.5 0.0235233403245618
187392 183 0.0235233409676598
187904 183.5 0.0235233416133686
188416 184 0.0235233422613139
188928 184.5 0.0235233429164921
189440 185 0.0235233435725223
189952 185.5 0.0235233442302842
190464 186 0.0235233448823842
190976 186.5 0.0235233455354828
191488 187 0.023523346189144
192000 187.5 0.0235233468477851
192512 188 0.0235233475047621
