# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.89286594875404e-05 1.89286594875429e-05 1.89286594875456e-05
1024 1 3.11928997254493e-05 3.11928997254479e-05 3.11928997254464e-05
1536 1.5 4.08507577496478e-05 4.08507577496413e-05 4.08507577496347e-05
2048 2 1.98243295415708e-05 1.98243295415467e-05 1.98243295415239e-05
2560 2.5 2.03443714576143e-05 2.03443714576275e-05 2.034437145764e-05
3072 3 4.10559669202046e-05 4.10559669201974e-05 4.10559669202035e-05
3584 3.5 4.46794335699298e-05 4.46794335699086e-05 4.46794335699156e-05
4096 4 2.63936771986636e-05 2.63936771986642e-05 2.6393677198382e-05
4608 4.5 4.30266380299745e-05 4.30266380299695e-05 4.30266380300072e-05
5120 5 4.39679779458685e-05 4.39679779458413e-05 4.39679779457909e-05
5632 5.5 3.49148743823183e-05 3.49148743824112e-05 3.49148743823715e-05
6144 6 4.0446018385868e-05 4.04460183857379e-05 4.04460183856875e-05
6656 6.5 2.91546092718783e-05 2.91546092714218e-05 2.91546092715282e-05
7168 7 3.00076349333013e-05 3.00076349325466e-05 3.00076349328878e-05
7680 7.5 2.96927013602491e-05 2.96927013591935e-05 2.9692701359761e-05
8192 8 2.95155294292415e-05 2.95155294287201e-05 2.95155294291005e-05
8704 8.5 3.6499642529019e-05 3.64996425292334e-05 3.64996425259006e-05
9216 9 2.0406524341353e-05 2.04065243425207e-05 2.04065243418899e-05
9728 9.5 2.91110888708737e-05 2.91110888706801e-05 2.91110888688434e-05
10240 10 2.13944647426116e-05 2.13944647406102e-05 2.13944647423418e-05
10752 10.5 2.58716952201635e-05 2.58716952206792e-05 2.58716952206031e-05
11264 11 3.70570606208294e-05 3.70570606203995e-05 3.70570606204395e-05
11776 11.5 3.66814365836989e-05 3.66814365824931e-05 3.66814365830039e-05
12288 12 3.93835694787822e-05 3.93835694784343e-05 3.93835694782037e-05
12800 12.5 3.80221217309314e-05 3.80221217316088e-05 3.80221217302851e-05
13312 13 4.15696979759854e-05 4.15696979751832e-05 4.15696979760117e-05
13824 13.5 3.58996422144917e-05 3.58996422162076e-05 3.58996422146046e-05
14336 14 2.11997733416615e-05 2.11997733406998e-05 2.11997733407195e-05
14848 14.5 2.27397716656074e-05 2.27397716654009e-05 2.27397716651091e-05
15360 15 2.18662216084412e-05 2.18662216079536e-05 2.1866221612998e-05
15872 15.5 2.44981774482234e-05 2.44981774527332e-05 2.44981774515818e-05
16384 16 2.56335268823024e-05 2.56335268802283e-05 2.56335268804605e-05
16896 16.5 3.91404951015952e-05 3.91404951014892e-05 3.91404951023339e-05
17408 17 4.60043114733227e-05 4.60043114754373e-05 4.60043114771351e-05
17920 17.5 4.61101236821066e-05 4.61101236844111e-05 4.61101236850892e-05
18432 18 5.24695673092499e-05 5.24695673102696e-05 5.24695673096085e-05
18944 18.5 4.47652825867307e-05 4.47652825896888e-05 4.47652825883062e-05
19456 19 2.8977649380526e-05 2.89776493805666e-05 2.89776493789535e-05
19968 19.5 3.22495587009037e-05 3.22495587035905e-05 3.22495586996054e-05
20480 20 3.72415371794857e-05 3.72415371766534e-05 3.7241537177931e-05
20992 20.5 3.38268593436427e-05 3.38268593416414e-05 3.38268593453813e-05
21504 21 3.72683852599255e-05 3.72683852613182e-05 3.72683852602229e-05
22016 21.5 4.48709537120581e-05 4.487095371307e-05 4.48709537144232e-05
22528 22 4.75846702558573e-05 4.75846702569623e-05 4.75846702582918e-05
23040 22.5 4.46409261807748e-05 4.46409261829588e-05 4.46409261813891e-05
23552 23 3.50835353864429e-05 3.50835353872733e-05 3.5083535384291e-05
24064 23.5 2.97940859115118e-05 2.97940859113843e-05 2.97940859129275e-05
24576 24 3.57636771498526e-05 3.57636771492316e-05 3.57636771557766e-05
25088 24.5 4.02959442809545e-05 4.02959442821071e-05 4.02959442820016e-05
25600 25 3.40036062486487e-05 3.40036062502309e-05 3.4003606247645e-05
26112 25.5 3.75433027386506e-05 3.75433027392282e-05 3.7543302739432e-05
26624 26 3.4759192283649e-05 3.47591922865054e-05 3.4759192282899e-05
27136 26.5 3.23287826147359e-05 3.23287826224422e-05 3.23287826222252e-05
27648 27 3.38125780771398e-05 3.38125780793844e-05 3.38125780776521e-05
28160 27.5 4.07998805983163e-05 4.07998805986856e-05 4.07998806004728e-05
28672 28 4.94699342009942e-05 4.94699341967372e-05 4.94699342024119e-05
29184 28.5 5.35910729393011e-05 5.35910729322856e-05 5.35910729374712e-05
29696 29 5.2792305392866e-05 5.27923053874246e-05 5.27923053888364e-05
30208 29.5 4.76580661966234e-05 4.76580661966139e-05 4.76580661948049e-05
30720 30 3.83127357087523e-05 3.83127357145251e-05 3.83127357112608e-05
31232 30.5 3.07362568361245e-05 3.07362568345077e-05 3.07362568343808e-05
31744 31 3.51482944225023e-05 3.51482944259994e-05 3.51482944229388e-05
32256 31.5 4.18089130574926e-05 4.18089130594041e-05 4.18089130552741e-05
32768 32 4.51221821705614e-05 4.51221821695e-05 4.51221821652464e-05
33280 32.5 4.09001903876654e-05 4.09001903851156e-05 4.09001903837583e-05
33792 33 3.45716004837452e-05 3.45716004806387e-05 3.45716004821054e-05
34304 33.5 3.90625680017176e-05 3.90625680009266e-05 3.90625679996796e-05
34816 34 4.51716326454839e-05 4.51716326477342e-05 4.51716326467655e-05
35328 34.5 4.61319193020592e-05 4.61319193065149e-05 4.61319193069223e-05
35840 35 4.05215405124945e-05 4.05215405153214e-05 4.0521540515788e-05
36352 35.5 3.44199333456575e-05 3.44199333459327e-05 3.44199333449144e-05
36864 36 3.38721307410083e-05 3.38721307399793e-05 3.38721307390505e-05
37376 36.5 3.84446847004581e-05 3.84446846986862e-05 3.8444684699034e-05
37888 37 4.25158319451052e-05 4.251583194316e-05 4.25158319427943e-05
38400 37.5 4.1127648067997e-05 4.11276480685312e-05 4.11276480668079e-05
38912 38 3.40621205810978e-05 3.40621205831548e-05 3.40621205826674e-05
39424 38.5 3.42924684066978e-05 3.42924684109447e-05 3.42924684090081e-05
39936 39 3.13391632119789e-05 3.13391632138237e-05 3.13391632159927e-05
