# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
97792 95.5 2.10063437291355e-06 2.10063437292394e-06 2.10063437292273e-06
98304 96 2.10844658917135e-06 2.10844658916536e-06 2.10844658918238e-06
98816 96.5 2.11353389623535e-06 2.11353389622469e-06 2.11353389624276e-06
99328 97 2.10810544615742e-06 2.10810544615286e-06 2.10810544616681e-06
99840 97.5 2.09825163450577e-06 2.09825163450161e-06 2.09825163451474e-06
100352 98 2.0917125784983e-06 2.09171257850056e-06 2.09171257850013e-06
100864 98.5 2.08512198485731e-06 2.08512198486354e-06 2.08512198484886e-06
101376 99 2.08178109788422e-06 2.08178109789145e-06 2.08178109787618e-06
101888 99.5 2.08244899036192e-06 2.08244899037929e-06 2.08244899036949e-06
102400 100 2.09004229993238e-06 2.09004229995125e-06 2.09004229994288e-06
102912 100.5 2.104181167436e-06 2.1041811674389e-06 2.10418116744182e-06
103424 101 2.11379811488053e-06 2.11379811486951e-06 2.11379811488476e-06
103936 101.5 2.11995818724253e-06 2.11995818722711e-06 2.1199581872473e-06
104448 102 2.1223936305643e-06 2.12239363054942e-06 2.12239363056644e-06
104960 102.5 2.11818419160677e-06 2.11818419160378e-06 2.11818419160206e-06
105472 103 2.10883721685894e-06 2.10883721687024e-06 2.10883721685447e-06
105984 103.5 2.09415766251863e-06 2.09415766252818e-06 2.09415766251609e-06
106496 104 2.0809171372193e-06 2.0809171372195e-06 2.08091713721496e-06
107008 104.5 2.07662831953549e-06 2.07662831953625e-06 2.07662831953873e-06
107520 105 2.08208060117889e-06 2.08208060119008e-06 2.08208060119503e-06
108032 105.5 2.09589217890762e-06 2.09589217892054e-06 2.09589217892518e-06
108544 106 2.10709253346605e-06 2.10709253346172e-06 2.10709253346409e-06
109056 106.5 2.10657024068635e-06 2.1065702406726e-06 2.10657024067256e-06
109568 107 2.10035914235751e-06 2.10035914234886e-06 2.10035914234173e-06
110080 107.5 2.09588986675953e-06 2.09588986676267e-06 2.09588986675609e-06
110592 108 2.09343654319015e-06 2.09343654319893e-06 2.09343654320574e-06
111104 108.5 2.08862817044373e-06 2.08862817044511e-06 2.08862817045999e-06
111616 109 2.0815173591005e-06 2.08151735909482e-06 2.08151735910166e-06
112128 109.5 2.07659083327034e-06 2.07659083327128e-06 2.07659083326601e-06
112640 110 2.07192465706898e-06 2.07192465708237e-06 2.07192465707527e-06
113152 110.5 2.06658568204283e-06 2.06658568205175e-06 2.06658568205199e-06
113664 111 2.06263087139813e-06 2.06263087138829e-06 2.06263087138839e-06
114176 111.5 2.0597963195233e-06 2.0597963195022e-06 2.05979631949956e-06
114688 112 2.059721208421e-06 2.05972120840543e-06 2.05972120840686e-06
115200 112.5 2.06523089334714e-06 2.0652308933394e-06 2.06523089334567e-06
115712 113 2.07131670141861e-06 2.07131670142338e-06 2.07131670142483e-06
116224 113.5 2.07066889835989e-06 2.07066889836622e-06 2.07066889836925e-06
116736 114 2.06151264397723e-06 2.06151264397189e-06 2.06151264397588e-06
117248 114.5 2.04614714168442e-06 2.04614714167907e-06 2.04614714167882e-06
117760 115 2.03225774876284e-06 2.03225774877413e-06 2.03225774876991e-06
118272 115.5 2.02810720183409e-06 2.02810720185215e-06 2.0281072018476e-06
118784 116 2.03188675313884e-06 2.03188675315226e-06 2.03188675315341e-06
119296 116.5 2.03452637156012e-06 2.03452637156448e-06 2.0345263715682e-06
119808 117 2.03385803799562e-06 2.03385803798481e-06 2.03385803798423e-06
120320 117.5 2.03317263763174e-06 2.03317263761709e-06 2.03317263761939e-06
120832 118 2.0321644272767e-06 2.03216442726574e-06 2.03216442727918e-06
121344 118.5 2.03007814991495e-06 2.03007814990322e-06 2.03007814991323e-06
121856 119 2.0275291699874e-06 2.02752916998399e-06 2.0275291699699e-06
122368 119.5 2.02508887002859e-06 2.02508887004683e-06 2.02508887001991e-06
122880 120 2.02066304125862e-06 2.02066304128259e-06 2.02066304126899e-06
123392 120.5 2.01502330257261e-06 2.01502330258507e-06 2.01502330258582e-06
123904 121 2.008537322e-06 2.00853732200191e-06 2.00853732201097e-06
124416 121.5 2.00203868471097e-06 2.00203868470789e-06 2.00203868472633e-06
124928 122 1.99828418141992e-06 1.99828418140844e-06 1.99828418142987e-06
125440 122.5 1.99826626652223e-06 1.99826626651249e-06 1.99826626652064e-06
125952 123 2.00223462774735e-06 2.0022346277418e-06 2.00223462772707e-06
126464 123.5 2.0069638933199e-06 2.00696389331235e-06 2.00696389328767e-06
126976 124 2.0087823587076e-06 2.00878235869856e-06 2.00878235868359e-06
127488 124.5 2.00675627152275e-06 2.00675627151451e-06 2.00675627151691e-06
128000 125 2.00171789185015e-06 2.00171789184575e-06 2.00171789185262e-06
128512 125.5 1.99564651767348e-06 1.9956465176803e-06 1.99564651768568e-06
129024 126 1.99040180320247e-06 1.99040180321862e-06 1.99040180322456e-06
129536 126.5 1.98640096684107e-06 1.98640096685864e-06 1.98640096685764e-06
130048 127 1.98246901619096e-06 1.98246901620312e-06 1.98246901619613e-06
130560 127.5 1.98145281131869e-06 1.98145281131542e-06 1.98145281131131e-06
131072 128 1.98340922941908e-06 1.98340922940311e-06 1.98340922941057e-06
131584 128.5 1.98585305292339e-06 1.98585305290521e-06 1.98585305291029e-06
132096 129 1.98725961205069e-06 1.98725961203651e-06 1.98725961202541e-06
132608 129.5 1.98463119979618e-06 1.98463119979325e-06 1.98463119977707e-06
133120 130 1.98062891888363e-06 1.98062891889112e-06 1.98062891887914e-06
133632 130.5 1.97869013777993e-06 1.97869013779233e-06 1.978690137786e-06
134144 131 1.97656912605603e-06 1.97656912607039e-06 1.97656912606965e-06
134656 131.5 1.97128324707733e-06 1.97128324708897e-06 1.97128324709993e-06
135168 132 1.96588242970188e-06 1.9658824297091e-06 1.96588242971649e-06
135680 132.5 1.96408023193105e-06 1.96408023193316e-06 1.96408023192837e-06
136192 133 1.96540897459029e-06 1.96540897458211e-06 1.96540897458489e-06
136704 133.5 1.96710783575999e-06 1.96710783573947e-06 1.96710783575286e-06
137216 134 1.96665692949658e-06 1.96665692946872e-06 1.96665692947988e-06
137728 134.5 1.96527474877982e-06 1.9652747487625e-06 1.96527474876099e-06
138240 135 1.96437630254226e-06 1.96437630254803e-06 1.96437630253256e-06
138752 135.5 1.96241730579503e-06 1.96241730581036e-06 1.96241730578982e-06
139264 136 1.95883716767706e-06 1.95883716769104e-06 1.95883716767584e-06
139776 136.5 1.95372451894669e-06 1.95372451895336e-06 1.95372451895332e-06
140288 137 1.94881407981758e-06 1.94881407980998e-06 1.94881407982925e-06
140800 137.5 1.94734745930835e-06 1.94734745929793e-06 1.94734745932027e-06
141312 138 1.95041627737767e-06 1.9504162773769e-06 1.95041627738906e-06
141824 138.5 1.95399717336432e-06 1.95399717337152e-06 1.95399717337262e-06
142336 139 1.9521444543618e-06 1.95214445436928e-06 1.95214445435921e-06
142848 139.5 1.94607367281928e-06 1.9460736728135e-06 1.94607367280279e-06
143360 140 1.94091737544431e-06 1.94091737541956e-06 1.9409173754169e-06
143872 140.5 1.93911191527577e-06 1.93911191525276e-06 1.93911191525548e-06
144384 141 1.93948039988135e-06 1.93948039988206e-06 1.93948039988214e-06
144896 141.5 1.94057914349981e-06 1.94057914351647e-06 1.9405791435086e-06
145408 142 1.941485198164e-06 1.94148519817631e-06 1.94148519816133e-06
145920 142.5 1.9408644309767e-06 1.94086443098219e-06 1.94086443097211e-06
146432 143 1.93803706773341e-06 1.93803706773872e-06 1.93803706773885e-06
146944 143.5 1.93464094191897e-06 1.93464094192234e-06 1.93464094192828e-06
147456 144 1.93358248696033e-06 1.93358248695547e-06 1.93358248696555e-06
147968 144.5 1.93489023011514e-06 1.93489023010859e-06 1.93489023011686e-06
148480 145 1.93615318253641e-06 1.93615318252886e-06 1.93615318253777e-06
148992 145.5 1.93597763603515e-06 1.93597763601615e-06 1.93597763603088e-06
149504 146 1.93488130369058e-06 1.93488130367076e-06 1.93488130367511e-06
150016 146.5 1.93353883616476e-06 1.93353883616646e-06 1.93353883614691e-06
150528 147 1.93301798500338e-06 1.93301798502605e-06 1.93301798500294e-06
151040 147.5 1.932773912269e-06 1.93277391228861e-06 1.93277391228957e-06
151552 148 1.93228487861816e-06 1.93228487862234e-06 1.93228487864008e-06
152064 148.5 1.93272716037612e-06 1.93272716037926e-06 1.93272716038333e-06
152576 149 1.93315481061928e-06 1.9331548106243e-06 1.93315481061115e-06
153088 149.5 1.93318300532209e-06 1.93318300531474e-06 1.93318300530391e-06
153600 150 1.9328423940909e-06 1.93284239407143e-06 1.93284239407459e-06
154112 150.5 1.93172869697668e-06 1.93172869696212e-06 1.93172869696967e-06
154624 151 1.93149921152406e-06 1.93149921152582e-06 1.93149921152688e-06
155136 151.5 1.93265882110649e-06 1.93265882112865e-06 1.9326588211266e-06
155648 152 1.9336148540301e-06 1.93361485406133e-06 1.93361485405791e-06
156160 152.5 1.93371677378341e-06 1.93371677379588e-06 1.93371677379369e-06
156672 153 1.93289270484455e-06 1.93289270482693e-06 1.9328927048332e-06
157184 153.5 1.93164048308748e-06 1.93164048306263e-06 1.93164048306983e-06
157696 154 1.93054133520609e-06 1.93054133519852e-06 1.93054133519875e-06
158208 154.5 1.92952426474422e-06 1.92952426475252e-06 1.9295242647501e-06
158720 155 1.929405192523e-06 1.92940519253602e-06 1.92940519253466e-06
159232 155.5 1.93097646876898e-06 1.93097646877553e-06 1.93097646877338e-06
159744 156 1.93317296830858e-06 1.93317296830479e-06 1.93317296830121e-06
160256 156.5 1.93389412643932e-06 1.93389412642994e-06 1.93389412642987e-06
160768 157 1.93239380408503e-06 1.9323938040833e-06 1.93239380407995e-06
161280 157.5 1.93019575486033e-06 1.93019575486177e-06 1.93019575486023e-06
161792 158 1.92952834000374e-06 1.929528339999e-06 1.92952834001321e-06
162304 158.5 1.93055201640784e-06 1.93055201640841e-06 1.93055201642354e-06
162816 159 1.93149439569005e-06 1.93149439570325e-06 1.93149439569659e-06
163328 159.5 1.93100618737027e-06 1.93100618738191e-06 1.9310061873632e-06
163840 160 1.92952704613897e-06 1.9295270461398e-06 1.92952704613369e-06
164352 160.5 1.92843592965833e-06 1.92843592964756e-06 1.92843592965665e-06
164864 161 1.92871265893705e-06 1.92871265892671e-06 1.92871265892866e-06
165376 161.5 1.92908234395422e-06 1.92908234395201e-06 1.92908234394987e-06
