# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
14848 14.5 -0.109623485673907 -0.109623485673906 -0.109623485673906
15360 15 -0.112240232364008 -0.112240232364007 -0.112240232364008
15872 15.5 -0.11477695994925 -0.114776959949251 -0.114776959949251
16384 16 -0.117235633730258 -0.117235633730258 -0.117235633730258
16896 16.5 -0.119617969532305 -0.119617969532305 -0.119617969532305
17408 17 -0.121928981148682 -0.121928981148682 -0.121928981148682
17920 17.5 -0.124174552797547 -0.124174552797547 -0.124174552797547
18432 18 -0.126355753129514 -0.126355753129514 -0.126355753129515
18944 18.5 -0.128470601460164 -0.128470601460164 -0.128470601460165
19456 19 -0.130520536422658 -0.130520536422658 -0.130520536422657
19968 19.5 -0.132510689810653 -0.132510689810652 -0.132510689810652
20480 20 -0.134445289336935 -0.134445289336935 -0.134445289336936
20992 20.5 -0.136326224307197 -0.136326224307199 -0.136326224307198
21504 21 -0.138154293346984 -0.138154293346985 -0.138154293346984
22016 21.5 -0.140325967815181 -0.140325967815181 -0.14032596781518
22528 22 -0.14273326653751 -0.142733266537511 -0.14273326653751
23040 22.5 -0.145082017546649 -0.145082017546649 -0.145082017546648
23552 23 -0.14738875400224 -0.14738875400224 -0.147388754002239
24064 23.5 -0.149668756103584 -0.149668756103584 -0.149668756103583
24576 24 -0.151934582252645 -0.151934582252645 -0.151934582252644
25088 24.5 -0.154189327224932 -0.154189327224932 -0.15418932722493
25600 25 -0.156408592522736 -0.156408592522737 -0.156408592522734
26112 25.5 -0.158571908904717 -0.158571908904717 -0.158571908904716
26624 26 -0.16066902110545 -0.160669021105451 -0.16066902110545
27136 26.5 -0.162696845655718 -0.162696845655719 -0.162696845655718
27648 27 -0.164657221652419 -0.16465722165242 -0.164657221652418
28160 27.5 -0.166554431075551 -0.166554431075552 -0.16655443107555
28672 28 -0.168393500964215 -0.168393500964216 -0.168393500964214
29184 28.5 -0.170178240615149 -0.17017824061515 -0.170178240615149
29696 29 -0.171912617733969 -0.17191261773397 -0.171912617733969
30208 29.5 -0.173604460447032 -0.173604460447032 -0.173604460447031
30720 30 -0.175272400130899 -0.1752724001309 -0.175272400130899
31232 30.5 -0.176919282222253 -0.176919282222254 -0.176919282222252
31744 31 -0.178538577261839 -0.17853857726184 -0.178538577261839
32256 31.5 -0.180133852484134 -0.180133852484135 -0.180133852484135
32768 32 -0.181712747366011 -0.181712747366013 -0.181712747366012
33280 32.5 -0.183272686350053 -0.183272686350053 -0.183272686350052
33792 33 -0.184800244200061 -0.184800244200062 -0.184800244200061
34304 33.5 -0.186280950396103 -0.186280950396103 -0.186280950396103
34816 34 -0.187720364352869 -0.18772036435287 -0.18772036435287
35328 34.5 -0.189126295903893 -0.189126295903895 -0.189126295903894
35840 35 -0.190504513136613 -0.190504513136614 -0.190504513136613
