# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
75264 73.5 4.86990620144719e-05
75776 74 4.89752619132304e-05
76288 74.5 4.9258688738749e-05
76800 75 4.95285059424883e-05
77312 75.5 4.97902012655324e-05
77824 76 5.00839263165788e-05
78336 76.5 5.03490880918488e-05
78848 77 5.06627850581764e-05
79360 77.5 5.09088143030413e-05
79872 78 5.12038096817134e-05
80384 78.5 5.14643334282051e-05
80896 79 5.17573678748146e-05
81408 79.5 5.20386629829008e-05
81920 80 5.23022952441964e-05
82432 80.5 5.25934726854825e-05
82944 81 5.2862113754673e-05
83456 81.5 5.31565232866568e-05
83968 82 5.34181582390349e-05
84480 82.5 5.36927486610678e-05
84992 83 5.39780936907669e-05
85504 83.5 5.42746339868961e-05
86016 84 5.45491216148484e-05
86528 84.5 5.48163508780078e-05
87040 85 5.50785748388794e-05
87552 85.5 5.53792318792973e-05
88064 86 5.56600283745427e-05
88576 86.5 5.59499085009909e-05
89088 87 5.62068864393359e-05
89600 87.5 5.64858930996779e-05
90112 88 5.67781698660119e-05
90624 88.5 5.70494140445517e-05
91136 89 5.73339132735641e-05
91648 89.5 5.75745048776865e-05
92160 90 5.78782861326962e-05
92672 90.5 5.81433267566801e-05
93184 91 5.84416007397633e-05
93696 91.5 5.86877752394377e-05
94208 92 5.89646572644325e-05
94720 92.5 5.92398370844008e-05
95232 93 5.95216135244496e-05
95744 93.5 5.97949460548224e-05
96256 94 6.00377800969013e-05
96768 94.5 6.03145312597161e-05
97280 95 6.05789677770919e-05
97792 95.5 6.08814663555625e-05
98304 96 6.11281125775901e-05
98816 96.5 6.13957851207366e-05
99328 97 6.1638296031034e-05
99840 97.5 6.19212683345334e-05
100352 98 6.21905345805997e-05
100864 98.5 6.24581201300575e-05
101376 99 6.27226446065399e-05
101888 99.5 6.29783097548402e-05
102400 100 6.32552129352566e-05
102912 100.5 6.3506467965187e-05
103424 101 6.37779263937169e-05
103936 101.5 6.40319301552986e-05
104448 102 6.43035768249591e-05
104960 102.5 6.45669498564288e-05
105472 103 6.48265144465971e-05
105984 103.5 6.50861082160843e-05
106496 104 6.53366150525018e-05
107008 104.5 6.56002513954336e-05
107520 105 6.58499154091175e-05
108032 105.5 6.61244622625758e-05
108544 106 6.63695871324957e-05
109056 106.5 6.66284121540142e-05
109568 107 6.68687768122943e-05
110080 107.5 6.71246646852144e-05
110592 108 6.73824248001551e-05
111104 108.5 6.76296710861501e-05
111616 109 6.78882521923471e-05
112128 109.5 6.81183021101183e-05
112640 110 6.83760846391822e-05
113152 110.5 6.86101582352961e-05
113664 111 6.88656416540657e-05
114176 111.5 6.91100971974019e-05
114688 112 6.93492849396482e-05
115200 112.5 6.95901463986029e-05
115712 113 6.98198877790863e-05
116224 113.5 7.00718801393989e-05
116736 114 7.03058783158044e-05
117248 114.5 7.05464415964867e-05
117760 115 7.07763717373905e-05
118272 115.5 7.10160052769481e-05
118784 116 7.1257349266129e-05
119296 116.5 7.14884504709172e-05
119808 117 7.17193940091721e-05
120320 117.5 7.19490115986583e-05
120832 118 7.21882216656247e-05
121344 118.5 7.24192303517035e-05
121856 119 7.26465721559885e-05
122368 119.5 7.28758601507577e-05
122880 120 7.31079184789865e-05
123392 120.5 7.33415876444518e-05
123904 121 7.35653289216769e-05
124416 121.5 7.37890732995536e-05
124928 122 7.4020659167307e-05
125440 122.5 7.42522767334773e-05
125952 123 7.4481727499553e-05
126464 123.5 7.46946763102254e-05
126976 124 7.49243517810378e-05
127488 124.5 7.51561697868041e-05
128000 125 7.53937751577153e-05
128512 125.5 7.56109852403395e-05
129024 126 7.58303863543193e-05
129536 126.5 7.60547631360095e-05
130048 127 7.62859170311322e-05
130560 127.5 7.65211460448504e-05
131072 128 7.6730784391264e-05
131584 128.5 7.6961068922948e-05
132096 129 7.71745911535057e-05
132608 129.5 7.74086240458213e-05
133120 130 7.76225886992128e-05
133632 130.5 7.78485416534142e-05
134144 131 7.80736728157509e-05
134656 131.5 7.82944706037216e-05
135168 132 7.85152053353085e-05
135680 132.5 7.87256315342771e-05
136192 133 7.89500521233324e-05
136704 133.5 7.91707608591051e-05
137216 134 7.9392071732951e-05
137728 134.5 7.96051886971754e-05
138240 135 7.98215060792751e-05
138752 135.5 8.00415963550011e-05
139264 136 8.02588209871877e-05
139776 136.5 8.04719699870141e-05
140288 137 8.06869946003053e-05
140800 137.5 8.09046569202546e-05
141312 138 8.11233666269372e-05
141824 138.5 8.13365484789254e-05
142336 139 8.15494638682604e-05
142848 139.5 8.17686836525773e-05
143360 140 8.19858504404986e-05
143872 140.5 8.21999257466011e-05
144384 141 8.24118012224267e-05
144896 141.5 8.2630028169505e-05
145408 142 8.28542600213383e-05
145920 142.5 8.30710380653483e-05
146432 143 8.32847144593399e-05
146944 143.5 8.34996090083629e-05
147456 144 8.37227130969449e-05
147968 144.5 8.3946052436161e-05
148480 145 8.41606013658015e-05
148992 145.5 8.4380082006444e-05
149504 146 8.46010957993104e-05
150016 146.5 8.48266950336308e-05
150528 147 8.50440002922375e-05
151040 147.5 8.52599522830036e-05
151552 148 8.54838846851791e-05
152064 148.5 8.57106942661954e-05
152576 149 8.59335935281714e-05
153088 149.5 8.61485059003681e-05
153600 150 8.63690173122095e-05
154112 150.5 8.65929260665794e-05
154624 151 8.6818622114764e-05
155136 151.5 8.70343783700672e-05
155648 152 8.72564522368999e-05
156160 152.5 8.74801009677844e-05
156672 153 8.77086652736485e-05
157184 153.5 8.79255870983956e-05
157696 154 8.81443130322877e-05
158208 154.5 8.83668686498182e-05
158720 155 8.85937720755838e-05
159232 155.5 8.88188938946175e-05
159744 156 8.90358986923176e-05
160256 156.5 8.92596043293293e-05
160768 157 8.94828322777197e-05
161280 157.5 8.97088633847705e-05
161792 158 8.99247685309048e-05
162304 158.5 9.01515557042376e-05
162816 159 9.03736420940353e-05
163328 159.5 9.0602739789269e-05
163840 160 9.0813807119682e-05
164352 160.5 9.10377529511262e-05
164864 161 9.12619621063459e-05
165376 161.5 9.14941666114688e-05
165888 162 9.17170413854108e-05
166400 162.5 9.19314014967562e-05
166912 163 9.21565656035503e-05
167424 163.5 9.23781927654636e-05
167936 164 9.26131705092938e-05
168448 164.5 9.2827488775562e-05
168960 165 9.30579753543909e-05
169472 165.5 9.3275266573499e-05
169984 166 9.3509272443499e-05
170496 166.5 9.37276630320129e-05
171008 167 9.39578429785799e-05
171520 167.5 9.41832183012201e-05
172032 168 9.44125963755402e-05
172544 168.5 9.46371347221655e-05
173056 169 9.48609349070183e-05
173568 169.5 9.50940383750244e-05
174080 170 9.53210254263119e-05
174592 170.5 9.55533981645966e-05
175104 171 9.57761137015729e-05
175616 171.5 9.6010767030019e-05
176128 172 9.6239636146565e-05
176640 172.5 9.64731282294248e-05
177152 173 9.66973676835727e-05
177664 173.5 9.69287539733584e-05
178176 174 9.71631660617924e-05
178688 174.5 9.73955308334719e-05
179200 175 9.76228601365614e-05
179712 175.5 9.78505525553819e-05
180224 176 9.80845394980226e-05
180736 176.5 9.83179748708158e-05
181248 177 9.85493791425342e-05
