# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 7.38486194610596 0 2.9436023235321 0 4.49935364723206 0 0 0 0 0 0 0 0 0 13.5096808335713 35017.0927206168 0 35017.0927206168 124 589803 2283 587520 0 0 0 0 7.38266611099243 1693303092.47787 266
512 0.5 982.059347248171 982.059347248171 9.29978203773499 1.83288311958313 4.77819728851318 0 4.52807283401489 3 130574.610810117 130574.610810117 239328 239328 64108.8341883606 64108.8341883606 117504 117504 32.2895639687231 133419.593673176 3482.84968068117 129936.743992494 150 603465 15945 587520 0 0 0 0 9.28662729263306 1693303094.39279 905
1024 1 1344.3153987048 1344.3153987048 10.1448419094086 2.67794299125671 5.60306334495544 0 4.54429841041565 6 178740.17541179 178740.17541179 478656 478656 87756.9092274495 87756.9092274495 235008 235008 37.8706265748362 133136.389504452 3777.37482277843 129359.014681673 176 604869 17349 587520 0 0 0 0 10.1211457252502 1693303095.23785 1544
1536 1.5 1568.13954402929 1568.13954402929 10.9104700088501 3.44357109069824 6.3548698425293 0 4.5580141544342 9 208499.833774135 208499.833774135 717984 717984 102368.149434232 102368.149434232 352512 352512 43.4629890181756 133035.160653588 4068.61869420144 128966.541959387 202 606253 18733 587520 0 0 0 0 10.8761074542999 1693303096.00348 2183
2048 2 1668.37010748586 1668.37010748586 11.7824881076813 4.31558918952942 7.16099762916565 0 4.67745089530945 12 221826.48949132 221826.48949132 957312 957312 108911.200616677 108911.200616677 470016 470016 61.4520361602515 165099.550360876 4320.25124639289 160779.299114483 348 1195192 20152 1175040 0 0 0 0 11.7368516921997 1693303096.8755 2822
2560 2.5 1463.86236828675 1363.99621249701 13.6150178909302 6.14811897277832 8.92669558525085 0 4.69150447845459 15 194635.140487407 194635.140487407 1196640 1196640 95560.9354017593 95560.9354017593 587520 587520 78.9194888653007 255184.034286791 4552.80132386444 250631.232962927 374 1196586 21546 1175040 0 0 0 0 13.5582268238068 1693303098.70803 3461
3072 3 1545.32612743759 1376.99275814919 14.4557149410248 6.98881602287292 9.75120496749878 0 4.70726203918457 18 205466.561904102 205466.561904102 1435968 1435968 100878.889599126 100878.889599126 705024 705024 84.1745478760672 254611.640051905 4842.79980873848 249768.840243167 400 1198016 22976 1175040 0 0 0 0 14.3882009983063 1693303099.54872 4100
3584 3.5 1604.98861133618 1395.49098306801 15.317421913147 7.85052299499512 10.5974273681641 0 4.72247743606567 21 213399.285763259 213399.285763259 1675296 1675296 104773.656548026 104773.656548026 822528 822528 89.4068829906938 254070.84448322 5121.40422401431 248949.440259206 426 1199408 24368 1175040 0 0 0 0 15.239325761795 1693303100.41043 4739
4096 4 1657.45397653263 1415.99271032631 16.1549229621887 8.68802404403687 11.3671810626984 0 4.841463804245 24 220375.080719778 220375.080719778 1914624 1914624 108198.59558805 108198.59558805 940032 940032 106.104299409723 283257.123811198 5347.40605017269 277909.717761025 572 1788352 25792 1762560 0 0 0 0 16.0658752918243 1693303101.24793 5378
4608 4.5 1563.32521918519 1429.85173097869 17.8294260501862 10.3625271320343 12.9773194789886 0 4.85452175140381 27 207859.721142863 207859.721142863 2153952 2153952 102053.870308409 102053.870308409 1057536 1057536 122.421053883283 368816.713677074 5560.05924522424 363256.654431849 598 1789739 27179 1762560 0 0 0 0 17.7301285266876 1693303102.92244 6017
