# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 7.68639335706298e-07 7.68639335706329e-07 7.68639335706328e-07
1024 1 2.68881476939276e-06 2.68881476939276e-06 2.68881476939277e-06
1536 1.5 3.4906530931979e-06 3.4906530931979e-06 3.49065309319787e-06
2048 2 4.269600981689e-06 4.269600981689e-06 4.269600981689e-06
2560 2.5 5.14289712296238e-06 5.14289712296238e-06 5.14289712296238e-06
3072 3 5.88851120382164e-06 5.88851120382164e-06 5.88851120382164e-06
3584 3.5 6.57217175922011e-06 6.5721717592201e-06 6.5721717592201e-06
4096 4 9.67894353808154e-06 9.67894353808135e-06 9.6789435380813e-06
4608 4.5 1.45007610400672e-05 1.45007610400673e-05 1.45007610400671e-05
5120 5 2.08502193290658e-05 2.08502193290666e-05 2.0850219329065e-05
5632 5.5 2.92817942847456e-05 2.92817942847471e-05 2.92817942847428e-05
6144 6 3.96315106965886e-05 3.96315106965904e-05 3.96315106965838e-05
6656 6.5 5.06737818407629e-05 5.0673781840768e-05 5.06737818407586e-05
7168 7 6.21928702807366e-05 6.21928702807467e-05 6.21928702807371e-05
7680 7.5 7.46452641309543e-05 7.46452641309914e-05 7.46452641309593e-05
8192 8 8.51968225765316e-05 8.51968225766031e-05 8.51968225765443e-05
8704 8.5 9.63861606643405e-05 9.6386160664197e-05 9.63861606642798e-05
9216 9 0.000108801719739214 0.000108801719739123 0.000108801719739224
9728 9.5 0.000120161315009112 0.000120161315009144 0.000120161315009202
10240 10 0.000130932406609238 0.000130932406609328 0.000130932406609273
10752 10.5 0.000141599493805638 0.000141599493805739 0.000141599493805601
11264 11 0.000152140993746373 0.000152140993746518 0.000152140993746406
11776 11.5 0.000162799343636941 0.000162799343637012 0.000162799343637031
12288 12 0.000174191792069655 0.000174191792069501 0.000174191792069634
12800 12.5 0.000186204616419731 0.000186204616419511 0.000186204616419659
13312 13 0.00019767127046102 0.000197671270460915 0.000197671270461004
13824 13.5 0.000207692891038789 0.000207692891038745 0.000207692891038702
14336 14 0.000216613341369883 0.000216613341369853 0.000216613341369648
14848 14.5 0.000225247916831923 0.000225247916832001 0.000225247916831796
15360 15 0.000233808301403113 0.000233808301403224 0.000233808301403326
15872 15.5 0.000242001108337426 0.00024200110833742 0.000242001108337777
16384 16 0.000249578428414331 0.000249578428414298 0.000249578428414428
16896 16.5 0.000256482565422373 0.000256482565422453 0.000256482565422193
17408 17 0.000263017617452597 0.000263017617452695 0.000263017617452518
17920 17.5 0.000269962333988987 0.000269962333988999 0.000269962333989191
18432 18 0.000277798189640976 0.000277798189640887 0.000277798189641104
18944 18.5 0.000285728214752641 0.000285728214752542 0.000285728214752381
19456 19 0.000292179769218635 0.000292179769218638 0.000292179769218292
19968 19.5 0.00029645255974178 0.000296452559741824 0.00029645255974178
20480 20 0.000299300438177849 0.000299300438177882 0.000299300438178154
20992 20.5 0.000301809073698175 0.000301809073698369 0.00030180907369848
21504 21 0.000304319160426189 0.000304319160426587 0.000304319160426273
22016 21.5 0.000306613167377787 0.000306613167377927 0.000306613167377591
22528 22 0.000308468690741542 0.000308468690741148 0.000308468690741258
23040 22.5 0.00030947908442896 0.000309479084428568 0.000309479084428952
23552 23 0.000308717752062445 0.000308717752062527 0.000308717752062695
24064 23.5 0.000305396986332052 0.000305396986332265 0.000305396986332154
24576 24 0.000300093943789676 0.000300093943789675 0.000300093943789533
25088 24.5 0.000294788113248666 0.000294788113248683 0.000294788113248593
25600 25 0.000291096466610982 0.000291096466611169 0.000291096466611099
26112 25.5 0.000288549191059629 0.000288549191059658 0.000288549191059705
26624 26 0.000285158172470184 0.000285158172469833 0.000285158172470122
27136 26.5 0.000279889974442247 0.000279889974441871 0.000279889974442189
27648 27 0.000274104718128035 0.000274104718128105 0.000274104718128065
28160 27.5 0.000270069501099699 0.00027006950110006 0.00027006950109971
28672 28 0.000268306905962014 0.000268306905962167 0.000268306905962033
29184 28.5 0.00026694144660179 0.000266941446601583 0.000266941446601848
29696 29 0.000263609318231511 0.000263609318231276 0.000263609318231421
30208 29.5 0.000257558059500244 0.000257558059500308 0.000257558059500065
30720 30 0.000250010989223732 0.000250010989224049 0.000250010989223897
31232 30.5 0.000243190789120792 0.000243190789121163 0.000243190789121349
31744 31 0.000239023617569315 0.000239023617569452 0.000239023617569538
32256 31.5 0.000237823699561631 0.000237823699561232 0.000237823699561033
32768 32 0.000237673683333336 0.000237673683332597 0.000237673683332612
33280 32.5 0.000235782150307111 0.000235782150306822 0.000235782150307214
33792 33 0.000237007162565525 0.000237007162565689 0.000237007162565585
34304 33.5 0.00023852912643108 0.000238529126431234 0.000238529126430909
34816 34 0.000239977939705183 0.000239977939705086 0.000239977939704956
35328 34.5 0.000241347952124798 0.000241347952124546 0.000241347952124826
35840 35 0.00024271788895251 0.000242717888952369 0.000242717888952812
36352 35.5 0.000246179678133532 0.000246179678133496 0.000246179678133365
36864 36 0.000250471699126134 0.000250471699126513 0.000250471699126267
37376 36.5 0.000254571832951809 0.000254571832952113 0.000254571832952068
37888 37 0.000260124160558288 0.000260124160558333 0.000260124160558582
38400 37.5 0.000264365870335887 0.000264365870336282 0.000264365870336339
38912 38 0.000267412188038922 0.000267412188038704 0.000267412188038753
39424 38.5 0.000270650122786286 0.000270650122785955 0.000270650122785866
39936 39 0.000274824142728027 0.000274824142728321 0.000274824142728077
40448 39.5 0.00027960182566471 0.000279601825665197 0.000279601825665044
40960 40 0.000284361963935158 0.000284361963935257 0.000284361963935356
41472 40.5 0.000288941175888831 0.000288941175888852 0.000288941175889093
41984 41 0.000294806269186621 0.000294806269186762 0.000294806269186626
42496 41.5 0.000299932899490291 0.000299932899490452 0.000299932899490164
43008 42 0.000304600981477863 0.000304600981477982 0.000304600981477966
43520 42.5 0.000309286498398235 0.000309286498398332 0.000309286498398203
44032 43 0.000313992877065515 0.000313992877065441 0.000313992877065116
44544 43.5 0.000318355852603578 0.000318355852603421 0.000318355852603624
45056 44 0.00032225288285437 0.000322252882854537 0.00032225288285511
45568 44.5 0.000325876148572196 0.000325876148572404 0.000325876148572385
46080 45 0.000329317331293947 0.000329317331293523 0.000329317331293212
46592 45.5 0.000332541664877399 0.000332541664876721 0.000332541664876978
47104 46 0.000335686218371633 0.000335686218371703 0.00033568621837205
47616 46.5 0.000338999579730324 0.000338999579731188 0.000338999579730788
48128 47 0.000342571707275807 0.000342571707276222 0.000342571707275763
48640 47.5 0.000346407143236672 0.000346407143235768 0.00034640714323624
49152 48 0.000350619270384932 0.000350619270383998 0.000350619270384595
49664 48.5 0.000355549928647562 0.000355549928648166 0.000355549928647396
50176 49 0.000360116913754322 0.000360116913755184 0.000360116913754498
50688 49.5 0.000364543080111869 0.000364543080111527 0.000364543080111979
51200 50 0.000368208897212943 0.000368208897212318 0.000368208897213043
51712 50.5 0.000372873850903724 0.000372873850903568 0.000372873850903435
52224 51 0.000377785773628107 0.000377785773628722 0.000377785773628146
52736 51.5 0.000381395004665038 0.000381395004665564 0.000381395004665344
53248 52 0.000384716483713694 0.000384716483713482 0.000384716483713749
53760 52.5 0.000389123791918195 0.000389123791917817 0.000389123791917905
54272 53 0.000394423215112674 0.000394423215112635 0.000394423215112224
54784 53.5 0.000399214993430313 0.000399214993430192 0.000399214993429896
55296 54 0.000402876190069939 0.000402876190069576 0.000402876190069949
55808 54.5 0.000406246745871413 0.000406246745871467 0.000406246745872075
56320 55 0.000410186653688014 0.000410186653688583 0.000410186653688686
