# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000160563198105665
512 0.5 0.000159829957350872
1024 1 0.000159143853690501
1536 1.5 0.000158510518142271
2048 2 0.00015791441922241
2560 2.5 0.00015735810012782
3072 3 0.000156862395620967
3584 3.5 0.000156441614496935
4096 4 0.000156161218702882
4608 4.5 0.000156008821785915
5120 5 0.000155950951127652
5632 5.5 0.000155983722331345
6144 6 0.000156101639762929
6656 6.5 0.000156297402834607
7168 7 0.000156562358619243
7680 7.5 0.000156887401265155
8192 8 0.000157263546157946
8704 8.5 0.00015768164924075
9216 9 0.000158131866116868
9728 9.5 0.000158604092729094
10240 10 0.000159089391669347
10752 10.5 0.000159580576903094
11264 11 0.000160070875350928
11776 11.5 0.000160552709148584
12288 12 0.000161019184220542
12800 12.5 0.000161466697821364
13312 13 0.00016189457400038
13824 13.5 0.00016230177672654
14336 14 0.000162685463586948
14848 14.5 0.000163044028573239
15360 15 0.000163379349403815
15872 15.5 0.000163694092845465
16384 16 0.000163988223140967
16896 16.5 0.000164260569820978
17408 17 0.000164513127581208
17920 17.5 0.000164751126712574
18432 18 0.000164978505092605
18944 18.5 0.000165195441587067
19456 19 0.000165401157522405
19968 19.5 0.000165597457888441
20480 20 0.000165788273832991
20992 20.5 0.00016597668066705
21504 21 0.000166163585371577
22016 21.5 0.00016634886212256
22528 22 0.000166532504273767
23040 22.5 0.000166714397532232
23552 23 0.000166893748545256
24064 23.5 0.000167069405466196
24576 24 0.000167240704070842
25088 24.5 0.000167407534232874
25600 25 0.000167569199371257
26112 25.5 0.000167723343057255
26624 26 0.000167866647351688
27136 26.5 0.000167997118940107
27648 27 0.000168115523602415
28160 27.5 0.000168224092120781
28672 28 0.000168323777583414
29184 28.5 0.000168413054740709
29696 29 0.000168489233282391
30208 29.5 0.000168550488830442
30720 30 0.000168596837553823
31232 30.5 0.000168630023704689
31744 31 0.000168652762819699
32256 31.5 0.000168667308476979
32768 32 0.00016867401035465
33280 32.5 0.000168671525982109
33792 33 0.0001686590768358
34304 33.5 0.000168638505197513
34816 34 0.000168613697951994
35328 34.5 0.000168587918338934
35840 35 0.00016856189104405
36352 35.5 0.000168534436160226
36864 36 0.000168504753575595
37376 36.5 0.000168474153473142
37888 37 0.000168445813390181
38400 37.5 0.00016842283155509
38912 38 0.000168406228254345
39424 38.5 0.000168394733181245
39936 39 0.000168386726722151
40448 39.5 0.000168382578137547
40960 40 0.0001683849761023
41472 40.5 0.000168396705341148
41984 41 0.000168418079843777
42496 41.5 0.00016844689870957
43008 42 0.000168481187225981
43520 42.5 0.000168521698669832
44032 43 0.000168571183854424
44544 43.5 0.000168631242868748
45056 44 0.000168700645195626
45568 44.5 0.000168777191607934
46080 45 0.000168860603204543
46592 45.5 0.000168952655237121
47104 46 0.000169054589515273
47616 46.5 0.000169165478660698
48128 47 0.000169283683846199
48640 47.5 0.000169409137939439
49152 48 0.000169543175803743
49664 48.5 0.000169686281121183
50176 49 0.000169837068477699
50688 49.5 0.00016999395612756
51200 50 0.00017015714435919
51712 50.5 0.000170328119486024
52224 51 0.00017050732545539
52736 51.5 0.000170693099856984
53248 52 0.000170883277320913
53760 52.5 0.000171077403256503
54272 53 0.000171276752889274
54784 53.5 0.000171482179401446
55296 54 0.000171692568923254
55808 54.5 0.000171905825747732
56320 55 0.0001721209652587
56832 55.5 0.000172338519259857
57344 56 0.000172558909622265
57856 56.5 0.000172781233847383
58368 57 0.000173004067848843
58880 57.5 0.000173226816069345
59392 58 0.000173449507002586
59904 58.5 0.000173671560967637
60416 59 0.000173891689264679
60928 59.5 0.00017410914462676
61440 60 0.000174324219735019
61952 60.5 0.000174537007142366
62464 61 0.00017474627573946
62976 61.5 0.000174950310099713
63488 62 0.000175148573971384
64000 62.5 0.00017534172785087
64512 63 0.000175529983525908
65024 63.5 0.000175712261660756
65536 64 0.000175887327847249
66048 64.5 0.000176055068927102
66560 65 0.000176215984619745
67072 65.5 0.000176369815461231
67584 66 0.000176515501723277
68096 66.5 0.000176652488146662
68608 67 0.000176781301716675
69120 67.5 0.000176902547806324
69632 68 0.000177015910894738
70144 68.5 0.0001771205942445
70656 69 0.000177216368762851
71168 69.5 0.000177303682482147
71680 70 0.000177382964245056
72192 70.5 0.00017745438178872
72704 71 0.000177518226523345
73216 71.5 0.000177574928309541
73728 72 0.000177624482543703
74240 72.5 0.000177666336507438
74752 73 0.000177700234236647
75264 73.5 0.000177726949475201
75776 74 0.000177747788771421
76288 74.5 0.000177763387052317
76800 75 0.000177773257469034
77312 75.5 0.000177776567139488
77824 76 0.000177773191137465
78336 76.5 0.000177763974406367
78848 77 0.000177750071990901
79360 77.5 0.000177732036707201
79872 78 0.000177709466780031
80384 78.5 0.000177681590271376
80896 79 0.000177648298952633
81408 79.5 0.000177610507498758
81920 80 0.000177569286834849
82432 80.5 0.000177524724209182
82944 81 0.000177475997538229
83456 81.5 0.000177422674403838
83968 82 0.000177365537301225
84480 82.5 0.000177305760248116
84992 83 0.000177243502787126
85504 83.5 0.000177177860277147
86016 84 0.000177108288397824
86528 84.5 0.000177035575644487
87040 85 0.000176961024703673
87552 85.5 0.000176884924957912
88064 86 0.00017680634124657
88576 86.5 0.000176724482222216
89088 87 0.000176639866070528
89600 87.5 0.000176553827476555
90112 88 0.000176467043898209
90624 88.5 0.00017637891837982
91136 89 0.000176288506379775
91648 89.5 0.000176195786451294
92160 90 0.00017610175508142
92672 90.5 0.000176007321450236
93184 91 0.000175912388417035
93696 91.5 0.000175816174437872
94208 92 0.000175718278049813
94720 92.5 0.000175619166785794
95232 93 0.000175519613713058
95744 93.5 0.000175419907901839
96256 94 0.000175319770254035
96768 94.5 0.000175218877829439
97280 95 0.0001751172452566
97792 95.5 0.000175015153148
98304 96 0.000174912939918145
98816 96.5 0.000174810885185197
99328 97 0.000174709073361694
99840 97.5 0.000174607290277298
100352 98 0.000174505265923185
100864 98.5 0.000174403160288606
101376 99 0.000174301614110621
101888 99.5 0.000174201106126997
102400 100 0.000174101409857723
102912 100.5 0.00017400197115
103424 101 0.000173902760704222
103936 101.5 0.000173804426535155
104448 102 0.000173707542798349
104960 102.5 0.000173612007025728
105472 103 0.000173517345441618
105984 103.5 0.000173423396824463
106496 104 0.000173330478504245
107008 104.5 0.000173239000532905
107520 105 0.000173149134658286
108032 105.5 0.000173060823466504
108544 106 0.000172973933539587
109056 106.5 0.000172888384020816
109568 107 0.00017280424353332
110080 107.5 0.000172721724531918
110592 108 0.000172641015817336
111104 108.5 0.000172562120922721
111616 109 0.000172484903615341
112128 109.5 0.000172409254770104
112640 110 0.000172335157715682
113152 110.5 0.000172262646293622
113664 111 0.000172191792308971
114176 111.5 0.000172122692429611
