# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
158208 154.5 1.04247006670995
158720 155 1.04263845440227
159232 155.5 1.04280894857706
159744 156 1.04297927476874
160256 156.5 1.04314924448099
160768 157 1.04360851313439
161280 157.5 1.04420881349409
161792 158 1.0447323910698
162304 158.5 1.04520168394216
162816 159 1.04486586206189
163328 159.5 1.04418168675828
163840 160 1.04435947705328
164352 160.5 1.04453556913655
164864 161 1.04470709563892
165376 161.5 1.0448748039635
165888 162 1.04503955973473
166400 162.5 1.04519376670353
166912 163 1.04534240158068
167424 163.5 1.04548708490756
167936 164 1.04562584782388
168448 164.5 1.04575649046875
168960 165 1.0458792566061
169472 165.5 1.04599539602341
169984 166 1.04610646593798
170496 166.5 1.04621367747392
171008 167 1.04631696868101
171520 167.5 1.04641871281383
172032 168 1.0473657893156
172544 168.5 1.04753958479267
173056 169 1.04860163393811
173568 169.5 1.05014315990475
174080 170 1.05138462285402
174592 170.5 1.05274076974296
175104 171 1.05415221242623
175616 171.5 1.05544933001725
176128 172 1.05656259166455
176640 172.5 1.05731997449427
177152 173 1.05860703355529
177664 173.5 1.05968688549337
178176 174 1.06035514999998
178688 174.5 1.05980177642269
179200 175 1.0602396525458
179712 175.5 1.05873938181595
180224 176 1.05383970036011
180736 176.5 1.05417105718136
181248 177 1.05458048838662
181760 177.5 1.05497575972203
182272 178 1.05535910326182
182784 178.5 1.05573159321416
183296 179 1.05609760131151
183808 179.5 1.05644889872737
184320 180 1.05678471774508
184832 180.5 1.05710540595283
185344 181 1.0574110627972
185856 181.5 1.05770171809091
186368 182 1.05797729866782
186880 182.5 1.05823778394541
187392 183 1.05848309562523
187904 183.5 1.05871742669027
188416 184 1.05894073359046
188928 184.5 1.05913053101539
189440 185 1.05928170333933
189952 185.5 1.05942117405283
190464 186 1.05954934485909
190976 186.5 1.05966678440272
191488 187 1.0597741399294
192000 187.5 1.05987202215031
192512 188 1.05996087491636
193024 188.5 1.06004091483884
193536 189 1.06011262513183
194048 189.5 1.06017661394782
194560 190 1.06023287293785
195072 190.5 1.06028093940609
195584 191 1.0603107685689
196096 191.5 1.06031970293965
196608 192 1.06030963081268
197120 192.5 1.06028295631977
197632 193 1.06024865936719
198144 193.5 1.06020840917528
198656 194 1.06016226659579
199168 194.5 1.06011081640821
199680 195 1.06005473607445
200192 195.5 1.05999445279035
200704 196 1.05993031384743
201216 196.5 1.05986276258912
201728 197 1.05979222197707
202240 197.5 1.05971712525396
202752 198 1.05963959994097
203264 198.5 1.05956270218138
203776 199 1.05948720794618
204288 199.5 1.06124981892924
204800 200 1.06366104413933
205312 200.5 1.06524133433728
205824 201 1.06644844954636
206336 201.5 1.06737251569834
206848 202 1.06790398687026
207360 202.5 1.06717327715398
207872 203 1.06280463423741
208384 203.5 1.0629007941827
208896 204 1.06188143182649
209408 204.5 1.05905718110936
209920 205 1.05885082844187
210432 205.5 1.0588357193407
210944 206 1.05882828767713
211456 206.5 1.05882700426812
211968 207 1.05883212777337
212480 207.5 1.05884380675573
212992 208 1.05886065307287
213504 208.5 1.05888158619407
214016 209 1.05890901692122
214528 209.5 1.05894305083081
215040 210 1.05898146352759
215552 210.5 1.0590234354212
216064 211 1.05906775098297
216576 211.5 1.05911323933247
217088 212 1.05915865599725
217600 212.5 1.05920279807518
218112 213 1.05924423785129
218624 213.5 1.05928203492811
219136 214 1.0593185716021
219648 214.5 1.05935276044949
220160 215 1.05936116917612
220672 215.5 1.05933820974923
221184 216 1.05931140133752
221696 216.5 1.05928050467901
222208 217 1.05924531200954
222720 217.5 1.059205704588
223232 218 1.0591615667822
223744 218.5 1.05911282250423
224256 219 1.05905947970644
224768 219.5 1.05900169095348
225280 220 1.05893945660454
225792 220.5 1.05887244659016
226304 221 1.05879993990642
226816 221.5 1.05871924351528
227328 222 1.05863064563783
227840 222.5 1.05853481848034
228352 223 1.05843225609417
228864 223.5 1.05832355877933
229376 224 1.05820866150242
229888 224.5 1.05808788559423
230400 225 1.0579627050764
230912 225.5 1.05783689130699
231424 226 1.05771397838391
231936 226.5 1.05940374854128
232448 227 1.06082334932722
232960 227.5 1.06187812435882
233472 228 1.06523013862965
233984 228.5 1.06856343180343
234496 229 1.07108554948265
235008 229.5 1.07254470792478
235520 230 1.07363446616891
236032 230.5 1.07431980357159
236544 231 1.07445968029472
237056 231.5 1.07378574433749
237568 232 1.06718650321691
238080 232.5 1.06735886397682
238592 233 1.06724221370969
239104 233.5 1.06665037625956
239616 234 1.06519684698542
240128 234.5 1.06204560018475
240640 235 1.05836394979677
241152 235.5 1.05598475359535
241664 236 1.05593037643923
