# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
100352 98 -0.00757161575436264
100864 98.5 -0.0076065841616469
101376 99 -0.00764007041312233
101888 99.5 -0.0076728071281099
102400 100 -0.00770565989350125
102912 100.5 -0.0077389820827344
103424 101 -0.00777257561254929
103936 101.5 -0.0078059147960747
104448 102 -0.0078385422553244
104960 102.5 -0.00787035166532195
105472 103 -0.00790161215017389
105984 103.5 -0.00793299593968701
106496 104 -0.00796534429511685
107008 104.5 -0.0079986416283787
107520 105 -0.0080313076219287
108032 105.5 -0.00806165988284292
108544 106 -0.00809035038931342
109056 106.5 -0.00812006949921359
109568 107 -0.00815219742627122
110080 107.5 -0.0081849069120799
110592 108 -0.00821545216046212
111104 108.5 -0.00824349026900458
111616 109 -0.00827119815047406
112128 109.5 -0.00830061120060348
112640 110 -0.00833162941989691
113152 110.5 -0.00836245294374649
113664 111 -0.00839149735599106
114176 111.5 -0.00841889571751539
114688 112 -0.0084462144967272
115200 112.5 -0.00847466021826144
115712 113 -0.0085038247177654
116224 113.5 -0.00853234797024992
116736 114 -0.00855960397685404
117248 114.5 -0.00858623075199367
117760 115 -0.00861310757074175
118272 115.5 -0.00864033008140768
118784 116 -0.00866738976123646
119296 116.5 -0.00869407348486241
119808 117 -0.00872074410454199
120320 117.5 -0.00874754588439473
120832 118 -0.00877375520733729
121344 118.5 -0.00879865383080636
121856 119 -0.00882300737265124
122368 119.5 -0.00884861414358558
122880 120 -0.00887582907309312
123392 120.5 -0.0089025519491567
123904 121 -0.00892677664526954
124416 121.5 -0.00894947678201332
124928 122 -0.00897350707320793
125440 122.5 -0.0089997804721827
125952 123 -0.00902609540787013
126464 123.5 -0.00905022920963427
126976 124 -0.00907281380523054
127488 124.5 -0.00909608615391465
128000 125 -0.00912069139947171
128512 125.5 -0.00914518668244683
129024 126 -0.00916852664224581
129536 126.5 -0.00919151336728772
130048 127 -0.00921518848252128
130560 127.5 -0.00923897155523571
131072 128 -0.00926158699361646
131584 128.5 -0.00928331097398707
132096 129 -0.00930586569345603
132608 129.5 -0.00932984056244795
133120 130 -0.00935347934935896
133632 130.5 -0.00937493708076656
134144 131 -0.00939499368373017
134656 131.5 -0.00941623181145665
135168 132 -0.00943958280071107
135680 132.5 -0.00946302225531831
136192 133 -0.00948429916293168
136704 133.5 -0.00950388737976163
137216 134 -0.00952411095240182
137728 134.5 -0.00954593946083994
138240 135 -0.00956801352048959
138752 135.5 -0.00958885904004047
139264 136 -0.00960873063792468
139776 136.5 -0.00962873161526574
140288 137 -0.00964908295127352
140800 137.5 -0.00966916554687249
141312 138 -0.00968883744108961
141824 138.5 -0.00970873170804132
142336 139 -0.00972909866045876
142848 139.5 -0.00974909072542095
143360 140 -0.00976780132695436
143872 140.5 -0.00978573933751942
144384 141 -0.00980447441091684
144896 141.5 -0.00982457455395556
145408 142 -0.00984461739889916
145920 142.5 -0.0098629225237352
146432 143 -0.009879822464836
146944 143.5 -0.00989728273456467
147456 144 -0.00991631185175822
147968 144.5 -0.00993571731970072
148480 145 -0.00995380896418581
148992 145.5 -0.00997056561607612
149504 146 -0.00998740233110163
150016 146.5 -0.0100051579696577
150528 147 -0.0100231501954985
151040 147.5 -0.0100403594653672
151552 148 -0.0100568728068742
152064 148.5 -0.0100735974133664
152576 149 -0.0100908155615783
153088 149.5 -0.010107750809609
153600 150 -0.0101237647790444
154112 150.5 -0.0101393701588028
154624 151 -0.0101555170579242
155136 151.5 -0.0101722052086472
155648 152 -0.010188469937725
156160 152.5 -0.0102037147147732
156672 153 -0.0102184576394475
157184 153.5 -0.0102335792133849
157696 154 -0.0102492576834375
