# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.29489087165799e-07 2.29489087165802e-07 2.29489087165809e-07
1024 1 5.83495725773601e-07 5.83495725773615e-07 5.83495725773648e-07
1536 1.5 8.96859294019376e-07 8.96859294019354e-07 8.96859294019361e-07
2048 2 9.39408625910721e-07 9.39408625910679e-07 9.39408625910612e-07
2560 2.5 1.00042518268029e-06 1.00042518268009e-06 1.00042518267999e-06
3072 3 9.76551727277496e-07 9.76551727277492e-07 9.76551727277336e-07
3584 3.5 1.07971109894583e-06 1.07971109894594e-06 1.07971109894615e-06
4096 4 9.89261158941127e-07 9.89261158941272e-07 9.89261158941282e-07
4608 4.5 1.05604348525666e-06 1.05604348525672e-06 1.05604348525684e-06
5120 5 1.0621388737901e-06 1.06213887379039e-06 1.06213887379052e-06
5632 5.5 1.1008945080743e-06 1.1008945080733e-06 1.10089450807413e-06
6144 6 1.07967915971362e-06 1.07967915971444e-06 1.07967915971188e-06
6656 6.5 1.14167457070408e-06 1.14167457070263e-06 1.14167457070263e-06
7168 7 1.13015288909628e-06 1.13015288909529e-06 1.13015288909717e-06
7680 7.5 1.10329255706295e-06 1.10329255706183e-06 1.10329255705657e-06
8192 8 1.17208393499896e-06 1.17208393499383e-06 1.17208393499488e-06
8704 8.5 1.19934993225494e-06 1.19934993224909e-06 1.19934993225238e-06
9216 9 1.2167301358958e-06 1.21673013588999e-06 1.21673013589083e-06
9728 9.5 1.28536791720426e-06 1.28536791720103e-06 1.28536791720339e-06
10240 10 1.28289403846197e-06 1.28289403845493e-06 1.28289403845829e-06
10752 10.5 1.29456609195463e-06 1.29456609195245e-06 1.29456609195367e-06
11264 11 1.27783383592541e-06 1.27783383592285e-06 1.27783383592799e-06
11776 11.5 1.27891585311197e-06 1.2789158531058e-06 1.27891585312008e-06
12288 12 1.26248609511027e-06 1.26248609509817e-06 1.26248609509312e-06
12800 12.5 1.23089276948516e-06 1.23089276947409e-06 1.23089276947752e-06
13312 13 1.24100575014955e-06 1.2410057501393e-06 1.24100575013543e-06
13824 13.5 1.24765611699504e-06 1.24765611699626e-06 1.24765611700618e-06
14336 14 1.20560626476516e-06 1.20560626476276e-06 1.20560626477033e-06
14848 14.5 1.1804383696256e-06 1.18043836963707e-06 1.18043836963768e-06
15360 15 1.18412793974665e-06 1.18412793974207e-06 1.18412793974603e-06
15872 15.5 1.2101731152446e-06 1.21017311524226e-06 1.21017311524638e-06
16384 16 1.25656602645335e-06 1.25656602644139e-06 1.25656602642625e-06
16896 16.5 1.28596089674941e-06 1.28596089674667e-06 1.28596089673359e-06
17408 17 1.30789081230407e-06 1.30789081230181e-06 1.30789081230227e-06
17920 17.5 1.32156665960866e-06 1.32156665961389e-06 1.32156665960758e-06
18432 18 1.34138544705266e-06 1.34138544703914e-06 1.34138544704565e-06
18944 18.5 1.35545121319136e-06 1.35545121318844e-06 1.35545121318802e-06
19456 19 1.35352150202795e-06 1.35352150200328e-06 1.35352150201188e-06
19968 19.5 1.40887135858369e-06 1.40887135857753e-06 1.4088713585879e-06
20480 20 1.40982043400958e-06 1.40982043401599e-06 1.40982043401447e-06
20992 20.5 1.38270117632002e-06 1.38270117629656e-06 1.38270117631256e-06
21504 21 1.37488332034476e-06 1.3748833203401e-06 1.37488332034105e-06
22016 21.5 1.39631386988856e-06 1.39631386989116e-06 1.39631386987939e-06
22528 22 1.42435514073035e-06 1.42435514071786e-06 1.42435514072177e-06
23040 22.5 1.41730537711325e-06 1.4173053771265e-06 1.41730537712177e-06
23552 23 1.40882263521366e-06 1.40882263521728e-06 1.40882263521495e-06
24064 23.5 1.42788384935472e-06 1.42788384934592e-06 1.42788384936798e-06
24576 24 1.43307044918918e-06 1.43307044918664e-06 1.43307044919139e-06
25088 24.5 1.40600968580054e-06 1.40600968581238e-06 1.40600968579437e-06
25600 25 1.44136638232712e-06 1.44136638231433e-06 1.44136638231121e-06
26112 25.5 1.4434121854251e-06 1.44341218540816e-06 1.44341218541558e-06
26624 26 1.35705381772839e-06 1.35705381772002e-06 1.3570538177166e-06
27136 26.5 1.29418909191286e-06 1.29418909191324e-06 1.2941890919045e-06
27648 27 1.26744673743559e-06 1.26744673743778e-06 1.26744673743546e-06
28160 27.5 1.22849883666905e-06 1.22849883666057e-06 1.22849883668949e-06
