# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.966875255744351
512 0.5 0.966884141513851
1024 1 0.966891919746972
1536 1.5 0.966899267429123
2048 2 0.96690729298555
2560 2.5 0.966915662729129
3072 3 0.966924064392414
3584 3.5 0.966932585276906
4096 4 0.96694128440886
4608 4.5 0.966950141093017
5120 5 0.966959130753756
5632 5.5 0.966968260804103
6144 6 0.96697755502245
6656 6.5 0.966987009618373
7168 7 0.966996606245822
7680 7.5 0.967006347837615
8192 8 0.96701624573497
8704 8.5 0.967026296690251
9216 9 0.9670364922828
9728 9.5 0.967046832626872
10240 10 0.967057322185159
10752 10.5 0.96706795969734
11264 11 0.96707873875911
11776 11.5 0.967089656905442
12288 12 0.967100715711178
12800 12.5 0.96711191272623
13312 13 0.96712324163886
13824 13.5 0.96713469854381
14336 14 0.967146281798572
14848 14.5 0.967157987388711
15360 15 0.967169808485289
15872 15.5 0.967181739005741
16384 16 0.967193774542702
16896 16.5 0.967205909229583
17408 17 0.96721813462827
17920 17.5 0.967230442498375
18432 18 0.967242825748153
18944 18.5 0.967255276110017
19456 19 0.967267783296035
19968 19.5 0.967280336811256
20480 20 0.967292926840332
20992 20.5 0.967305542850183
21504 21 0.967318172669144
22016 21.5 0.967330803719726
22528 22 0.96734342400507
23040 22.5 0.967356021139691
23552 23 0.96736858181696
24064 23.5 0.967381093059766
24576 24 0.967393541564645
25088 24.5 0.967405908805235
25600 25 0.967418171645257
26112 25.5 0.967430323171352
26624 26 0.967442391974809
27136 26.5 0.967454392517248
27648 27 0.967466227982664
28160 27.5 0.967477769913389
28672 28 0.967489217383671
29184 28.5 0.967501243360383
29696 29 0.967514388602895
30208 29.5 0.967528363443769
30720 30 0.96754250026389
31232 30.5 0.967556830676563
31744 31 0.967571967255561
32256 31.5 0.967588097867015
32768 32 0.967605077346534
33280 32.5 0.96762315764291
33792 33 0.967642483998562
34304 33.5 0.967662378822027
34816 34 0.967682112582697
35328 34.5 0.967701725133039
35840 35 0.967721581943602
36352 35.5 0.967741734585461
36864 36 0.967761512057993
37376 36.5 0.967779645048663
37888 37 0.967795850931901
38400 37.5 0.96781153693996
38912 38 0.967827384205464
39424 38.5 0.967842046089779
39936 39 0.967854688185905
40448 39.5 0.96786618850857
40960 40 0.967876974876789
41472 40.5 0.967886430609364
41984 41 0.96789459486027
42496 41.5 0.967902432568936
43008 42 0.967910692626873
43520 42.5 0.967919363354922
44032 43 0.967927983137082
44544 43.5 0.9679363529126
45056 44 0.967944697644904
45568 44.5 0.967953046333604
46080 45 0.96796107985204
46592 45.5 0.96796856143635
47104 46 0.967975651912545
47616 46.5 0.967983022272193
48128 47 0.967991063410666
48640 47.5 0.967998950676217
49152 48 0.968005864131803
