# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 1.98455921999116e-05
512 0.5 2.80899204247759e-05
1024 1 3.60670730373936e-05
1536 1.5 3.96996299289292e-05
2048 2 4.02990081610258e-05
2560 2.5 4.03994474691362e-05
3072 3 4.13773398865931e-05
3584 3.5 4.28078958109317e-05
4096 4 4.35990058308412e-05
4608 4.5 4.38657313894042e-05
5120 5 4.44486812824857e-05
5632 5.5 4.54995232526514e-05
6144 6 4.6355821536236e-05
6656 6.5 4.67340519939826e-05
7168 7 4.71595825578487e-05
7680 7.5 4.79895645126705e-05
8192 8 4.88593727452173e-05
8704 8.5 4.9383613717245e-05
9216 9 4.97897928994495e-05
9728 9.5 5.04412677475141e-05
10240 10 5.12454257003659e-05
10752 10.5 5.19149136571244e-05
11264 11 5.24704178790734e-05
11776 11.5 5.30751243322708e-05
12288 12 5.37594531690836e-05
12800 12.5 5.44349961079955e-05
13312 13 5.50988472922157e-05
13824 13.5 5.5860363774523e-05
14336 14 5.67500300707058e-05
14848 14.5 5.76320271454642e-05
15360 15 5.83762856573686e-05
15872 15.5 5.90520235097339e-05
16384 16 5.98654417717484e-05
16896 16.5 6.08789342445042e-05
17408 17 6.19644188858204e-05
17920 17.5 6.29850256540576e-05
18432 18 6.39188742497745e-05
18944 18.5 6.48323691223479e-05
19456 19 6.5790928128079e-05
19968 19.5 6.68929944456508e-05
20480 20 6.81462346126722e-05
20992 20.5 6.94001654987317e-05
21504 21 7.05146497731453e-05
22016 21.5 7.15100971637778e-05
22528 22 7.25790463073137e-05
23040 22.5 7.3847193706614e-05
23552 23 7.52466474191951e-05
24064 23.5 7.66302821082382e-05
24576 24 7.78840684435013e-05
25088 24.5 7.9022898012688e-05
25600 25 8.01595139123961e-05
26112 25.5 8.14297450674494e-05
26624 26 8.28746548654143e-05
27136 26.5 8.43892780049652e-05
27648 27 8.58321281128093e-05
28160 27.5 8.71630425746406e-05
28672 28 8.84803597180523e-05
29184 28.5 8.9874655159651e-05
29696 29 9.13524963107378e-05
30208 29.5 9.28706343641138e-05
30720 30 9.44093039356247e-05
31232 30.5 9.59669787787299e-05
31744 31 9.75242419685529e-05
32256 31.5 9.90715434604774e-05
32768 32 0.00010062335156886
33280 32.5 0.00010220764886228
33792 33 0.000103832042971082
34304 33.5 0.000105488578057895
34816 34 0.000107171083114866
35328 34.5 0.000108876198832359
35840 35 0.000110588556013209
36352 35.5 0.000112278122854022
36864 36 0.000113942582633627
