# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
35840 35 -6.56583420240288e-06 -6.56583420190021e-06 -6.5658342023318e-06
36352 35.5 -7.88888493564682e-06 -7.88888493547665e-06 -7.88888493541159e-06
36864 36 -8.91006606796607e-06 -8.91006606816917e-06 -8.91006606822894e-06
37376 36.5 -9.94052493509284e-06 -9.94052493520113e-06 -9.94052493611464e-06
37888 37 -1.09577629403248e-05 -1.09577629400085e-05 -1.09577629407431e-05
38400 37.5 -1.11256741677542e-05 -1.11256741674101e-05 -1.11256741684384e-05
38912 38 -1.1730812477598e-05 -1.17308124772086e-05 -1.17308124771477e-05
39424 38.5 -1.18577538532e-05 -1.18577538528436e-05 -1.1857753852733e-05
39936 39 -1.20159995918624e-05 -1.20159995914529e-05 -1.20159995913411e-05
40448 39.5 -1.20612281167442e-05 -1.20612281171029e-05 -1.20612281168129e-05
40960 40 -1.21417714802374e-05 -1.21417714803836e-05 -1.21417714805207e-05
41472 40.5 -1.23642191448518e-05 -1.23642191450781e-05 -1.23642191451234e-05
41984 41 -1.18829006682729e-05 -1.18829006681302e-05 -1.18829006681141e-05
42496 41.5 -1.15818122944743e-05 -1.15818122946587e-05 -1.15818122944465e-05
43008 42 -1.09320252849889e-05 -1.09320252849722e-05 -1.0932025284787e-05
43520 42.5 -1.01001127070221e-05 -1.01001127068603e-05 -1.01001127067628e-05
44032 43 -7.56548099185237e-06 -7.56548099211527e-06 -7.56548099209353e-06
44544 43.5 -5.32041639171344e-06 -5.32041639180203e-06 -5.32041639176846e-06
45056 44 -5.19614371259295e-06 -5.19614371278467e-06 -5.19614371269682e-06
45568 44.5 -4.68474360912491e-06 -4.68474360920665e-06 -4.68474360921958e-06
46080 45 -3.96605424148329e-06 -3.96605424161218e-06 -3.96605424151525e-06
46592 45.5 -3.84867679156061e-06 -3.84867679142887e-06 -3.84867679141365e-06
47104 46 -3.73020933440171e-06 -3.7302093344039e-06 -3.73020933431487e-06
47616 46.5 -3.46208029837528e-06 -3.46208029831948e-06 -3.46208029826127e-06
48128 47 -3.42704595008598e-06 -3.42704594992813e-06 -3.42704595018368e-06
48640 47.5 -3.34009928197501e-06 -3.34009928214191e-06 -3.3400992820441e-06
49152 48 -3.22209380681599e-06 -3.22209380693584e-06 -3.22209380695531e-06
49664 48.5 -3.14337857022946e-06 -3.14337857024537e-06 -3.14337857027128e-06
50176 49 -3.09176934684777e-06 -3.09176934688491e-06 -3.09176934706618e-06
50688 49.5 -3.06997008453989e-06 -3.06997008453134e-06 -3.06997008479321e-06
51200 50 -3.04089308305994e-06 -3.04089308290089e-06 -3.04089308282429e-06
51712 50.5 -2.95431346572773e-06 -2.95431346566486e-06 -2.95431346564636e-06
52224 51 -2.89234278523244e-06 -2.89234278530216e-06 -2.89234278530741e-06
52736 51.5 -2.8138531806723e-06 -2.81385318078701e-06 -2.81385318073625e-06
53248 52 -2.76216370652212e-06 -2.76216370658749e-06 -2.76216370651537e-06
53760 52.5 -2.71577095365596e-06 -2.71577095356742e-06 -2.71577095353443e-06
54272 53 -2.64757748129199e-06 -2.64757748122951e-06 -2.6475774812208e-06
54784 53.5 -2.54395656015524e-06 -2.54395656009414e-06 -2.54395656012574e-06
55296 54 -2.41224203712026e-06 -2.41224203712265e-06 -2.41224203717599e-06
55808 54.5 -2.34361161387312e-06 -2.34361161388468e-06 -2.34361161393112e-06
56320 55 -2.2959183631839e-06 -2.29591836322055e-06 -2.29591836319766e-06
56832 55.5 -2.24658678678544e-06 -2.24658678665895e-06 -2.24658678672446e-06
57344 56 -2.20340182744675e-06 -2.20340182731745e-06 -2.20340182741266e-06
57856 56.5 -2.14925063664445e-06 -2.14925063661135e-06 -2.1492506366558e-06
58368 57 -2.0850644726745e-06 -2.08506447268641e-06 -2.08506447266848e-06
58880 57.5 -2.02906156690832e-06 -2.02906156689224e-06 -2.02906156684397e-06
59392 58 -1.97926802343274e-06 -1.9792680234353e-06 -1.97926802331967e-06
59904 58.5 -1.93165902199053e-06 -1.93165902199677e-06 -1.93165902198125e-06
