# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 0.0299466514597531 0.0299466514597531 0.0299466514597532
1024 1 0.0274633871940324 0.0274633871940324 0.0274633871940324
1536 1.5 0.0250461951175413 0.0250461951175413 0.0250461951175413
2048 2 0.0226988611654397 0.0226988611654397 0.0226988611654397
2560 2.5 0.0207376622913469 0.0207376622913469 0.0207376622913469
3072 3 0.0192174326835134 0.0192174326835134 0.0192174326835133
3584 3.5 0.0177216286500765 0.0177216286500765 0.0177216286500765
4096 4 0.0162570662095008 0.0162570662095008 0.0162570662095008
4608 4.5 0.0147723022184094 0.0147723022184094 0.0147723022184093
5120 5 0.0131651279619227 0.0131651279619227 0.0131651279619226
5632 5.5 0.0113684134282827 0.0113684134282827 0.0113684134282827
6144 6 0.00944396189914052 0.00944396189914043 0.00944396189914047
6656 6.5 0.00743002045992864 0.0074300204599286 0.00743002045992865
7168 7 0.00695132417798713 0.00695132417798718 0.00695132417798722
7680 7.5 0.00719959188589166 0.00719959188589166 0.00719959188589182
8192 8 0.00742360755158882 0.00742360755158867 0.00742360755158894
8704 8.5 0.00762151813203158 0.00762151813203139 0.00762151813203163
9216 9 0.00778734568817572 0.0077873456881757 0.00778734568817576
9728 9.5 0.00791996894834147 0.00791996894834154 0.00791996894834147
10240 10 0.00801835012282728 0.00801835012282735 0.00801835012282728
10752 10.5 0.0080811327222994 0.00808113272229939 0.00808113272229939
11264 11 0.00810783972102846 0.0081078397210284 0.00810783972102846
11776 11.5 0.00810010518226562 0.00810010518226562 0.00810010518226572
12288 12 0.00806055495633886 0.00806055495633896 0.00806055495633899
12800 12.5 0.00799034181270296 0.00799034181270299 0.00799034181270299
13312 13 0.00788982596706168 0.00788982596706159 0.00788982596706169
13824 13.5 0.00776073369134982 0.00776073369134987 0.00776073369134992
14336 14 0.00760468485632805 0.00760468485632816 0.00760468485632817
14848 14.5 0.00742148955134445 0.0074214895513446 0.00742148955134443
